Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19940425,18.24351521,18.24351521,18.24351521,18.24351521,8,146,N/A,N/A,0,8,"NYSE","Financials","Financials/General Real Estate","Common Stock",18.24351521,18.24351521
19940426,18.24351521,18.24351521,18.24351521,18.24351521,0,0,N/A,N/A,0,8,"NYSE","Financials","Financials/General Real Estate","Common Stock",18.24351521,18.24351521
19940427,18.24351521,18.24351521,18.24351521,18.24351521,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/General Real Estate","Common Stock",75.00000000,18.24351521
19940428,18.24351521,18.24351521,18.24351521,18.24351521,0,0,N/A,N/A,0,8,"NYSE","Financials","Financials/General Real Estate","Common Stock",18.24351521,18.24351521
19940429,18.24351521,18.24351521,18.24351521,18.24351521,0,0,N/A,N/A,0,8,"NYSE","Financials","Financials/General Real Estate","Common Stock",18.24351521,18.24351521
19940502,18.24351521,18.24351521,18.24351521,18.24351521,0,0,N/A,N/A,0,8,"NYSE","Financials","Financials/General Real Estate","Common Stock",18.24351521,18.24351521
19940503,19.45974955,19.45974955,19.45974955,19.45974955,4,78,N/A,N/A,0,8,"NYSE","Financials","Financials/General Real Estate","Common Stock",19.45974955,19.45974955
19940504,19.45974955,19.45974955,19.45974955,19.45974955,0,0,N/A,N/A,0,8,"NYSE","Financials","Financials/General Real Estate","Common Stock",19.45974955,19.45974955
19940505,19.45974955,19.45974955,19.45974955,19.45974955,0,0,N/A,N/A,0,8,"NYSE","Financials","Financials/General Real Estate","Common Stock",19.45974955,19.45974955
19940506,19.45974955,19.45974955,19.45974955,19.45974955,0,0,N/A,N/A,0,8,"NYSE","Financials","Financials/General Real Estate","Common Stock",19.45974955,19.45974955
19940509,19.45974955,19.45974955,19.45974955,19.45974955,0,0,N/A,N/A,0,8,"NYSE","Financials","Financials/General Real Estate","Common Stock",19.45974955,19.45974955
19940510,19.45974955,19.45974955,19.45974955,19.45974955,0,0,N/A,N/A,0,8,"NYSE","Financials","Financials/General Real Estate","Common Stock",19.45974955,19.45974955
19940511,19.45974955,19.45974955,19.45974955,19.45974955,0,0,N/A,N/A,0,8,"NYSE","Financials","Financials/General Real Estate","Common Stock",19.45974955,19.45974955
19940512,19.45974955,19.45974955,19.45974955,19.45974955,0,0,N/A,N/A,0,8,"NYSE","Financials","Financials/General Real Estate","Common Stock",19.45974955,19.45974955
19940513,19.45974955,19.45974955,19.45974955,19.45974955,0,0,N/A,N/A,0,8,"NYSE","Financials","Financials/General Real Estate","Common Stock",19.45974955,19.45974955
19940516,17.02728086,17.02728086,17.02728086,17.02728086,8,136,N/A,N/A,0,8,"NYSE","Financials","Financials/General Real Estate","Common Stock",17.02728086,17.02728086
19940517,17.02728086,17.02728086,17.02728086,17.02728086,0,0,N/A,N/A,0,8,"NYSE","Financials","Financials/General Real Estate","Common Stock",17.02728086,17.02728086
19940518,17.02728086,17.02728086,17.02728086,17.02728086,0,0,N/A,N/A,0,8,"NYSE","Financials","Financials/General Real Estate","Common Stock",17.02728086,17.02728086
19940519,17.02728086,17.02728086,17.02728086,17.02728086,20,341,N/A,N/A,0,8,"NYSE","Financials","Financials/General Real Estate","Common Stock",17.02728086,17.02728086
19940520,17.02728086,17.02728086,17.02728086,17.02728086,8,136,N/A,N/A,0,8,"NYSE","Financials","Financials/General Real Estate","Common Stock",17.02728086,17.02728086
19940523,17.02728086,17.02728086,17.02728086,17.02728086,0,0,N/A,N/A,0,8,"NYSE","Financials","Financials/General Real Estate","Common Stock",17.02728086,17.02728086
19940524,19.30772026,19.30772026,17.33133945,17.33133945,16,277,N/A,N/A,0,8,"NYSE","Financials","Financials/General Real Estate","Common Stock",17.33133945,17.33133945
19940525,17.33133945,17.33133945,17.33133945,17.33133945,0,0,N/A,N/A,0,8,"NYSE","Financials","Financials/General Real Estate","Common Stock",17.33133945,17.33133945
19940526,17.33133945,17.33133945,17.33133945,17.33133945,0,0,N/A,N/A,0,8,"NYSE","Financials","Financials/General Real Estate","Common Stock",17.33133945,17.33133945
19940527,17.14890429,17.14890429,17.14890429,17.14890429,8,137,N/A,N/A,0,8,"NYSE","Financials","Financials/General Real Estate","Common Stock",17.14890429,17.14890429
19940530,17.14890429,17.14890429,17.14890429,17.14890429,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/General Real Estate","Common Stock",70.50000000,17.14890429
19940531,17.51377460,17.51377460,17.51377460,17.51377460,8,140,N/A,N/A,0,8,"NYSE","Financials","Financials/General Real Estate","Common Stock",17.51377460,17.51377460
19940601,17.51377460,17.51377460,17.51377460,17.51377460,0,0,N/A,N/A,0,8,"NYSE","Financials","Financials/General Real Estate","Common Stock",17.51377460,17.51377460
