Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19940802,9.36530387,9.56889744,8.95811675,9.16171031,16849,154366,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",9.16171031,9.16171031
19940803,9.26350709,9.56889744,9.05991353,9.26350709,2428,22492,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",9.26350709,9.26350709
19940804,9.56889744,9.97608456,9.36530387,9.77249100,3044,29747,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",9.77249100,9.77249100
19940805,9.87428778,9.87428778,9.56889744,9.56889744,1211,11588,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",9.56889744,9.56889744
19940808,9.56889744,9.77249100,9.36530387,9.56889744,890,8516,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",9.56889744,9.56889744
19940809,9.36530387,9.56889744,9.26350709,9.26350709,248,2297,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",9.26350709,9.26350709
19940810,9.56889744,9.56889744,9.05991353,9.26350709,545,5049,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",9.26350709,9.26350709
19940811,9.16171031,9.36530387,9.16171031,9.16171031,75,687,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",9.16171031,9.16171031
19940812,9.16171031,9.36530387,9.16171031,9.16171031,956,8759,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",9.16171031,9.16171031
19940815,9.16171031,9.56889744,9.16171031,9.46710066,323,3058,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",9.46710066,9.46710066
19940816,9.56889744,10.58686525,9.46710066,10.28147491,1051,10806,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",10.28147491,10.28147491
19940817,10.28147491,10.48506847,10.28147491,10.28147491,648,6662,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",10.28147491,10.28147491
19940818,10.48506847,10.58686525,10.28147491,10.28147491,727,7475,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",10.28147491,10.28147491
19940819,10.48506847,10.48506847,10.28147491,10.28147491,82,843,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",10.28147491,10.28147491
19940822,10.48506847,10.68866203,10.17967812,10.68866203,1017,10870,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",10.68866203,10.68866203
19940823,10.79045881,10.99405237,10.48506847,10.79045881,267,2881,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",10.79045881,10.79045881
19940824,10.79045881,10.99405237,10.79045881,10.99405237,660,7256,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",10.99405237,10.99405237
19940825,10.99405237,10.99405237,10.58686525,10.79045881,221,2385,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",10.79045881,10.79045881
19940826,10.58686525,10.99405237,10.58686525,10.58686525,243,2573,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",10.58686525,10.58686525
19940829,10.99405237,11.19764594,10.79045881,10.89225559,210,2287,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",10.89225559,10.89225559
19940830,11.19764594,11.19764594,10.89225559,11.19764594,479,5364,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",11.19764594,11.19764594
19940831,10.99405237,11.19764594,10.99405237,10.99405237,514,5651,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",10.99405237,10.99405237
19940901,11.19764594,11.19764594,10.99405237,11.19764594,278,3113,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",11.19764594,11.19764594
19940902,10.99405237,11.09584916,10.89225559,11.09584916,87,965,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",11.09584916,11.09584916
19940905,10.99405237,11.09584916,10.89225559,11.09584916,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",13.62500000,11.09584916
19940906,11.09584916,11.09584916,10.79045881,10.79045881,50,540,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",10.79045881,10.79045881
19940907,10.68866203,10.79045881,10.58686525,10.79045881,106,1144,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",10.79045881,10.79045881
19940908,10.58686525,10.58686525,10.17967812,10.17967812,174,1771,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",10.17967812,10.17967812
