Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,2.54035496,2.60840018,2.51767322,2.60840018,1002,2614,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",2.60840018,2.60840018
19800804,2.60840018,2.63108192,2.54035496,2.54035496,446,1133,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",2.54035496,2.54035496
19800805,2.54035496,2.58571844,2.54035496,2.54035496,167,424,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",2.54035496,2.54035496
19800806,2.54035496,2.54035496,2.44962800,2.44962800,177,434,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",2.44962800,2.44962800
19800807,2.47230974,2.54035496,2.47230974,2.54035496,213,541,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",2.54035496,2.54035496
19800808,2.54035496,2.54035496,2.47230974,2.54035496,623,1583,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",2.54035496,2.54035496
19800811,2.54035496,2.63108192,2.49499148,2.58571844,572,1479,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",2.58571844,2.58571844
19800812,2.58571844,2.63108192,2.56303670,2.56303670,314,805,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",2.56303670,2.56303670
19800813,2.56303670,2.63108192,2.56303670,2.63108192,147,387,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",2.63108192,2.63108192
19800814,2.63108192,2.88058107,2.58571844,2.83521759,476,1350,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",2.83521759,2.83521759
19800815,2.90326281,3.10739848,2.90326281,3.08471674,1139,3513,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",3.08471674,3.08471674
19800818,3.08471674,3.10739848,2.83521759,2.88058107,451,1299,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",2.88058107,2.88058107
19800819,2.88058107,2.92594455,2.74449063,2.90326281,673,1954,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",2.90326281,2.90326281
19800820,2.90326281,2.94862629,2.83521759,2.90326281,354,1028,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",2.90326281,2.90326281
19800821,2.92594455,3.08471674,2.92594455,3.08471674,795,2452,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",3.08471674,3.08471674
19800822,3.08471674,3.24348892,3.08471674,3.17544370,648,2058,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",3.17544370,3.17544370
19800825,3.17544370,3.37957937,3.13008022,3.31153415,329,1089,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",3.31153415,3.31153415
