Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20030702,14.00000000,14.16000000,13.33333333,13.33333333,81330,1084400,N/A,N/A,0,8,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",13.33333333,13.33333333
20030703,13.56666667,13.76666667,13.43333333,13.73333333,4344,59658,N/A,N/A,0,8,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",13.73333333,13.73333333
20030704,13.56666667,13.76666667,13.43333333,13.73333333,0,0,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",20.60000000,13.73333333
20030707,13.73333333,14.33333333,13.73333333,14.33333333,12380,177447,N/A,N/A,0,8,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",14.33333333,14.33333333
20030708,14.80000000,15.06666667,14.60000000,14.63333333,9554,139807,N/A,N/A,0,8,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",14.63333333,14.63333333
20030709,14.63333333,15.00000000,14.40000000,15.00000000,4542,68130,N/A,N/A,0,8,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",15.00000000,15.00000000
20030710,15.00000000,15.33333333,14.86666667,15.00000000,4884,73260,N/A,N/A,0,8,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",15.00000000,15.00000000
20030711,14.90000000,15.16666667,14.60000000,14.66666667,1701,24948,N/A,N/A,0,8,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",14.66666667,14.66666667
20030714,14.66666667,15.13333333,14.66666667,15.04666667,4284,64460,N/A,N/A,0,8,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",15.04666667,15.04666667
20030715,15.00000000,15.43333333,14.93333333,15.33333333,2000,30667,N/A,N/A,0,8,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",15.33333333,15.33333333
20030716,15.40000000,15.40000000,15.26666667,15.31333333,2813,43076,N/A,N/A,0,8,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",15.31333333,15.31333333
20030717,15.30000000,15.46666667,15.13333333,15.46666667,2045,31629,N/A,N/A,0,8,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",15.46666667,15.46666667
20030718,15.50000000,15.70000000,15.42000000,15.70000000,1796,28197,N/A,N/A,0,8,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",15.70000000,15.70000000
20030721,15.73333333,15.93333333,15.67333333,15.92666667,888,14143,N/A,N/A,0,8,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",15.92666667,15.92666667
20030722,15.93333333,16.16666667,15.83333333,16.16666667,1689,27305,N/A,N/A,0,8,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",16.16666667,16.16666667
20030723,16.33333333,16.66000000,16.06666667,16.46666667,2042,33625,N/A,N/A,0,8,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",16.46666667,16.46666667
20030724,16.86666667,16.86666667,15.83333333,16.06666667,1592,25578,N/A,N/A,0,8,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",16.06666667,16.06666667
20030725,16.23333333,16.23333333,15.90000000,16.03333333,684,10967,N/A,N/A,0,8,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",16.03333333,16.03333333
20030728,16.06666667,16.09333333,15.60000000,16.09333333,1407,22643,N/A,N/A,0,8,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",16.09333333,16.09333333
20030729,16.09333333,16.09333333,15.90000000,16.00000000,300,4800,N/A,N/A,0,8,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",16.00000000,16.00000000
20030730,16.00000000,16.73333333,15.93333333,16.66666667,720,12000,N/A,N/A,0,8,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",16.66666667,16.66666667
20030731,16.83333333,16.83333333,15.80000000,15.80000000,951,15026,N/A,N/A,0,8,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",15.80000000,15.80000000
20030801,15.73333333,15.80000000,15.40666667,15.58666667,1701,26513,N/A,N/A,0,8,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",15.58666667,15.58666667
20030804,15.53333333,15.53333333,15.00000000,15.33333333,2244,34408,N/A,N/A,0,8,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",15.33333333,15.33333333
20030805,15.20000000,15.36666667,15.06666667,15.26666667,1409,21511,N/A,N/A,0,8,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",15.26666667,15.26666667
20030806,15.26666667,15.30000000,14.50000000,14.70000000,2813,41351,N/A,N/A,0,8,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",14.70000000,14.70000000
20030807,14.67333333,14.96666667,14.63333333,14.96666667,1838,27509,N/A,N/A,0,8,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",14.96666667,14.96666667
20030808,14.96666667,15.33333333,14.96666667,15.30000000,350,5355,N/A,N/A,0,8,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",15.30000000,15.30000000
20030811,15.26666667,15.26666667,14.48000000,14.86666667,5478,81440,N/A,N/A,0,8,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",14.86666667,14.86666667
20030812,15.13333333,15.46666667,14.03333333,14.40000000,4490,64656,N/A,N/A,0,8,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",14.40000000,14.40000000
20030813,14.56666667,14.69333333,14.20000000,14.32666667,3459,49556,N/A,N/A,0,8,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",14.32666667,14.32666667
