Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19930930,2.68468236,2.73262311,2.68468236,2.68468236,62734,168421,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",2.68468236,2.68468236
19931001,2.73262311,2.73262311,2.68468236,2.68468236,7523,20197,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",2.68468236,2.68468236
19931004,2.68468236,2.73262311,2.68468236,2.68468236,3563,9566,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",2.68468236,2.68468236
19931005,2.73262311,2.73262311,2.68468236,2.68468236,2621,7037,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",2.68468236,2.68468236
19931006,2.68468236,2.73262311,2.68468236,2.68468236,9596,25762,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",2.68468236,2.68468236
19931007,2.68468236,2.73262311,2.68468236,2.68468236,4973,13351,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",2.68468236,2.68468236
19931008,2.68468236,2.73262311,2.68468236,2.73262311,1388,3793,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",2.73262311,2.73262311
19931011,2.68468236,2.73262311,2.68468236,2.68468236,780,2094,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",2.68468236,2.68468236
19931012,2.73262311,2.73262311,2.68468236,2.68468236,4320,11598,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",2.68468236,2.68468236
19931013,2.68468236,2.73262311,2.68468236,2.68468236,1725,4631,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",2.68468236,2.68468236
19931014,2.68468236,2.73262311,2.68468236,2.68468236,4069,10924,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",2.68468236,2.68468236
19931015,2.73262311,2.73262311,2.63674160,2.63674160,7980,21041,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",2.63674160,2.63674160
19931018,2.70865273,2.70865273,2.63674160,2.63674160,2569,6774,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",2.63674160,2.63674160
