Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20151022,12.90000000,17.61000000,12.90000000,15.83000000,59655,944339,N/A,N/A,0,8,"NYSE","","","Common Stock",15.83000000,15.83000000
20151023,15.42000000,16.99000000,15.42000000,15.86000000,10901,172890,N/A,N/A,0,8,"NYSE","","","Common Stock",15.86000000,15.86000000
20151026,15.80000000,16.99000000,15.51000000,16.48000000,5091,83900,N/A,N/A,0,8,"NYSE","","","Common Stock",16.48000000,16.48000000
20151027,16.17000000,16.84000000,15.62000000,16.02000000,2157,34555,N/A,N/A,0,8,"NYSE","","","Common Stock",16.02000000,16.02000000
20151028,16.02000000,16.29000000,16.00000000,16.13000000,934,15065,N/A,N/A,0,8,"NYSE","","","Common Stock",16.13000000,16.13000000
20151029,15.97000000,16.36000000,15.44000000,16.29000000,1413,23018,N/A,N/A,0,8,"NYSE","","","Common Stock",16.29000000,16.29000000
20151030,16.15000000,16.69500000,15.82000000,16.35000000,1243,20323,N/A,N/A,0,8,"NYSE","","","Common Stock",16.35000000,16.35000000
20151102,16.29000000,16.97000000,16.03000000,16.86000000,3138,52907,N/A,N/A,0,8,"NYSE","","","Common Stock",16.86000000,16.86000000
20151103,16.80000000,17.50000000,16.09000000,16.09000000,2700,43443,N/A,N/A,0,8,"NYSE","","","Common Stock",16.09000000,16.09000000
20151104,16.10000000,16.94000000,15.08000000,16.77000000,2221,37246,N/A,N/A,0,8,"NYSE","","","Common Stock",16.77000000,16.77000000
20151105,16.70000000,18.65000000,16.16000000,17.48000000,1711,29908,N/A,N/A,0,8,"NYSE","","","Common Stock",17.48000000,17.48000000
20151106,17.36000000,17.36000000,15.92000000,16.50000000,1250,20625,N/A,N/A,0,8,"NYSE","","","Common Stock",16.50000000,16.50000000
20151109,16.86000000,16.98000000,15.88000000,16.17000000,2181,35267,N/A,N/A,0,8,"NYSE","","","Common Stock",16.17000000,16.17000000
20151110,16.47000000,17.87000000,15.91000000,17.35000000,2411,41831,N/A,N/A,0,8,"NYSE","","","Common Stock",17.35000000,17.35000000
20151111,17.19000000,17.22000000,16.64000000,16.98000000,749,12718,N/A,N/A,0,8,"NYSE","","","Common Stock",16.98000000,16.98000000
20151112,17.29000000,17.29000000,16.49000000,16.50000000,830,13695,N/A,N/A,0,8,"NYSE","","","Common Stock",16.50000000,16.50000000
20151113,16.96000000,18.28000000,16.09000000,17.70000000,17376,307555,N/A,N/A,0,8,"NYSE","","","Common Stock",17.70000000,17.70000000
20151116,17.85000000,18.09000000,16.45000000,17.10000000,3081,52685,N/A,N/A,0,8,"NYSE","","","Common Stock",17.10000000,17.10000000
20151117,16.96000000,17.27000000,16.31000000,17.03000000,2414,41110,N/A,N/A,0,8,"NYSE","","","Common Stock",17.03000000,17.03000000
20151118,16.70000000,17.35500000,16.70000000,17.07000000,1140,19460,N/A,N/A,0,8,"NYSE","","","Common Stock",17.07000000,17.07000000
20151119,16.90000000,17.24000000,16.50000000,16.82000000,3608,60687,N/A,N/A,0,8,"NYSE","","","Common Stock",16.82000000,16.82000000
20151120,16.81000000,17.19000000,16.29000000,16.43000000,4401,72308,N/A,N/A,0,8,"NYSE","","","Common Stock",16.43000000,16.43000000
20151123,16.46000000,16.77000000,15.76000000,16.36000000,2537,41505,N/A,N/A,0,8,"NYSE","","","Common Stock",16.36000000,16.36000000
20151124,16.09000000,17.00000000,15.68000000,16.78000000,1361,22838,N/A,N/A,0,8,"NYSE","","","Common Stock",16.78000000,16.78000000
20151125,16.91000000,16.96000000,16.38000000,16.80000000,803,13490,N/A,N/A,0,8,"NYSE","","","Common Stock",16.80000000,16.80000000
20151126,16.91000000,16.96000000,16.38000000,16.80000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",16.80000000,16.80000000
20151127,16.66000000,17.03000000,16.48000000,16.88000000,279,4710,N/A,N/A,0,8,"NYSE","","","Common Stock",16.88000000,16.88000000
