Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20050708,3.22786932,3.30258852,3.22488055,3.28764468,37122,122044,N/A,N/A,0,8,"NYSE","Financials","Financials/Commercial REIT","Common Stock",3.28764468,3.28764468
20050711,3.29063345,3.34742004,3.28764468,3.29661098,3633,11977,N/A,N/A,0,8,"NYSE","Financials","Financials/Commercial REIT","Common Stock",3.29661098,3.29661098
20050712,3.30258852,3.34443127,3.30258852,3.31454359,4306,14272,N/A,N/A,0,8,"NYSE","Financials","Financials/Commercial REIT","Common Stock",3.31454359,3.31454359
20050713,3.31454359,3.33247620,3.03359941,3.28166714,2948,9674,N/A,N/A,0,8,"NYSE","Financials","Financials/Commercial REIT","Common Stock",3.28166714,3.28166714
20050714,3.28166714,3.28764468,3.24281316,3.25476823,2524,8215,N/A,N/A,0,8,"NYSE","Financials","Financials/Commercial REIT","Common Stock",3.25476823,3.25476823
20050715,3.26971207,3.28764468,3.25775700,3.25775700,2613,8513,N/A,N/A,0,8,"NYSE","Financials","Financials/Commercial REIT","Common Stock",3.25775700,3.25775700
20050718,3.27270084,3.28764468,3.18004903,3.19798164,2840,9082,N/A,N/A,0,8,"NYSE","Financials","Financials/Commercial REIT","Common Stock",3.19798164,3.19798164
20050719,3.19200411,3.20097041,3.16211643,3.19798164,1439,4602,N/A,N/A,0,8,"NYSE","Financials","Financials/Commercial REIT","Common Stock",3.19798164,3.19798164
20050720,3.19200411,3.19200411,3.13820628,3.13820628,3406,10689,N/A,N/A,0,8,"NYSE","Financials","Financials/Commercial REIT","Common Stock",3.13820628,3.13820628
20050721,3.13820628,3.18602657,3.13820628,3.14119505,7289,22896,N/A,N/A,0,8,"NYSE","Financials","Financials/Commercial REIT","Common Stock",3.14119505,3.14119505
20050722,3.15315012,3.17108273,3.13820628,3.14119505,1200,3769,N/A,N/A,0,8,"NYSE","Financials","Financials/Commercial REIT","Common Stock",3.14119505,3.14119505
20050725,3.13820628,3.15315012,3.13820628,3.14119505,460,1445,N/A,N/A,0,8,"NYSE","Financials","Financials/Commercial REIT","Common Stock",3.14119505,3.14119505
20050726,3.14418382,3.14418382,3.13820628,3.13820628,1180,3703,N/A,N/A,0,8,"NYSE","Financials","Financials/Commercial REIT","Common Stock",3.13820628,3.13820628
20050727,3.14119505,3.14119505,3.13820628,3.13820628,640,2008,N/A,N/A,0,8,"NYSE","Financials","Financials/Commercial REIT","Common Stock",3.13820628,3.13820628
20050728,3.15315012,3.15315012,3.13820628,3.14119505,135,424,N/A,N/A,0,8,"NYSE","Financials","Financials/Commercial REIT","Common Stock",3.14119505,3.14119505
20050729,3.14717259,3.15912766,3.13820628,3.14119505,166,521,N/A,N/A,0,8,"NYSE","Financials","Financials/Commercial REIT","Common Stock",3.14119505,3.14119505
20050801,3.14119505,3.15613889,3.13820628,3.13820628,4096,12854,N/A,N/A,0,8,"NYSE","Financials","Financials/Commercial REIT","Common Stock",3.13820628,3.13820628
20050802,3.14418382,3.15016135,3.10831860,3.12326244,2935,9167,N/A,N/A,0,8,"NYSE","Financials","Financials/Commercial REIT","Common Stock",3.12326244,3.12326244
20050803,3.12326244,3.13820628,3.12326244,3.12923998,468,1464,N/A,N/A,0,8,"NYSE","Financials","Financials/Commercial REIT","Common Stock",3.12923998,3.12923998
20050804,3.12326244,3.12923998,3.10831860,3.12326244,203,634,N/A,N/A,0,8,"NYSE","Financials","Financials/Commercial REIT","Common Stock",3.12326244,3.12326244
