Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20140620,405.00000000,407.70000000,380.55000000,386.25000000,18055,6973744,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",386.25000000,386.25000000
20140623,386.25000000,388.35000000,373.80000000,378.90000000,1876,710816,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",378.90000000,378.90000000
20140624,382.50000000,383.25000000,366.45000000,367.80000000,1042,383248,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",367.80000000,367.80000000
20140625,367.50000000,378.15000000,364.05000000,373.80000000,705,263529,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",373.80000000,373.80000000
20140626,372.90000000,376.35000000,371.40000000,375.00000000,267,100125,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",375.00000000,375.00000000
20140627,380.10000000,384.60000000,374.25000000,382.65000000,288,110203,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",382.65000000,382.65000000
20140630,383.10000000,383.85000000,374.10000000,376.95000000,287,108185,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",376.95000000,376.95000000
20140701,375.00000000,379.95000000,358.65000000,368.25000000,1218,448529,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",368.25000000,368.25000000
20140702,365.70000000,368.40000000,362.25000000,364.65000000,415,151330,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",364.65000000,364.65000000
20140703,364.65000000,365.85000000,363.67500000,363.90000000,38,13828,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",363.90000000,363.90000000
20140704,364.65000000,365.85000000,363.67500000,363.90000000,0,0,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",24.26000000,363.90000000
20140707,362.40000000,363.90000000,355.80000000,357.00000000,284,101388,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",357.00000000,357.00000000
20140708,352.95000000,363.15000000,352.80000000,362.40000000,319,115606,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",362.40000000,362.40000000
20140709,365.10000000,370.95000000,360.00000000,370.05000000,439,162452,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",370.05000000,370.05000000
20140710,367.35000000,370.65000000,361.50000000,367.50000000,225,82688,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",367.50000000,367.50000000
20140711,370.50000000,370.50000000,357.30000000,358.80000000,277,99388,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",358.80000000,358.80000000
20140714,358.80000000,360.00000000,355.05000000,358.80000000,287,102976,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",358.80000000,358.80000000
20140715,366.00000000,366.15000000,339.15000000,342.00000000,1104,377568,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",342.00000000,342.00000000
20140716,346.65000000,348.00000000,329.55000000,330.30000000,1043,344503,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",330.30000000,330.30000000
20140717,326.10000000,336.75000000,325.50000000,332.10000000,519,172360,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",332.10000000,332.10000000
20140718,330.00000000,334.50000000,328.65000000,330.90000000,340,112506,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",330.90000000,330.90000000
20140721,329.25000000,331.35000000,316.05000000,321.00000000,391,125511,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",321.00000000,321.00000000
20140722,322.50000000,330.00000000,309.90000000,310.35000000,572,177520,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",310.35000000,310.35000000
20140723,310.35000000,315.90000000,303.75000000,306.00000000,502,153612,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",306.00000000,306.00000000
20140724,306.75000000,312.60000000,301.65000000,304.50000000,385,117233,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",304.50000000,304.50000000
20140725,303.00000000,303.00000000,294.75000000,298.05000000,743,221451,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",298.05000000,298.05000000
20140728,298.65000000,300.30000000,286.05000000,300.00000000,947,284100,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",300.00000000,300.00000000
20140729,302.85000000,315.15000000,300.15000000,312.45000000,402,125605,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",312.45000000,312.45000000
20140730,310.80000000,320.70000000,309.00000000,315.30000000,358,112877,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",315.30000000,315.30000000
20140731,313.50000000,315.90000000,307.05000000,308.70000000,322,99401,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",308.70000000,308.70000000
20140801,305.85000000,311.22000000,299.40000000,306.45000000,787,241176,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",306.45000000,306.45000000
20140804,308.10000000,310.95000000,298.65000000,310.65000000,564,175207,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",310.65000000,310.65000000
20140805,312.30000000,312.30000000,301.80000000,303.30000000,231,70062,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",303.30000000,303.30000000
20140806,301.20000000,307.50000000,299.25000000,300.45000000,445,133700,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",300.45000000,300.45000000
20140807,299.55000000,304.65000000,299.55000000,302.55000000,203,61418,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",302.55000000,302.55000000
20140808,297.15000000,314.40000000,297.15000000,312.60000000,450,140670,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",312.60000000,312.60000000
20140811,312.30000000,320.70000000,312.00000000,315.45000000,262,82648,N/A,N/A,0,8,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",315.45000000,315.45000000
