Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,1.43591702,1.47543767,1.43591702,1.43591702,18,26,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.43591702,1.43591702
19800804,1.43591702,1.43591702,1.43591702,1.43591702,0,0,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.43591702,1.43591702
19800805,1.46226412,1.50178477,1.46226412,1.46226412,198,290,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.46226412,1.46226412
19800806,1.54130543,1.56765253,1.54130543,1.54130543,180,277,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.54130543,1.54130543
19800807,1.59399963,1.63352028,1.59399963,1.59399963,522,832,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.59399963,1.59399963
19800808,1.63352028,1.69938803,1.63352028,1.63352028,198,323,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.63352028,1.63352028
19800811,1.63352028,1.69938803,1.63352028,1.63352028,54,88,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.63352028,1.63352028
19800812,1.63352028,1.69938803,1.63352028,1.63352028,18,29,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.63352028,1.63352028
19800813,1.63352028,1.68621448,1.62034673,1.62034673,108,175,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.62034673,1.62034673
19800814,1.63352028,1.71256158,1.63352028,1.63352028,198,323,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.63352028,1.63352028
19800815,1.67304093,1.72573514,1.67304093,1.67304093,180,301,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.67304093,1.67304093
19800818,1.67304093,1.72573514,1.67304093,1.67304093,36,60,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.67304093,1.67304093
19800819,1.67304093,1.72573514,1.67304093,1.67304093,72,120,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.67304093,1.67304093
19800820,1.67304093,1.71256158,1.64669383,1.64669383,162,267,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.64669383,1.64669383
19800821,1.64669383,1.64669383,1.64669383,1.64669383,0,0,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.64669383,1.64669383
19800822,1.69938803,1.76525579,1.69938803,1.69938803,90,153,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.69938803,1.69938803
19800825,1.75208224,1.81794999,1.75208224,1.75208224,216,378,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.75208224,1.75208224
19800826,1.75208224,1.81794999,1.75208224,1.75208224,36,63,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.75208224,1.75208224
19800827,1.75208224,1.81794999,1.75208224,1.75208224,36,63,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.75208224,1.75208224
19800828,1.75208224,1.75208224,1.75208224,1.75208224,0,0,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.75208224,1.75208224
19800829,1.75208224,1.79160289,1.73890869,1.73890869,72,125,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.73890869,1.73890869
19800901,1.75208224,1.79160289,1.73890869,1.73890869,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Security","Common Stock",66.00000000,1.73890869
19800902,1.75208224,1.80477644,1.75208224,1.75208224,72,126,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.75208224,1.75208224
19800903,1.81794999,1.87064419,1.81794999,1.81794999,234,425,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.81794999,1.81794999
19800904,1.84429709,1.87064419,1.84429709,1.84429709,252,465,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.84429709,1.84429709
19800905,1.84429709,1.87064419,1.81794999,1.81794999,54,98,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.81794999,1.81794999
19800908,1.92333840,1.98920615,1.92333840,1.92333840,324,623,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.92333840,1.92333840
19800909,1.92333840,1.97603260,1.92333840,1.92333840,216,415,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.92333840,1.92333840
19800910,1.92333840,1.97603260,1.92333840,1.92333840,216,415,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.92333840,1.92333840
19800911,1.92333840,1.96285905,1.92333840,1.92333840,36,69,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.92333840,1.92333840
19800912,1.92333840,1.96285905,1.92333840,1.92333840,126,242,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.92333840,1.92333840
19800915,1.92333840,1.96285905,1.92333840,1.92333840,180,346,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.92333840,1.92333840
19800916,1.92333840,1.92333840,1.92333840,1.92333840,0,0,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.92333840,1.92333840
19800917,1.93651195,1.98920615,1.93651195,1.93651195,756,1464,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.93651195,1.93651195
19800918,1.94968550,1.98920615,1.94968550,1.94968550,18,35,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.94968550,1.94968550
19800919,1.94968550,1.98920615,1.94968550,1.94968550,18,35,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.94968550,1.94968550
19800922,1.94968550,1.97603260,1.92333840,1.92333840,234,450,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.92333840,1.92333840
19800923,1.92333840,1.92333840,1.88381774,1.88381774,108,203,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.88381774,1.88381774
19800924,1.87064419,1.87064419,1.80477644,1.80477644,270,487,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.80477644,1.80477644
19800925,1.80477644,1.85747064,1.80477644,1.80477644,54,97,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.80477644,1.80477644
19800926,1.80477644,1.83112354,1.75208224,1.75208224,36,63,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.75208224,1.75208224
19800929,1.75208224,1.80477644,1.72573514,1.72573514,72,124,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.72573514,1.72573514
19800930,1.81794999,1.87064419,1.81794999,1.81794999,342,622,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.81794999,1.81794999
19801001,1.81794999,1.85747064,1.80477644,1.80477644,18,32,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.80477644,1.80477644
19801002,1.80477644,1.85747064,1.79160289,1.79160289,738,1322,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.79160289,1.79160289
19801003,1.84429709,1.92333840,1.84429709,1.84429709,630,1162,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.84429709,1.84429709
19801006,1.85747064,1.92333840,1.85747064,1.85747064,18,33,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.85747064,1.85747064
19801007,1.85747064,1.91016484,1.85747064,1.85747064,126,234,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.85747064,1.85747064
19801008,1.87064419,1.89699129,1.87064419,1.87064419,504,943,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.87064419,1.87064419
19801009,1.87064419,1.89699129,1.87064419,1.87064419,18,34,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.87064419,1.87064419
19801010,1.87064419,1.92333840,1.87064419,1.87064419,612,1145,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.87064419,1.87064419
19801013,1.87064419,1.92333840,1.87064419,1.87064419,162,303,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.87064419,1.87064419
19801014,1.87064419,1.92333840,1.87064419,1.87064419,54,101,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.87064419,1.87064419
19801015,1.87064419,1.89699129,1.84429709,1.84429709,234,432,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.84429709,1.84429709
19801016,1.84429709,1.89699129,1.84429709,1.84429709,180,332,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.84429709,1.84429709
19801017,1.84429709,1.84429709,1.80477644,1.80477644,144,260,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.80477644,1.80477644
19801020,1.80477644,1.80477644,1.80477644,1.80477644,0,0,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.80477644,1.80477644
19801021,1.80477644,1.81794999,1.75208224,1.75208224,1458,2555,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.75208224,1.75208224
19801022,1.75208224,1.81794999,1.75208224,1.75208224,270,473,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.75208224,1.75208224
19801023,1.75208224,1.76525579,1.69938803,1.69938803,756,1285,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.69938803,1.69938803
19801024,1.69938803,1.73890869,1.69938803,1.69938803,162,275,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.69938803,1.69938803
19801027,1.69938803,1.75208224,1.69938803,1.69938803,108,184,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.69938803,1.69938803
19801028,1.69938803,1.75208224,1.68621448,1.68621448,126,212,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.68621448,1.68621448
19801029,1.68621448,1.75208224,1.68621448,1.68621448,378,637,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.68621448,1.68621448
19801030,1.68621448,1.75208224,1.68621448,1.68621448,18,30,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.68621448,1.68621448
19801031,1.68621448,1.68621448,1.68621448,1.68621448,0,0,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.68621448,1.68621448
19801103,1.69938803,1.76525579,1.69938803,1.69938803,72,122,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.69938803,1.69938803
19801104,1.69938803,1.76525579,1.69938803,1.69938803,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Security","Common Stock",64.50000000,1.69938803
19801105,1.76525579,1.83112354,1.76525579,1.76525579,270,477,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.76525579,1.76525579
19801106,1.81794999,1.87064419,1.81794999,1.81794999,162,295,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.81794999,1.81794999
19801107,1.84429709,1.87064419,1.84429709,1.84429709,198,365,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.84429709,1.84429709
19801110,1.84429709,1.87064419,1.81794999,1.81794999,126,229,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.81794999,1.81794999
19801111,1.81794999,1.84429709,1.79160289,1.79160289,576,1032,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.79160289,1.79160289
19801112,1.79160289,1.79160289,1.79160289,1.79160289,0,0,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.79160289,1.79160289
19801113,1.79160289,1.84429709,1.79160289,1.79160289,1656,2967,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.79160289,1.79160289
19801114,1.79160289,1.83112354,1.76525579,1.76525579,126,222,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.76525579,1.76525579
19801117,1.76525579,1.83112354,1.76525579,1.76525579,90,159,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.76525579,1.76525579
19801118,1.77842934,1.83112354,1.77842934,1.77842934,18,32,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.77842934,1.77842934
19801119,1.77842934,1.83112354,1.76525579,1.76525579,54,95,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.76525579,1.76525579
19801120,1.76525579,1.81794999,1.75208224,1.75208224,126,221,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.75208224,1.75208224
19801121,1.75208224,1.81794999,1.75208224,1.75208224,666,1167,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.75208224,1.75208224
19801124,1.72573514,1.72573514,1.65986738,1.65986738,324,538,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.65986738,1.65986738
19801125,1.65986738,1.65986738,1.65986738,1.65986738,0,0,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Security","Common Stock",1.65986738,1.65986738
