Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20200409,100.00000000,100.00000000,86.51000000,88.51000000,19,1682,N/A,N/A,0,8,"NYSE","","","Common Stock",88.51000000,88.51000000
20200410,100.00000000,100.00000000,86.51000000,88.51000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",88.51000000,88.51000000
20200413,85.00000000,86.83000000,80.25000000,80.25000000,1674,134339,N/A,N/A,0,8,"NYSE","","","Common Stock",80.25000000,80.25000000
20200414,75.15000000,77.56000000,75.15000000,75.19000000,53,3985,N/A,N/A,0,8,"NYSE","","","Common Stock",75.19000000,75.19000000
20200415,72.15000000,76.00000000,72.15000000,76.00000000,8,608,N/A,N/A,0,8,"NYSE","","","Common Stock",76.00000000,76.00000000
20200416,76.00000000,76.00000000,74.60000000,74.60000000,753,56174,N/A,N/A,0,8,"NYSE","","","Common Stock",74.60000000,74.60000000
20200417,73.20000000,75.00000000,68.06000000,68.06000000,262,17832,N/A,N/A,0,8,"NYSE","","","Common Stock",68.06000000,68.06000000
20200420,68.01200000,78.00000000,58.67000000,65.33000000,7835,511861,N/A,N/A,0,8,"NYSE","","","Common Stock",65.33000000,65.33000000
20200421,68.95000000,69.62000000,62.50000000,64.25000000,5972,383701,N/A,N/A,0,8,"NYSE","","","Common Stock",64.25000000,64.25000000
20200422,63.97000000,70.84000000,63.65000000,69.20000000,4707,325724,N/A,N/A,0,8,"NYSE","","","Common Stock",69.20000000,69.20000000
20200423,71.94000000,78.18000000,70.79000000,76.57000000,9271,709880,N/A,N/A,0,8,"NYSE","","","Common Stock",76.57000000,76.57000000
20200424,73.71000000,80.43000000,72.52000000,79.98000000,9884,790522,N/A,N/A,0,8,"NYSE","","","Common Stock",79.98000000,79.98000000
20200427,81.79000000,83.67000000,81.10500000,81.80000000,9054,740617,N/A,N/A,0,8,"NYSE","","","Common Stock",81.80000000,81.80000000
20200428,83.73000000,84.12000000,80.55200000,81.88000000,7473,611889,N/A,N/A,0,8,"NYSE","","","Common Stock",81.88000000,81.88000000
20200429,85.00000000,87.20000000,83.83000000,85.25000000,7794,664439,N/A,N/A,0,8,"NYSE","","","Common Stock",85.25000000,85.25000000
20200430,84.69000000,84.73500000,79.79000000,82.70000000,2699,223207,N/A,N/A,0,8,"NYSE","","","Common Stock",82.70000000,82.70000000
20200501,80.99000000,84.90000000,79.24000000,79.68000000,2005,159758,N/A,N/A,0,8,"NYSE","","","Common Stock",79.68000000,79.68000000
20200504,79.30000000,81.37000000,77.80000000,81.21000000,6582,534524,N/A,N/A,0,8,"NYSE","","","Common Stock",81.21000000,81.21000000
20200505,81.75000000,84.58000000,79.23000000,79.76000000,2708,215990,N/A,N/A,0,8,"NYSE","","","Common Stock",79.76000000,79.76000000
20200506,80.00000000,81.36000000,79.75000000,79.94000000,1562,124866,N/A,N/A,0,8,"NYSE","","","Common Stock",79.94000000,79.94000000
20200507,81.00000000,81.88000000,76.68100000,78.42000000,3550,278391,N/A,N/A,0,8,"NYSE","","","Common Stock",78.42000000,78.42000000
20200508,80.31000000,81.67000000,79.35000000,79.80000000,1754,139969,N/A,N/A,0,8,"NYSE","","","Common Stock",79.80000000,79.80000000
20200511,79.62000000,81.60000000,76.35000000,76.60000000,2261,173193,N/A,N/A,0,8,"NYSE","","","Common Stock",76.60000000,76.60000000
20200512,76.85000000,79.37000000,74.01000000,74.02000000,2336,172911,N/A,N/A,0,8,"NYSE","","","Common Stock",74.02000000,74.02000000
20200513,74.00000000,75.21000000,73.05000000,73.06000000,1873,136841,N/A,N/A,0,8,"NYSE","","","Common Stock",73.06000000,73.06000000
20200514,72.00000000,75.82000000,71.34500000,75.06000000,2040,153122,N/A,N/A,0,8,"NYSE","","","Common Stock",75.06000000,75.06000000
20200515,75.02000000,78.54000000,74.28500000,78.49000000,2407,188925,N/A,N/A,0,8,"NYSE","","","Common Stock",78.49000000,78.49000000
20200518,79.96000000,82.41000000,75.77000000,77.43000000,4144,320870,N/A,N/A,0,8,"NYSE","","","Common Stock",77.43000000,77.43000000
20200519,77.31000000,80.16000000,77.14000000,77.24000000,1368,105664,N/A,N/A,0,8,"NYSE","","","Common Stock",77.24000000,77.24000000
20200520,77.99000000,78.24000000,74.94000000,76.12000000,6077,462581,N/A,N/A,0,8,"NYSE","","","Common Stock",76.12000000,76.12000000
20200521,76.01000000,76.85000000,74.35000000,74.50000000,2416,179992,N/A,N/A,0,8,"NYSE","","","Common Stock",74.50000000,74.50000000
20200522,74.07000000,76.14000000,74.07000000,75.46000000,3214,242528,N/A,N/A,1471051,19494,"NYSE","","","Common Stock",75.46000000,75.46000000
20200525,74.07000000,76.14000000,74.07000000,75.46000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",75.46000000,75.46000000
20200526,77.61000000,77.61000000,70.12000000,74.77000000,3036,227002,N/A,N/A,1457600,19494,"NYSE","","","Common Stock",74.77000000,74.77000000
20200527,74.50000000,74.50000000,68.34000000,74.15000000,10250,760038,N/A,N/A,1445513,19494,"NYSE","","","Common Stock",74.15000000,74.15000000
20200528,74.08000000,80.09000000,73.95000000,79.05000000,5412,427819,N/A,N/A,1541036,19494,"NYSE","","","Common Stock",79.05000000,79.05000000
20200529,78.72000000,80.46000000,76.44000000,79.23000000,1779,140950,N/A,N/A,1544545,19494,"NYSE","","","Common Stock",79.23000000,79.23000000
20200601,79.77000000,81.82000000,78.78000000,80.05000000,1971,157779,N/A,N/A,1560530,19494,"NYSE","","","Common Stock",80.05000000,80.05000000
20200602,80.00000000,81.74000000,76.52000000,77.00000000,3843,295911,N/A,N/A,1501072,19494,"NYSE","","","Common Stock",77.00000000,77.00000000
20200603,77.05000000,78.97000000,76.97000000,78.09000000,2157,168440,N/A,N/A,1522321,19494,"NYSE","","","Common Stock",78.09000000,78.09000000
20200604,77.83000000,81.62000000,76.39000000,81.00000000,3691,298971,N/A,N/A,1579050,19494,"NYSE","","","Common Stock",81.00000000,81.00000000
20200605,81.53000000,84.30000000,80.88000000,81.98000000,3569,292587,N/A,N/A,1598155,19494,"NYSE","","","Common Stock",81.98000000,81.98000000
20200608,81.62000000,82.18300000,78.95000000,81.43000000,1743,141932,N/A,N/A,1587433,19494,"NYSE","","","Common Stock",81.43000000,81.43000000
20200609,80.34000000,81.17000000,79.51000000,80.62000000,1479,119237,N/A,N/A,1571642,19494,"NYSE","","","Common Stock",80.62000000,80.62000000
20200610,80.10000000,80.73000000,79.01000000,79.38000000,2213,175668,N/A,N/A,1547469,19494,"NYSE","","","Common Stock",79.38000000,79.38000000
20200611,77.10000000,77.59000000,72.05000000,73.50000000,2744,201684,N/A,N/A,1432842,19494,"NYSE","","","Common Stock",73.50000000,73.50000000
20200612,75.48000000,77.52000000,73.50000000,74.87000000,1353,101299,N/A,N/A,1459549,19494,"NYSE","","","Common Stock",74.87000000,74.87000000
20200615,73.60000000,76.22000000,72.87000000,74.28000000,814,60464,N/A,N/A,1448047,19494,"NYSE","","","Common Stock",74.28000000,74.28000000
20200616,75.12000000,76.91000000,72.59000000,74.04000000,1785,132161,N/A,N/A,1443369,19494,"NYSE","","","Common Stock",74.04000000,74.04000000
20200617,76.24000000,77.61500000,74.30000000,76.76000000,1223,93877,N/A,N/A,1496394,19494,"NYSE","","","Common Stock",76.76000000,76.76000000
20200618,76.72000000,79.51000000,76.26000000,78.82000000,1290,101678,N/A,N/A,1536552,19494,"NYSE","","","Common Stock",78.82000000,78.82000000
20200619,78.00000000,79.94000000,76.99000000,78.35000000,3140,246019,N/A,N/A,1527390,19494,"NYSE","","","Common Stock",78.35000000,78.35000000
20200622,78.00000000,78.00000000,74.21000000,74.58000000,1532,114257,N/A,N/A,1453896,19494,"NYSE","","","Common Stock",74.58000000,74.58000000
20200623,74.97000000,76.49000000,74.50000000,75.20000000,1203,90466,N/A,N/A,1465982,19494,"NYSE","","","Common Stock",75.20000000,75.20000000
20200624,74.43000000,74.43000000,72.42600000,73.56000000,1124,82681,N/A,N/A,1434011,19494,"NYSE","","","Common Stock",73.56000000,73.56000000
20200625,73.50000000,73.78000000,71.77000000,72.68000000,2489,180901,N/A,N/A,1416856,19494,"NYSE","","","Common Stock",72.68000000,72.68000000
20200626,72.94000000,73.34000000,70.70000000,72.53000000,3646,264444,N/A,N/A,1413932,19494,"NYSE","","","Common Stock",72.53000000,72.53000000
