Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20100125,6.04594921,6.96493349,6.04594921,6.57194680,27056,177811,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",6.57194680,6.57194680
20100126,6.57496977,6.57496977,6.27267231,6.44195889,11518,74198,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",6.44195889,6.44195889
20100127,6.33313180,6.43893591,6.15175333,6.18198307,15905,98324,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",6.18198307,6.18198307
20100128,6.30894800,6.30894800,6.12152358,6.16686820,9315,57444,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",6.16686820,6.16686820
20100129,6.16686820,6.23941959,5.89480048,5.92503023,26560,157369,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",5.92503023,5.92503023
20100201,6.25755744,6.25755744,5.92503023,5.94014510,5488,32600,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",5.94014510,5.94014510
20100202,5.89782346,6.03990326,5.89782346,5.92503023,4896,29009,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",5.92503023,5.92503023
20100203,5.92503023,5.95828295,5.83434099,5.83434099,7493,43717,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",5.83434099,5.83434099
20100204,5.82224909,5.88875453,5.59250302,5.59250302,559,3126,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",5.59250302,5.59250302
20100205,5.59250302,5.59250302,5.29020556,5.46553809,7903,43194,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",5.46553809,5.46553809
20100208,5.99153567,5.99153567,5.25997582,5.71342201,4363,24928,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",5.71342201,5.71342201
20100209,5.89177751,5.95223700,5.45646917,5.50785973,20460,112691,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",5.50785973,5.50785973
20100210,5.56227328,5.97037485,4.94256348,5.29020556,165129,873566,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",5.29020556,5.29020556
20100211,5.30532044,5.57738815,5.17230955,5.35671100,148688,796479,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",5.35671100,5.35671100
20100212,5.24486094,6.12152358,5.24183797,5.97339782,116650,696797,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",5.97339782,5.97339782
20100215,5.24486094,6.12152358,5.24183797,5.97339782,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",19.76000000,5.97339782
20100216,6.04594921,6.11850060,5.81922612,6.04594921,40473,244698,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",6.04594921,6.04594921
20100217,6.10640871,6.10640871,5.89480048,6.00665054,33950,203926,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",6.00665054,6.00665054
20100218,5.81922612,5.97944377,5.75876663,5.95223700,55591,330891,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",5.95223700,5.95223700
20100219,5.91293833,5.94619105,5.86457074,5.89480048,40708,239966,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",5.89480048,5.89480048
20100222,5.79201935,5.92200726,5.74365175,5.84340992,23285,136064,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",5.84340992,5.84340992
20100223,5.84340992,5.84340992,5.71946796,5.72853688,37275,213531,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",5.72853688,5.72853688
20100224,5.65900846,5.84038694,5.62877872,5.73458283,27532,157885,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",5.73458283,5.73458283
20100225,5.60761790,5.94316808,5.56227328,5.82829504,19001,110743,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",5.82829504,5.82829504
20100226,5.79504232,6.27569528,5.66807739,5.89480048,55836,329142,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",5.89480048,5.89480048
20100301,5.93409915,6.13059250,5.92503023,6.12152358,25356,155217,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",6.12152358,6.12152358
20100302,6.06711004,6.20616687,6.04594921,6.19709794,17797,110290,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",6.19709794,6.19709794
20100303,6.10036276,6.20314389,6.05199516,6.14268440,18647,114543,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",6.14268440,6.14268440
20100304,6.11547763,6.16686820,5.99758162,6.03385732,20811,125571,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",6.03385732,6.03385732
20100305,6.07315599,6.07315599,5.83434099,5.92503023,14578,86375,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",5.92503023,5.92503023
20100308,5.91596131,6.04594921,5.88875453,5.89480048,6080,35840,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",5.89480048,5.89480048
20100309,5.85550181,5.98246675,5.81922612,5.85550181,8703,50960,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",5.85550181,5.85550181
20100310,5.83434099,5.83434099,5.72249093,5.74062878,18564,106569,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",5.74062878,5.74062878
20100311,5.71644498,5.82527207,5.66807739,5.71039903,19683,112398,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",5.71039903,5.71039903
20100312,5.71644498,5.97642080,5.71644498,5.86457074,20424,119778,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",5.86457074,5.86457074
20100315,5.86457074,5.86457074,5.67412334,5.73760580,12858,73774,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",5.73760580,5.73760580
20100316,5.62877872,5.92503023,5.62877872,5.89782346,9077,53535,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",5.89782346,5.89782346
20100317,5.92503023,6.08827086,5.84038694,6.05501814,10652,64498,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",6.05501814,6.05501814
20100318,6.00967352,6.24244256,5.98851270,6.06408706,15369,93199,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",6.06408706,6.06408706
20100319,6.07013301,6.12152358,6.00967352,6.07013301,11456,69539,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",6.07013301,6.07013301
20100322,6.03083434,6.11547763,6.03083434,6.07920193,8495,51643,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",6.07920193,6.07920193
20100323,6.09733978,6.40266022,6.07617896,6.34522370,16504,104722,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",6.34522370,6.34522370
20100324,6.30592503,6.32103990,6.18198307,6.29685611,15713,98942,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",6.29685611,6.29685611
20100325,6.30290206,6.64752116,6.28778718,6.52357920,27741,180971,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",6.52357920,6.52357920
20100326,6.54171705,6.67775091,6.46614268,6.65054414,27536,183129,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",6.65054414,6.65054414
20100329,6.65054414,6.65054414,6.50846433,6.62031439,4936,32678,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",6.62031439,6.62031439
20100330,6.59008464,6.66263603,6.52962515,6.62333736,6269,41522,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",6.62333736,6.62333736
20100331,6.60217654,6.60217654,6.52357920,6.56892382,10291,67601,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",6.56892382,6.56892382
20100401,6.58706167,6.67472793,6.48730351,6.59310762,8234,54288,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",6.59310762,6.59310762
20100402,6.58706167,6.67472793,6.48730351,6.59310762,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",21.81000000,6.59310762
20100405,6.56287787,6.61729141,6.48428053,6.58706167,17119,112764,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",6.58706167,6.58706167
20100406,6.54776300,6.68681983,6.49334946,6.66868198,56798,378768,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",6.66868198,6.66868198
20100407,6.62938331,6.68077388,6.55380895,6.65659008,11939,79473,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",6.65659008,6.65659008
20100408,6.61729141,6.71100363,6.57194680,6.65961306,10033,66816,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",6.65961306,6.65961306
20100409,6.64752116,6.72007255,6.60519952,6.69891173,7301,48909,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",6.69891173,6.69891173
20100412,6.71704958,6.81983071,6.62333736,6.75030230,7347,49594,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",6.75030230,6.75030230
