Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20150917,128.38801712,128.38801712,128.38801712,128.38801712,4,514,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",128.38801712,128.38801712
20150918,126.96148359,126.96148359,119.25820257,119.25820257,13,1550,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",119.25820257,119.25820257
20150921,118.25962910,118.48074180,118.25962910,118.48074180,6,711,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",118.48074180,118.48074180
20150922,116.47646220,116.47646220,115.76676177,115.76676177,7,810,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",115.76676177,115.76676177
20150923,115.77032810,115.77032810,115.77032810,115.77032810,0,0,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",115.77032810,115.77032810
20150924,115.77032810,115.77032810,115.77032810,115.77032810,0,0,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",115.77032810,115.77032810
20150925,112.85306705,112.85306705,109.03708987,109.28673324,57,6229,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",109.28673324,109.28673324
20150928,106.62624822,107.70328103,106.47646220,106.47646220,14,1491,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",106.47646220,106.47646220
20150929,106.47646220,106.47646220,106.47646220,106.47646220,0,0,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",106.47646220,106.47646220
20150930,112.83880171,112.83880171,107.70328103,107.70328103,165,17771,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",107.70328103,107.70328103
20151001,109.84308131,116.39800285,106.30527817,113.75891583,9712,1104827,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",113.75891583,113.75891583
20151002,108.48074180,126.96148359,108.48074180,122.32524964,9277,1134811,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",122.32524964,122.32524964
20151005,123.66619116,126.03423680,120.27817404,123.86590585,4240,525191,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",123.86590585,123.86590585
20151006,124.55064194,125.84165478,122.58915835,123.80171184,3700,458066,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",123.80171184,123.80171184
20151007,124.98573466,126.04493581,118.67332382,121.87589158,4048,493354,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",121.87589158,121.87589158
20151008,123.08844508,124.17261056,120.84878745,121.57631954,2916,354517,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",121.57631954,121.57631954
20151009,121.66904422,125.07845934,121.29814551,122.68901569,3562,437018,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",122.68901569,122.68901569
20151012,123.73038516,124.81455064,120.96291013,123.04564907,2131,262210,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",123.04564907,123.04564907
20151013,121.04850214,126.70470756,121.04850214,125.84878745,5293,666118,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",125.84878745,125.84878745
20151014,125.78459344,126.36947218,123.97289586,124.84308131,1853,231334,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",124.84308131,124.84308131
20151015,125.74893010,130.44222539,124.43651926,130.30670471,3349,436397,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",130.30670471,130.30670471
20151016,130.89871612,131.59771755,125.08559201,126.30527817,2874,363001,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",126.30527817,126.30527817
20151019,125.35663338,128.65905849,123.17403709,123.48074180,2232,275609,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",123.48074180,123.48074180
20151020,123.48074180,125.72753210,122.64978602,125.12125535,3418,427664,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",125.12125535,125.12125535
20151021,125.09985735,125.89158345,123.48787447,124.55064194,2184,272019,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",124.55064194,124.55064194
20151022,125.53495007,127.21825963,124.32952924,125.31383738,3014,377696,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",125.31383738,125.31383738
20151023,125.56348074,128.53067047,124.34379458,128.35235378,3258,418172,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",128.35235378,128.35235378
20151026,128.78031384,130.17118402,126.59771755,129.68616262,3114,403843,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",129.68616262,129.68616262
20151027,129.20827389,130.16405136,126.68330956,129.66476462,2218,287596,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",129.66476462,129.66476462
20151028,129.80028531,131.71897290,127.38587732,129.94293866,3679,478060,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",129.94293866,129.94293866
20151029,130.27104137,131.70470756,127.88873039,129.71469330,3258,422610,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",129.71469330,129.71469330
20151030,130.07845934,130.13908702,124.19828816,127.31811698,3114,396469,N/A,N/A,3649618,20446,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",127.31811698,127.31811698
20151102,127.13980029,128.78031384,124.86447932,126.75463623,3351,424755,N/A,N/A,3633466,20446,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",126.75463623,126.75463623
20151103,126.21968616,126.89728959,122.61768902,124.07988588,2224,275954,N/A,N/A,3556793,20446,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",124.07988588,124.07988588
20151104,124.63623395,125.24251070,121.06276748,123.10271041,3145,387158,N/A,N/A,3528782,20446,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",123.10271041,123.10271041
20151105,123.10271041,125.32097004,120.18544936,121.05563481,4631,560609,N/A,N/A,3470102,20446,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",121.05563481,121.05563481
20151106,120.94151213,121.90442225,119.03708987,121.36233951,4094,496857,N/A,N/A,3478894,20446,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",121.36233951,121.36233951
20151109,121.01283880,124.71469330,120.53495007,123.65192582,2833,350306,N/A,N/A,3544526,20446,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",123.65192582,123.65192582
20151110,123.45934379,124.80741797,122.26818830,123.65905849,2923,361455,N/A,N/A,3544730,20446,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",123.65905849,123.65905849
20151111,123.89443652,125.09985735,122.43937233,123.73751783,2323,287442,N/A,N/A,3546979,20446,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",123.73751783,123.73751783
