Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20170317,24.25000000,25.92000000,23.28000000,24.75000000,151975,3761381,N/A,N/A,0,8,"NYSE","","","Common Stock",24.75000000,24.75000000
20170320,24.09000000,24.19000000,22.78000000,23.40000000,32814,767848,N/A,N/A,0,8,"NYSE","","","Common Stock",23.40000000,23.40000000
20170321,23.40000000,24.29900000,23.00000000,23.85000000,20326,484775,N/A,N/A,0,8,"NYSE","","","Common Stock",23.85000000,23.85000000
20170322,23.80000000,23.82000000,22.30000000,22.68000000,14694,333260,N/A,N/A,0,8,"NYSE","","","Common Stock",22.68000000,22.68000000
20170323,22.75000000,23.20000000,22.35000000,23.00000000,8528,196144,N/A,N/A,0,8,"NYSE","","","Common Stock",23.00000000,23.00000000
20170324,23.39000000,23.60000000,22.51000000,22.53000000,4098,92328,N/A,N/A,0,8,"NYSE","","","Common Stock",22.53000000,22.53000000
20170327,22.37000000,22.49000000,21.80000000,22.43000000,6206,139201,N/A,N/A,0,8,"NYSE","","","Common Stock",22.43000000,22.43000000
20170328,22.47000000,23.50000000,22.39500000,23.24000000,6874,159752,N/A,N/A,0,8,"NYSE","","","Common Stock",23.24000000,23.24000000
20170329,23.28000000,24.35000000,23.13000000,23.80000000,6380,151844,N/A,N/A,0,8,"NYSE","","","Common Stock",23.80000000,23.80000000
20170330,23.94000000,23.95000000,23.01000000,23.71000000,4457,105675,N/A,N/A,0,8,"NYSE","","","Common Stock",23.71000000,23.71000000
20170331,23.61000000,24.79000000,23.61000000,24.33000000,9964,242424,N/A,N/A,0,8,"NYSE","","","Common Stock",24.33000000,24.33000000
20170403,24.40000000,25.60000000,23.95000000,24.58000000,13489,331560,N/A,N/A,0,8,"NYSE","","","Common Stock",24.58000000,24.58000000
20170404,24.46000000,24.90000000,23.44000000,23.70000000,9043,214319,N/A,N/A,0,8,"NYSE","","","Common Stock",23.70000000,23.70000000
20170405,23.70000000,24.62000000,23.70000000,24.05000000,6090,146465,N/A,N/A,0,8,"NYSE","","","Common Stock",24.05000000,24.05000000
20170406,24.00000000,24.35000000,23.50000000,23.74000000,3058,72597,N/A,N/A,0,8,"NYSE","","","Common Stock",23.74000000,23.74000000
20170407,23.55000000,23.63000000,23.24000000,23.30000000,3687,85907,N/A,N/A,0,8,"NYSE","","","Common Stock",23.30000000,23.30000000
20170410,23.33000000,23.73000000,23.19000000,23.31000000,5000,116550,N/A,N/A,0,8,"NYSE","","","Common Stock",23.31000000,23.31000000
20170411,22.79000000,22.96000000,21.83000000,22.30000000,11535,257231,N/A,N/A,0,8,"NYSE","","","Common Stock",22.30000000,22.30000000
20170412,22.31000000,22.92000000,22.02500000,22.85000000,6006,137237,N/A,N/A,0,8,"NYSE","","","Common Stock",22.85000000,22.85000000
20170413,22.94000000,22.94000000,21.60000000,22.20000000,9208,204418,N/A,N/A,0,8,"NYSE","","","Common Stock",22.20000000,22.20000000
20170414,22.94000000,22.94000000,21.60000000,22.20000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",22.20000000,22.20000000
20170417,22.18000000,23.05000000,22.02100000,22.69000000,3407,77305,N/A,N/A,0,8,"NYSE","","","Common Stock",22.69000000,22.69000000
20170418,22.54000000,22.82000000,22.25000000,22.63000000,2111,47772,N/A,N/A,0,8,"NYSE","","","Common Stock",22.63000000,22.63000000
20170419,22.64000000,23.10000000,22.48000000,22.58000000,3131,70698,N/A,N/A,0,8,"NYSE","","","Common Stock",22.58000000,22.58000000
20170420,22.59000000,22.98000000,22.29000000,22.29000000,9055,201836,N/A,N/A,0,8,"NYSE","","","Common Stock",22.29000000,22.29000000
20170421,22.30000000,22.64000000,22.20000000,22.29000000,3738,83320,N/A,N/A,0,8,"NYSE","","","Common Stock",22.29000000,22.29000000
20170424,22.58000000,22.59000000,21.92000000,22.00000000,4096,90112,N/A,N/A,0,8,"NYSE","","","Common Stock",22.00000000,22.00000000
20170425,22.09000000,23.19000000,22.02000000,22.98000000,7468,171615,N/A,N/A,0,8,"NYSE","","","Common Stock",22.98000000,22.98000000
20170426,23.26000000,23.43000000,22.71000000,22.73000000,2927,66531,N/A,N/A,0,8,"NYSE","","","Common Stock",22.73000000,22.73000000
20170427,22.75000000,23.10000000,22.61000000,23.03000000,3040,70011,N/A,N/A,0,8,"NYSE","","","Common Stock",23.03000000,23.03000000
20170428,22.96000000,23.27000000,22.49000000,23.04000000,2063,47532,N/A,N/A,0,8,"NYSE","","","Common Stock",23.04000000,23.04000000
20170501,23.21000000,23.57000000,23.06000000,23.10000000,3119,72049,N/A,N/A,0,8,"NYSE","","","Common Stock",23.10000000,23.10000000
20170502,23.13000000,23.24000000,22.01000000,22.18000000,6017,133457,N/A,N/A,0,8,"NYSE","","","Common Stock",22.18000000,22.18000000
20170503,21.80000000,21.99000000,21.33000000,21.69000000,5884,127624,N/A,N/A,0,8,"NYSE","","","Common Stock",21.69000000,21.69000000
20170504,21.68000000,22.11000000,21.17000000,21.98000000,9200,202216,N/A,N/A,0,8,"NYSE","","","Common Stock",21.98000000,21.98000000
20170505,22.50000000,22.95000000,21.59300000,22.15000000,8437,186880,N/A,N/A,0,8,"NYSE","","","Common Stock",22.15000000,22.15000000
20170508,22.25000000,22.50000000,22.04000000,22.37000000,3027,67714,N/A,N/A,0,8,"NYSE","","","Common Stock",22.37000000,22.37000000
20170509,22.39000000,22.50000000,22.05000000,22.18000000,3440,76299,N/A,N/A,0,8,"NYSE","","","Common Stock",22.18000000,22.18000000
20170510,22.24000000,22.51000000,22.09100000,22.45000000,4960,111352,N/A,N/A,0,8,"NYSE","","","Common Stock",22.45000000,22.45000000
20170511,22.48000000,22.50000000,22.00000000,22.25000000,4259,94763,N/A,N/A,0,8,"NYSE","","","Common Stock",22.25000000,22.25000000
