Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,0.18719558,0.19304544,0.18719558,0.18719558,734,137,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.18719558,0.18719558
19800804,0.18719558,0.19304544,0.18719558,0.18719558,289,54,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.18719558,0.18719558
19800805,0.19304544,0.19889531,0.19304544,0.19304544,534,103,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.19304544,0.19304544
19800806,0.19304544,0.19304544,0.19304544,0.19304544,0,0,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.19304544,0.19304544
19800807,0.21644489,0.22521968,0.21644489,0.21644489,1068,231,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.21644489,0.21644489
19800808,0.21936982,0.22814462,0.21936982,0.21936982,801,176,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.21936982,0.21936982
19800811,0.21936982,0.22521968,0.21936982,0.21936982,1424,312,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.21936982,0.21936982
19800812,0.21936982,0.22521968,0.21936982,0.21936982,1424,312,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.21936982,0.21936982
19800813,0.21936982,0.22521968,0.21936982,0.21936982,223,49,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.21936982,0.21936982
19800814,0.21936982,0.22521968,0.21936982,0.21936982,111,24,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.21936982,0.21936982
19800815,0.21936982,0.22521968,0.21936982,0.21936982,134,29,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.21936982,0.21936982
19800818,0.21936982,0.22521968,0.21936982,0.21936982,423,93,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.21936982,0.21936982
19800819,0.21936982,0.22521968,0.21936982,0.21936982,445,98,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.21936982,0.21936982
19800820,0.21936982,0.22521968,0.21936982,0.21936982,556,122,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.21936982,0.21936982
19800821,0.22229475,0.23106955,0.22229475,0.22229475,779,173,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.22229475,0.22229475
19800822,0.22521968,0.23691941,0.22521968,0.22521968,378,85,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.22521968,0.22521968
19800825,0.22521968,0.23399448,0.22521968,0.22521968,289,65,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.22521968,0.22521968
19800826,0.22521968,0.23399448,0.22521968,0.22521968,156,35,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.22521968,0.22521968
19800827,0.22521968,0.23399448,0.22521968,0.22521968,22,5,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.22521968,0.22521968
19800828,0.22521968,0.23399448,0.22521968,0.22521968,200,45,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.22521968,0.22521968
19800829,0.22521968,0.22521968,0.22521968,0.22521968,0,0,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.22521968,0.22521968
19800901,0.22521968,0.22521968,0.22521968,0.22521968,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",9.62500000,0.22521968
19800902,0.22521968,0.23106955,0.22521968,0.22521968,245,55,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.22521968,0.22521968
19800903,0.22521968,0.23106955,0.22521968,0.22521968,267,60,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.22521968,0.22521968
19800904,0.22521968,0.23106955,0.22521968,0.22521968,890,200,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.22521968,0.22521968
19800905,0.22521968,0.23106955,0.22521968,0.22521968,156,35,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.22521968,0.22521968
19800908,0.22521968,0.23106955,0.22521968,0.22521968,312,70,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.22521968,0.22521968
19800909,0.22521968,0.23106955,0.22521968,0.22521968,267,60,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.22521968,0.22521968
19800910,0.22521968,0.23106955,0.22521968,0.22521968,289,65,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.22521968,0.22521968
19800911,0.22521968,0.23106955,0.22521968,0.22521968,423,95,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.22521968,0.22521968
19800912,0.22521968,0.23106955,0.22521968,0.22521968,223,50,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.22521968,0.22521968
19800915,0.22521968,0.23106955,0.22521968,0.22521968,111,25,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.22521968,0.22521968
19800916,0.22521968,0.23106955,0.22521968,0.22521968,89,20,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.22521968,0.22521968
19800917,0.22521968,0.23106955,0.22521968,0.22521968,378,85,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.22521968,0.22521968
19800918,0.25739393,0.27494351,0.25739393,0.25739393,690,178,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.25739393,0.25739393
19800919,0.25739393,0.27494351,0.25739393,0.25739393,289,74,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.25739393,0.25739393
19800922,0.25739393,0.27494351,0.25739393,0.25739393,757,195,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.25739393,0.25739393
19800923,0.25739393,0.27494351,0.25739393,0.25739393,534,137,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.25739393,0.25739393
19800924,0.25739393,0.27494351,0.25739393,0.25739393,67,17,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.25739393,0.25739393
19800925,0.25739393,0.27494351,0.25739393,0.25739393,556,143,N/A,N/A,0,8,"NYSE","Consumer Cyclical","Consumer Cyclical/Rubber & Plastic","Common Stock",0.25739393,0.25739393
