Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210319,17.48000000,19.05000000,17.20000000,19.00000000,24894,472986,N/A,N/A,2185889,115047,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",19.00000000,19.00000000
20210322,19.99000000,20.73000000,19.02000000,19.40000000,9967,193360,N/A,N/A,2231908,115047,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",19.40000000,19.40000000
20210323,19.55000000,20.06000000,19.23600000,19.78000000,18978,375385,N/A,N/A,2275626,115047,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",19.78000000,19.78000000
20210324,20.00000000,20.50000000,18.53000000,18.60000000,19546,363556,N/A,N/A,2139870,115047,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",18.60000000,18.60000000
20210325,18.25000000,18.25000000,16.40000000,17.50000000,13718,240065,N/A,N/A,2013319,115047,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",17.50000000,17.50000000
20210326,17.52000000,17.91000000,17.04000000,17.75000000,11094,196919,N/A,N/A,2042081,115047,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",17.75000000,17.75000000
20210329,17.80000000,17.98000000,17.05000000,17.28000000,6644,114808,N/A,N/A,1988009,115047,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",17.28000000,17.28000000
20210330,17.29000000,17.48000000,16.51000000,16.81000000,7731,129958,N/A,N/A,1933937,115047,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",16.81000000,16.81000000
20210331,16.98000000,17.48000000,16.74000000,16.78000000,5738,96284,N/A,N/A,1930485,115047,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",16.78000000,16.78000000
20210401,16.79000000,17.72500000,16.78000000,17.48000000,5586,97643,N/A,N/A,2011018,115047,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",17.48000000,17.48000000
20210402,16.79000000,17.72500000,16.78000000,17.48000000,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",17.48000000,17.48000000
20210405,17.50000000,17.75000000,17.12100000,17.52000000,3599,63054,N/A,N/A,2015620,115047,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",17.52000000,17.52000000
20210406,17.55000000,17.73000000,17.22000000,17.54000000,1921,33694,N/A,N/A,2017921,115047,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",17.54000000,17.54000000
20210407,17.74000000,17.74000000,17.20000000,17.59000000,6118,107616,N/A,N/A,2023673,115047,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Beverages","Common Stock",17.59000000,17.59000000
