Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20171027,13.70760705,15.25282820,13.09284164,14.45529470,61583,890200,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",14.45529470,14.45529470
20171030,14.23098841,15.11159831,14.13960436,14.99529134,13415,201162,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",14.99529134,14.99529134
20171031,14.94544550,15.31928933,14.44698706,15.09498303,7919,119537,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",15.09498303,15.09498303
20171101,15.06175247,15.49374978,14.93713786,15.04513719,2905,43706,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",15.04513719,15.04513719
20171102,15.03682955,15.30267405,14.82913853,15.04513719,1503,22613,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",15.04513719,15.04513719
20171103,14.98698370,15.18636708,14.68790864,15.03682955,3236,48659,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",15.03682955,15.03682955
20171106,15.02852191,15.07836775,14.87981514,14.97036842,1093,16363,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",14.97036842,14.97036842
20171107,14.93713786,15.02852191,14.46360234,14.70452392,4778,70258,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",14.70452392,14.70452392
20171108,14.74606212,14.82498471,14.43867942,14.59652459,2161,31543,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",14.59652459,14.59652459
20171109,14.78760033,14.78760033,14.07314323,14.26421897,2577,36759,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",14.26421897,14.26421897
20171110,14.26421897,14.37221830,14.12298908,14.18945020,929,13182,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",14.18945020,14.18945020
20171113,14.38052594,14.53837111,13.73252997,13.76576053,1841,25343,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",13.76576053,13.76576053
20171114,13.75745289,13.84883694,13.08453400,13.29222501,1498,19912,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",13.29222501,13.29222501
20171115,13.30884029,13.40022434,12.68576725,13.12607220,2551,33485,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",13.12607220,13.12607220
20171116,13.02638051,13.31714794,12.78545894,12.99314995,1705,22153,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",12.99314995,12.99314995
20171117,13.04299579,13.29222501,12.87684298,13.15930276,1068,14054,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",13.15930276,13.15930276
20171120,13.10945692,13.45007019,13.08453400,13.30053265,1586,21095,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",13.30053265,13.30053265
20171121,13.29222501,14.48852526,13.03468815,13.45837783,6981,93953,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",13.45837783,13.45837783
20171122,13.64945356,13.98342071,13.37280913,13.52483895,2652,35868,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",13.52483895,13.52483895
20171123,13.64945356,13.98342071,13.37280913,13.52483895,0,0,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",16.28000000,13.52483895
20171124,13.61622300,14.26421897,13.49991603,13.81560637,1545,21345,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",13.81560637,13.81560637
20171127,13.74083761,13.90699042,13.45007019,13.51653131,10332,139653,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",13.51653131,13.51653131
20171128,13.74914525,14.52175583,13.67437648,14.09806616,10643,150046,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",14.09806616,14.09806616
20171129,13.97345155,14.18945020,13.13437984,13.80729873,3523,48643,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",13.80729873,13.80729873
20171130,13.77406817,14.91221494,13.77406817,14.45529470,4215,60929,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",14.45529470,14.45529470
20171201,14.46360234,14.61313987,13.98175919,14.33068009,1530,21926,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",14.33068009,14.33068009
20171204,14.29744953,14.71283156,14.13129672,14.27252661,1090,15557,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",14.27252661,14.27252661
20171205,14.35560301,14.47190998,13.70760705,14.12298908,1626,22964,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",14.12298908,14.12298908
20171206,14.05652795,14.26421897,13.49160839,13.76576053,2567,35337,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",13.76576053,13.76576053
20171207,13.56637715,13.85548305,13.31714794,13.77406817,1180,16253,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",13.77406817,13.77406817
20171208,13.76576053,14.16037346,13.49991603,13.65776120,593,8099,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",13.65776120,13.65776120
20171211,13.65776120,13.95683626,13.31964023,13.95683626,1275,17795,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",13.95683626,13.95683626
20171212,13.99006683,14.21603465,13.92360570,14.02329739,1026,14388,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",14.02329739,14.02329739
20171213,14.08975851,14.25840362,13.64114592,13.84883694,1995,27628,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",13.84883694,13.84883694
20171214,13.81560637,13.90699042,13.67437648,13.88206750,728,10106,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",13.88206750,13.88206750
20171215,13.94852862,14.28914189,13.56637715,14.03991267,2960,41558,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",14.03991267,14.03991267
20171218,14.13960436,14.42206414,14.13129672,14.39714122,331,4765,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",14.39714122,14.39714122
20171219,14.37221830,14.43037178,14.24760369,14.38883358,1494,21497,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",14.38883358,14.38883358
20171220,14.45529470,14.87898437,14.37221830,14.82913853,2339,34685,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",14.82913853,14.82913853
20171221,14.86236909,15.51867270,14.86236909,15.41898102,1956,30160,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",15.41898102,15.41898102
20171222,15.46882686,16.22897598,15.41898102,15.79282484,3128,49400,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",15.79282484,15.79282484
20171225,15.46882686,16.22897598,15.41898102,15.79282484,0,0,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",19.01000000,15.79282484
20171226,15.94900849,16.19159159,15.71057920,16.12513047,692,11159,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",16.12513047,16.12513047
20171227,16.02543878,16.10020755,15.87590125,15.87590125,845,13415,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",15.87590125,15.87590125
20171228,16.12097665,16.52389722,15.97143912,16.22482216,365,5922,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",16.22482216,16.22482216
20171229,16.23312980,16.61528127,16.17082249,16.29128328,1279,20837,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",16.29128328,16.29128328
20180101,16.23312980,16.61528127,16.17082249,16.29128328,0,0,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",19.61000000,16.29128328
20180102,16.49066666,16.88943341,16.41589789,16.64020419,1809,30102,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",16.64020419,16.64020419
20180103,16.75651116,17.61219814,16.67343475,16.69835767,5216,87099,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",16.69835767,16.69835767
20180104,16.78143408,16.87281813,16.19159159,16.61528127,2788,46323,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",16.61528127,16.61528127
20180105,16.73158824,16.83127992,16.48235902,16.53220486,652,10779,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",16.53220486,16.53220486
20180108,16.51558958,16.87281813,15.88420889,16.61528127,1298,21567,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",16.61528127,16.61528127
20180109,16.74820352,16.86866431,16.44082081,16.57374306,2178,36098,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",16.57374306,16.57374306
20180110,16.59866599,17.20512375,16.48235902,16.82297228,760,12785,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",16.82297228,16.82297228
20180111,16.80635700,17.20096993,16.17497631,16.61528127,12861,213689,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",16.61528127,16.61528127
20180112,16.68174239,17.11373971,16.68174239,16.82297228,2754,46330,N/A,N/A,0,8,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",16.82297228,16.82297228
