Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210518,10.00000000,10.00000000,10.00000000,10.00000000,6,60,N/A,N/A,0,0,"NYSE","","","Common Stock",10.00000000,10.00000000
20210519,10.00000000,10.00000000,10.00000000,10.00000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",10.00000000,10.00000000
20210520,10.00000000,10.00000000,10.00000000,10.00000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",10.00000000,10.00000000
20210521,10.00000000,10.00000000,10.00000000,10.00000000,8,80,N/A,N/A,0,0,"NYSE","","","Common Stock",10.00000000,10.00000000
20210524,10.00000000,10.00000000,10.00000000,10.00000000,0,0,N/A,N/A,236500,23650,"NYSE","","","Common Stock",10.00000000,10.00000000
20210525,10.00000000,10.00000000,10.00000000,10.00000000,0,0,N/A,N/A,236500,23650,"NYSE","","","Common Stock",10.00000000,10.00000000
20210526,10.00000000,10.00000000,10.00000000,10.00000000,0,0,N/A,N/A,236500,23650,"NYSE","","","Common Stock",10.00000000,10.00000000
20210527,10.00000000,10.00000000,10.00000000,10.00000000,0,0,N/A,N/A,236500,23650,"NYSE","","","Common Stock",10.00000000,10.00000000
20210528,9.97500000,10.00000000,9.81700000,10.00000000,23,230,N/A,N/A,236500,23650,"NYSE","","","Common Stock",10.00000000,10.00000000
20210531,9.97500000,10.00000000,9.81700000,10.00000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",10.00000000,10.00000000
20210601,9.62000000,9.69000000,9.61000000,9.69000000,58,562,N/A,N/A,229168,23650,"NYSE","","","Common Stock",9.69000000,9.69000000
20210602,9.69000000,9.69000000,9.69000000,9.69000000,0,0,N/A,N/A,229168,23650,"NYSE","","","Common Stock",9.69000000,9.69000000
20210603,9.92400000,9.92400000,9.80500000,9.80500000,3,29,N/A,N/A,231888,23650,"NYSE","","","Common Stock",9.80500000,9.80500000
20210604,10.00000000,10.00000000,10.00000000,10.00000000,1,10,N/A,N/A,236500,23650,"NYSE","","","Common Stock",10.00000000,10.00000000
20210607,9.99000000,9.99000000,9.94000000,9.94000000,5,50,N/A,N/A,235081,23650,"NYSE","","","Common Stock",9.94000000,9.94000000
20210608,10.00000000,10.00000000,10.00000000,10.00000000,1,10,N/A,N/A,236500,23650,"NYSE","","","Common Stock",10.00000000,10.00000000
20210609,9.99000000,10.00000000,9.80000000,9.80000000,21,206,N/A,N/A,231770,23650,"NYSE","","","Common Stock",9.80000000,9.80000000
20210610,9.80000000,9.80000000,9.80000000,9.80000000,0,0,N/A,N/A,231770,23650,"NYSE","","","Common Stock",9.80000000,9.80000000
20210611,9.80000000,9.80000000,9.80000000,9.80000000,0,0,N/A,N/A,231770,23650,"NYSE","","","Common Stock",9.80000000,9.80000000
