Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20031212,17.26219978,17.57893739,17.10383098,17.14342318,8784,150588,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",17.14342318,17.14342318
20031215,17.14342318,17.22260758,16.51786640,16.62872456,9686,161066,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",16.62872456,16.62872456
20031216,16.78709337,17.69771400,16.62872456,17.49975299,6144,107518,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",17.49975299,17.49975299
20031217,17.49975299,17.57893739,17.14342318,17.26219978,1074,18540,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",17.26219978,17.26219978
20031218,17.34138418,17.37305794,17.18301538,17.30179198,1426,24672,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",17.30179198,17.30179198
20031219,17.30179198,17.38097638,17.14342318,17.18301538,1725,29641,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",17.18301538,17.18301538
20031222,17.18301538,17.22260758,17.14342318,17.16717850,1715,29442,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",17.16717850,17.16717850
20031223,17.22260758,17.24636290,17.14342318,17.22260758,1049,18067,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",17.22260758,17.22260758
20031224,17.27803666,17.27803666,17.14342318,17.20677070,604,10393,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",17.20677070,17.20677070
20031225,17.27803666,17.27803666,17.14342318,17.20677070,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",21.73000000,17.20677070
20031226,17.14342318,17.21468914,17.14342318,17.15134162,196,3362,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",17.15134162,17.15134162
20031229,17.18301538,17.53934519,17.18301538,17.38097638,1346,23395,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",17.38097638,17.38097638
20031230,17.39681327,17.46016079,17.32554730,17.38889483,1710,29735,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",17.38889483,17.38889483
20031231,17.34930262,17.73730620,17.30179198,17.73730620,2129,37763,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",17.73730620,17.73730620
20040101,17.34930262,17.73730620,17.30179198,17.73730620,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",22.40000000,17.73730620
20040102,17.65812179,17.66604023,17.42056859,17.42056859,778,13553,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",17.42056859,17.42056859
20040105,17.42056859,17.67395867,17.42056859,17.65812179,1074,18965,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",17.65812179,17.65812179
20040106,17.60269271,17.69771400,17.49975299,17.50767143,968,16947,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",17.50767143,17.50767143
20040107,17.47599767,17.69771400,17.42056859,17.55518207,1823,32003,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",17.55518207,17.55518207
20040108,17.55518207,18.05404381,17.55518207,17.79273528,2823,50229,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",17.79273528,17.79273528
20040109,17.79273528,17.89567500,17.67395867,17.76897996,1180,20967,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",17.76897996,17.76897996
20040112,17.72146932,17.81649060,17.46807923,17.81649060,702,12507,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",17.81649060,17.81649060
20040113,17.77689840,18.45788426,17.77689840,18.33118922,1344,24637,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",18.33118922,18.33118922
20040114,18.33118922,18.38661830,17.93526720,18.13322821,2752,49903,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",18.13322821,18.13322821
20040115,18.07779913,18.37869986,18.07779913,18.29159702,591,10810,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",18.29159702,18.29159702
20040116,18.29159702,18.35494454,18.17282041,18.17282041,899,16337,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",18.17282041,18.17282041
20040119,18.29159702,18.35494454,18.17282041,18.17282041,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",22.95000000,18.17282041
20040120,18.09363601,18.09363601,17.73730620,17.83232748,565,10075,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",17.83232748,17.83232748
20040121,17.73730620,17.93526720,17.62644803,17.73730620,1832,32495,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",17.73730620,17.73730620
20040122,17.81649060,17.87983812,17.77689840,17.81649060,1251,22288,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",17.81649060,17.81649060
20040123,17.82440904,18.14114665,17.81649060,18.14114665,403,7311,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",18.14114665,18.14114665
20040126,18.15698353,18.77462187,18.04612537,18.77462187,626,11753,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",18.77462187,18.77462187
20040127,18.96466444,18.96466444,18.72711123,18.76670343,362,6794,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",18.76670343,18.76670343
20040128,18.76670343,19.00425664,18.72711123,18.73502967,2009,37639,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",18.73502967,18.73502967
20040129,18.84588783,18.84588783,18.48955802,18.84588783,893,16829,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",18.84588783,18.84588783
20040130,18.84588783,18.84588783,18.42621050,18.60833463,509,9472,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",18.60833463,18.60833463
20040202,18.60833463,19.00425664,18.44996582,19.00425664,257,4884,N/A,N/A,0,0,"NYSE","Financials","Financials/Credit","Common Stock",19.00425664,19.00425664
