Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20051026,38.50000000,38.50000000,32.90000000,35.00000000,140,4900,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",35.00000000,35.00000000
20051027,35.00000000,35.70000000,28.70000000,32.90000000,48,1579,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",32.90000000,32.90000000
20051028,35.70000000,35.70000000,29.40000000,35.00000000,18,630,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",35.00000000,35.00000000
20051031,37.10000000,42.70000000,37.10000000,37.10000000,119,4415,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",37.10000000,37.10000000
20051101,42.00000000,42.00000000,37.10000000,42.00000000,61,2562,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",42.00000000,42.00000000
20051102,42.00000000,45.50000000,40.60000000,40.60000000,72,2923,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",40.60000000,40.60000000
20051103,42.70000000,59.50000000,42.70000000,53.20000000,115,6118,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",53.20000000,53.20000000
20051104,66.50000000,69.30000000,50.40000000,60.90000000,136,8282,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",60.90000000,60.90000000
20051107,63.00000000,81.90000000,63.00000000,70.00000000,312,21840,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",70.00000000,70.00000000
20051108,70.00000000,70.00000000,63.00000000,65.10000000,71,4622,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",65.10000000,65.10000000
20051109,59.50000000,63.00000000,42.00000000,56.00000000,175,9800,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",56.00000000,56.00000000
20051110,62.30000000,63.00000000,51.10000000,58.80000000,20,1176,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",58.80000000,58.80000000
20051111,56.00000000,63.00000000,56.00000000,59.50000000,23,1369,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",59.50000000,59.50000000
20051114,70.00000000,70.00000000,56.00000000,61.60000000,31,1910,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",61.60000000,61.60000000
20051115,65.80000000,66.50000000,60.20000000,62.30000000,42,2617,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",62.30000000,62.30000000
20051116,63.70000000,67.20000000,62.30000000,66.50000000,21,1397,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",66.50000000,66.50000000
20051117,69.30000000,81.90000000,66.50000000,73.50000000,97,7130,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",73.50000000,73.50000000
20051118,82.60000000,88.90000000,80.50000000,88.90000000,78,6934,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",88.90000000,88.90000000
20051121,88.20000000,88.90000000,73.50000000,80.50000000,74,5957,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",80.50000000,80.50000000
20051122,80.50000000,81.20000000,61.60000000,76.30000000,102,7783,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",76.30000000,76.30000000
20051123,80.50000000,84.00000000,73.50000000,78.40000000,23,1803,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",78.40000000,78.40000000
20051124,80.50000000,84.00000000,73.50000000,78.40000000,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",1.12000000,78.40000000
20051125,84.00000000,84.00000000,77.00000000,81.90000000,5,409,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",81.90000000,81.90000000
20051128,84.00000000,84.00000000,70.00000000,73.50000000,28,2058,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",73.50000000,73.50000000
20051129,70.70000000,77.00000000,66.50000000,70.00000000,68,4760,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",70.00000000,70.00000000
