Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20120629,23.75000000,24.75000000,22.83000000,24.60000000,109224,2686910,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",24.60000000,24.60000000
20120702,24.75000000,25.20000000,24.10000000,24.77000000,6567,162665,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",24.77000000,24.77000000
20120703,24.85000000,25.32000000,24.60000000,25.31000000,4011,101518,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",25.31000000,25.31000000
20120704,24.85000000,25.32000000,24.60000000,25.31000000,0,0,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",25.31000000,25.31000000
20120705,25.50000000,26.26000000,25.14000000,25.96000000,5410,140444,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",25.96000000,25.96000000
20120706,25.75000000,26.12000000,25.10000000,25.84000000,3551,91758,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",25.84000000,25.84000000
20120709,25.96000000,26.30000000,25.18000000,25.27000000,1524,38511,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",25.27000000,25.27000000
20120710,25.22000000,25.69000000,25.05000000,25.05000000,3040,76152,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",25.05000000,25.05000000
20120711,25.02000000,25.35000000,23.49000000,23.74000000,2965,70389,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",23.74000000,23.74000000
20120712,23.30000000,24.47000000,22.62000000,24.08000000,3255,78380,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",24.08000000,24.08000000
20120713,24.69000000,24.92000000,23.98000000,24.18000000,891,21544,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",24.18000000,24.18000000
20120716,24.08000000,24.56000000,23.80000000,24.38000000,1181,28793,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",24.38000000,24.38000000
20120717,24.48000000,24.48000000,23.93000000,24.27000000,2275,55214,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",24.27000000,24.27000000
20120718,24.43000000,24.69000000,24.00000000,24.23000000,1038,25151,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",24.23000000,24.23000000
20120719,24.67000000,24.67000000,23.90000000,24.00000000,2545,61080,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",24.00000000,24.00000000
20120720,24.04000000,25.23000000,23.90000000,25.23000000,2609,65825,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",25.23000000,25.23000000
20120723,25.01000000,25.01000000,23.91000000,24.35000000,6034,146928,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",24.35000000,24.35000000
20120724,24.83000000,25.96000000,24.60000000,24.84000000,2915,72409,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",24.84000000,24.84000000
20120725,25.06000000,25.47000000,24.84000000,24.93000000,1108,27622,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",24.93000000,24.93000000
20120726,24.93000000,25.35000000,24.00000000,24.42000000,1580,38584,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",24.42000000,24.42000000
20120727,24.48000000,25.44000000,24.32000000,25.33000000,1001,25355,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",25.33000000,25.33000000
20120730,25.25000000,25.45000000,25.05000000,25.39000000,843,21404,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",25.39000000,25.39000000
20120731,25.44000000,27.56000000,25.41000000,27.00000000,2840,76680,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",27.00000000,27.00000000
20120801,27.32000000,27.98000000,26.76000000,27.71000000,1119,31007,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",27.71000000,27.71000000
20120802,27.50000000,29.30000000,27.00000000,29.08000000,5569,161947,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",29.08000000,29.08000000
20120803,29.43000000,31.43000000,28.58000000,28.67000000,4310,123568,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",28.67000000,28.67000000
20120806,29.00000000,29.16000000,27.23000000,28.02000000,5838,163581,N/A,N/A,3452118,123202,"NYSE","Technology","Technology/Information Technology","Common Stock",28.02000000,28.02000000
20120807,28.30000000,28.75000000,27.79000000,28.00000000,1980,55440,N/A,N/A,3449654,123202,"NYSE","Technology","Technology/Information Technology","Common Stock",28.00000000,28.00000000
20120808,27.91000000,27.91000000,27.01000000,27.57000000,2967,81800,N/A,N/A,3396677,123202,"NYSE","Technology","Technology/Information Technology","Common Stock",27.57000000,27.57000000
20120809,27.48000000,30.02000000,27.30000000,29.51000000,1355,39986,N/A,N/A,3635689,123202,"NYSE","Technology","Technology/Information Technology","Common Stock",29.51000000,29.51000000
20120810,29.37000000,32.00000000,29.37000000,31.65000000,2200,69630,N/A,N/A,3899341,123202,"NYSE","Technology","Technology/Information Technology","Common Stock",31.65000000,31.65000000
