Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20031202,8.03530641,8.14103413,8.03530641,8.14103413,1600,13026,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.14103413,8.14103413
20031203,8.24676184,8.24676184,8.24676184,8.24676184,3000,24740,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.24676184,8.24676184
20031204,8.56394499,8.56394499,8.56394499,8.56394499,500,4282,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.56394499,8.56394499
20031205,8.56394499,8.56394499,8.56394499,8.56394499,0,0,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.56394499,8.56394499
20031208,8.88112814,9.21945683,8.88112814,9.21945683,9540,87954,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",9.21945683,9.21945683
20031209,9.21945683,9.62122215,9.21945683,9.35901742,30142,282100,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",9.35901742,9.35901742
20031210,9.40976672,9.72694987,9.40976672,9.51549444,29946,284951,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",9.51549444,9.51549444
20031211,9.62122215,9.72694987,9.57047285,9.68465878,22032,213372,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",9.68465878,9.68465878
20031212,9.72694987,9.74809541,9.69311700,9.70580433,7090,68814,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",9.70580433,9.70580433
20031215,9.68465878,9.68465878,9.47320335,9.47320335,12870,121920,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",9.47320335,9.47320335
20031216,9.45205781,9.45205781,9.21945683,9.28289346,8856,82209,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",9.28289346,9.28289346
20031217,9.26174792,9.26174792,9.05029249,9.07143803,11508,104394,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",9.07143803,9.07143803
20031218,9.07143803,9.11372912,9.07143803,9.11372912,24252,221026,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",9.11372912,9.11372912
20031219,9.11372912,9.21945683,9.11372912,9.21945683,14218,131082,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",9.21945683,9.21945683
20031222,9.15602020,9.21945683,9.15602020,9.15602020,52,476,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",9.15602020,9.15602020
20031223,9.17716575,9.24060238,9.17716575,9.21945683,1338,12336,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",9.21945683,9.21945683
20031224,9.21945683,9.24060238,9.21945683,9.24060238,202,1867,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",9.24060238,9.24060238
20031225,9.21945683,9.24060238,9.21945683,9.24060238,0,0,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",21.85000000,9.24060238
20031226,9.24060238,9.24060238,9.24060238,9.24060238,10,92,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",9.24060238,9.24060238
20031229,9.21945683,9.21945683,9.21945683,9.21945683,12,111,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",9.21945683,9.21945683
20031230,9.24060238,9.26174792,9.24060238,9.26174792,316,2927,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",9.26174792,9.26174792
20031231,9.26174792,9.30403900,9.26174792,9.26174792,142,1315,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",9.26174792,9.26174792
20040101,9.26174792,9.30403900,9.26174792,9.26174792,0,0,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",21.90000000,9.26174792
20040102,9.30403900,9.49434889,9.28289346,9.49434889,5576,52940,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",9.49434889,9.49434889
20040105,9.49434889,9.51549444,9.43091226,9.47320335,1360,12884,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",9.47320335,9.47320335
20040106,9.47320335,9.51549444,9.46897424,9.49434889,1606,15248,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",9.49434889,9.49434889
20040107,9.47320335,9.47320335,9.30403900,9.40976672,2834,26667,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",9.40976672,9.40976672
20040108,9.45205781,9.45205781,9.38862118,9.41399583,3852,36263,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",9.41399583,9.41399583
20040109,9.43091226,9.43091226,8.94456477,8.94456477,34562,309142,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.94456477,8.94456477
20040112,8.98685586,8.98685586,8.96571031,8.96571031,178,1596,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.96571031,8.96571031
20040113,8.98685586,9.02914694,8.86421171,8.88112814,10696,94993,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.88112814,8.88112814
20040114,8.90227368,8.92341923,8.88112814,8.88112814,2086,18526,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.88112814,8.88112814
20040115,8.88112814,8.88112814,8.77540042,8.81769151,542,4779,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.81769151,8.81769151
20040116,8.77540042,8.83883705,8.77540042,8.79654597,4938,43437,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.79654597,8.79654597
20040119,8.77540042,8.83883705,8.77540042,8.79654597,0,0,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",20.80000000,8.79654597
20040120,8.88112814,8.90227368,8.86844081,8.88112814,8566,76076,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.88112814,8.88112814
20040121,8.90227368,8.94456477,8.88112814,8.88112814,9696,86111,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.88112814,8.88112814
20040122,8.92341923,9.13487466,8.92341923,9.09258357,8636,78524,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",9.09258357,9.09258357
20040123,9.09258357,9.09258357,8.92341923,8.96571031,7484,67099,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.96571031,8.96571031
20040126,8.96571031,8.96571031,8.81769151,8.81769151,2916,25712,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.81769151,8.81769151
20040127,8.81769151,8.81769151,8.75425488,8.76694221,9946,87196,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.76694221,8.76694221
20040128,8.77540042,8.77540042,8.64852717,8.66967271,1000,8670,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.66967271,8.66967271
20040129,8.66967271,8.66967271,8.35248956,8.45821728,11690,98877,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.45821728,8.45821728
20040130,8.45821728,8.56394499,8.45821728,8.45821728,3412,28859,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.45821728,8.45821728
20040202,8.45821728,8.60623608,8.45821728,8.52165391,808,6885,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.52165391,8.52165391
20040203,8.45821728,8.58931964,8.45821728,8.58509054,13792,118406,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.58509054,8.58509054
20040204,8.56394499,8.58509054,8.56394499,8.56394499,5752,49260,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.56394499,8.56394499
20040205,8.57240321,8.57240321,8.46667549,8.47936282,6490,55031,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.47936282,8.47936282
20040206,8.52165391,8.52165391,8.45821728,8.47936282,4866,41261,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.47936282,8.47936282
20040209,8.47936282,8.47936282,8.45821728,8.45821728,6074,51375,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.45821728,8.45821728
20040210,8.45821728,8.50050836,8.45821728,8.47090460,5446,46133,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.47090460,8.47090460
20040211,8.49205015,8.49205015,8.45821728,8.45821728,10156,85902,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.45821728,8.45821728
20040212,8.46667549,8.47936282,8.45821728,8.45821728,1886,15952,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.45821728,8.45821728
20040213,8.46667549,8.47513371,8.45821728,8.47513371,9274,78598,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.47513371,8.47513371
20040216,8.46667549,8.47513371,8.45821728,8.47513371,0,0,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",20.04000000,8.47513371
20040217,8.47090460,8.47513371,8.37363510,8.37363510,2762,23128,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.37363510,8.37363510
20040218,8.35248956,8.39478065,8.24676184,8.25099095,4428,36535,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.25099095,8.25099095
20040219,8.25944917,8.26790739,8.24676184,8.26367828,6808,56259,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.26367828,8.26367828
20040220,8.26790739,8.27636561,8.24676184,8.26367828,2102,17370,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.26367828,8.26367828
20040223,8.24676184,8.25522006,8.03530641,8.14103413,948,7718,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.14103413,8.14103413
20040224,8.11988859,8.28905293,7.65468664,7.79847633,28568,222787,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",7.79847633,7.79847633
20040225,7.82385098,8.14103413,7.78155989,8.11988859,21782,176867,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.11988859,8.11988859
20040226,8.11988859,8.18332522,8.07759750,8.09874304,10292,83352,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.09874304,8.09874304
20040227,8.07759750,8.16217967,8.07759750,8.16217967,15166,123788,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.16217967,8.16217967
20040301,8.11988859,8.54279945,8.11988859,8.45821728,13304,112528,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.45821728,8.45821728
20040302,8.45821728,8.47936282,8.35248956,8.41592619,3038,25568,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.41592619,8.41592619
20040303,8.41592619,8.45398817,8.37363510,8.44552995,4656,39322,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.44552995,8.44552995
20040304,8.43707173,8.43707173,7.97186978,8.37363510,3852,32255,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.37363510,8.37363510
20040305,8.37363510,8.41592619,8.35248956,8.39478065,1608,13499,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.39478065,8.39478065
20040308,8.41592619,8.41592619,8.06491017,8.24676184,990,8164,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.24676184,8.24676184
20040309,8.28905293,8.35248956,8.24676184,8.24676184,948,7818,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.24676184,8.24676184
20040310,8.33134402,8.33134402,8.20447076,8.20447076,1298,10649,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",8.20447076,8.20447076
