Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20160916,20.44814443,20.67625122,20.02451753,20.16301094,49286,993754,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",20.16301094,20.16301094
20160919,20.28521101,20.50517112,19.95934416,19.95934416,5051,100815,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",19.95934416,19.95934416
20160920,19.83714410,20.00007752,19.55201061,20.00007752,4793,95860,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",20.00007752,20.00007752
20160921,19.72309070,19.95934416,19.55201061,19.57645062,2384,46670,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",19.57645062,19.57645062
20160922,19.67421067,19.67421067,19.54386394,19.56015728,3750,73351,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",19.56015728,19.56015728
20160923,19.55201061,19.64977066,19.51127725,19.60903730,2633,51631,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",19.60903730,19.60903730
20160926,19.55201061,19.73938404,19.54793727,19.60903730,1536,30119,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",19.60903730,19.60903730
20160927,19.64162399,19.66606400,19.55201061,19.57645062,2034,39819,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",19.57645062,19.57645062
20160928,19.56830395,19.67421067,19.34834383,19.59274396,3194,62579,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",19.59274396,19.59274396
20160929,19.65384400,19.87787745,19.56015728,19.85343744,1229,24400,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",19.85343744,19.85343744
20160930,19.79641074,20.33409103,19.78011740,20.17115761,3643,73484,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",20.17115761,20.17115761
20161003,20.12227758,20.32594436,20.12227758,20.17930428,2615,52769,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",20.17930428,20.17930428
20161004,20.32594436,20.46443777,20.16301094,20.39111773,2571,52426,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",20.39111773,20.39111773
20161005,20.44814443,20.84733131,20.42777775,20.71698457,2159,44728,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",20.71698457,20.71698457
20161006,20.65181120,20.85547798,20.59071117,20.83918464,1213,25278,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",20.83918464,20.83918464
20161007,20.89621134,20.97767805,20.77401127,20.84733131,1227,25580,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",20.84733131,20.84733131
20161010,20.90435801,20.90435801,20.72513124,20.86362465,1465,30565,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",20.86362465,20.86362465
20161011,20.82289130,21.02655807,20.55405115,20.98582472,3542,74332,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",20.98582472,20.98582472
20161012,20.85547798,21.01841140,20.78215794,21.01841140,727,15280,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",21.01841140,21.01841140
20161013,20.81474463,21.05914476,20.74549792,20.96138471,1937,40602,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",20.96138471,20.96138471
20161014,20.98175138,21.01841140,20.90435801,21.01841140,1574,33083,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",21.01841140,21.01841140
20161017,20.93694469,20.96953138,20.81881796,20.95323803,2420,50707,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",20.95323803,20.95323803
20161018,20.95323803,21.01841140,20.81474463,20.83918464,1291,26903,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",20.83918464,20.83918464
