Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19961122,17.99806020,18.44614468,16.72848749,17.17657197,68275,1172730,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",17.17657197,17.17657197
19961125,17.62465646,18.07274094,17.47529496,17.84869870,8877,158443,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",17.84869870,17.84869870
19961126,17.92337945,18.07274094,17.17657197,17.40061421,6861,119386,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",17.40061421,17.40061421
19961127,17.47529496,17.54997571,17.02721048,17.40061421,3459,60189,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",17.40061421,17.40061421
19961128,17.47529496,17.54997571,17.02721048,17.40061421,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",29.12500000,17.40061421
19961129,17.77401795,17.77401795,17.54997571,17.69933721,1171,20726,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",17.69933721,17.69933721
19961202,17.69933721,17.69933721,17.47529496,17.47529496,1583,27663,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",17.47529496,17.47529496
19961203,17.40061421,17.40061421,16.95252973,17.02721048,1617,27533,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",17.02721048,17.02721048
19961204,17.02721048,17.17657197,17.02721048,17.02721048,1243,21165,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",17.02721048,17.02721048
19961205,17.02721048,17.25125272,16.80316823,16.80316823,1069,17963,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",16.80316823,16.80316823
19961206,16.65380674,16.65380674,15.90699926,16.50444524,2483,40981,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",16.50444524,16.50444524
19961209,16.57912599,17.10189122,16.57912599,17.10189122,947,16195,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",17.10189122,17.10189122
19961210,17.25125272,17.62465646,17.17657197,17.47529496,949,16584,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",17.47529496,17.47529496
19961211,17.32593347,17.62465646,17.10189122,17.25125272,1077,18580,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",17.25125272,17.25125272
19961212,17.25125272,17.25125272,16.95252973,16.95252973,592,10036,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",16.95252973,16.95252973
19961213,16.87784898,16.95252973,16.42976449,16.50444524,1044,17231,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",16.50444524,16.50444524
19961216,16.35508375,16.35508375,15.60827627,15.83231851,1996,31601,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",15.83231851,15.83231851
19961217,15.83231851,16.95252973,15.83231851,16.95252973,2124,36007,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",16.95252973,16.95252973
19961218,16.95252973,17.17657197,16.80316823,17.17657197,1241,21316,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",17.17657197,17.17657197
19961219,16.87784898,17.02721048,16.87784898,16.95252973,622,10544,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",16.95252973,16.95252973
19961220,17.02721048,17.32593347,17.02721048,17.25125272,815,14060,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",17.25125272,17.25125272
19961223,17.17657197,17.47529496,17.10189122,17.40061421,402,6995,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",17.40061421,17.40061421
19961224,17.17657197,17.47529496,17.17657197,17.47529496,431,7532,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",17.47529496,17.47529496
19961225,17.17657197,17.47529496,17.17657197,17.47529496,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",29.25000000,17.47529496
19961226,17.32593347,17.47529496,17.32593347,17.47529496,379,6623,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",17.47529496,17.47529496
19961227,17.40061421,17.92337945,17.40061421,17.92337945,829,14858,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",17.92337945,17.92337945
19961230,17.84869870,18.07274094,17.84869870,17.99806020,696,12527,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",17.99806020,17.99806020
19961231,17.99806020,18.44614468,17.99806020,18.44614468,378,6973,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",18.44614468,18.44614468
