Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210329,9.65000000,9.65000000,9.65000000,9.65000000,1,10,N/A,N/A,0,0,"NYSE","","","Common Stock",9.65000000,9.65000000
20210330,9.80000000,9.80000000,9.58000000,9.66000000,34,328,N/A,N/A,0,0,"NYSE","","","Common Stock",9.66000000,9.66000000
20210331,9.65000000,9.70000000,9.65000000,9.70000000,91,883,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210401,9.75000000,9.82100000,9.74000000,9.75000000,358,3491,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210402,9.75000000,9.82100000,9.74000000,9.75000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210405,9.71000000,9.84000000,9.71000000,9.75800000,45,439,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75800000,9.75800000
20210406,9.72000000,9.89000000,9.70000000,9.73000000,253,2462,N/A,N/A,0,0,"NYSE","","","Common Stock",9.73000000,9.73000000
20210407,9.78000000,9.80000000,9.78000000,9.78000000,17,166,N/A,N/A,0,0,"NYSE","","","Common Stock",9.78000000,9.78000000
20210408,9.84900000,9.84900000,9.78000000,9.80000000,54,529,N/A,N/A,0,0,"NYSE","","","Common Stock",9.80000000,9.80000000
20210409,9.92000000,10.15000000,9.83000000,9.99000000,318,3177,N/A,N/A,0,0,"NYSE","","","Common Stock",9.99000000,9.99000000
20210412,10.07000000,10.07000000,9.87000000,9.87000000,574,5665,N/A,N/A,0,0,"NYSE","","","Common Stock",9.87000000,9.87000000
20210413,9.86000000,9.86000000,9.82000000,9.82000000,340,3339,N/A,N/A,0,0,"NYSE","","","Common Stock",9.82000000,9.82000000
20210414,9.84000000,9.85000000,9.80000000,9.84500000,807,7945,N/A,N/A,0,0,"NYSE","","","Common Stock",9.84500000,9.84500000
