Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20061109,10.05137921,10.24467497,9.95473133,10.05524513,127480,1281843,N/A,N/A,0,0,"NYSE","","","Common Stock",10.05524513,10.05524513
20061110,10.05524513,10.32972510,10.05137921,10.31426144,10426,107536,N/A,N/A,0,0,"NYSE","","","Common Stock",10.31426144,10.31426144
20061113,10.34132284,10.47662987,10.15575892,10.20601582,10834,110572,N/A,N/A,0,0,"NYSE","","","Common Stock",10.20601582,10.20601582
20061114,10.24467497,10.43023889,10.14802709,10.24467497,10450,107057,N/A,N/A,0,0,"NYSE","","","Common Stock",10.24467497,10.24467497
20061115,10.21761356,10.41864114,10.20601582,10.39931157,3448,35857,N/A,N/A,0,0,"NYSE","","","Common Stock",10.39931157,10.39931157
20061116,10.39931157,10.43797072,10.28720003,10.41864114,6263,65252,N/A,N/A,0,0,"NYSE","","","Common Stock",10.41864114,10.41864114
20061117,10.37998199,10.49595945,10.16735666,10.34132284,6400,66184,N/A,N/A,0,0,"NYSE","","","Common Stock",10.34132284,10.34132284
20061120,10.39931157,10.46889804,10.32199327,10.46503213,2774,29030,N/A,N/A,0,0,"NYSE","","","Common Stock",10.46503213,10.46503213
20061121,10.45730030,10.49209353,10.37998199,10.45343438,5406,56511,N/A,N/A,0,0,"NYSE","","","Common Stock",10.45343438,10.45343438
20061122,10.45343438,10.68925520,10.39931157,10.61193690,2585,27432,N/A,N/A,0,0,"NYSE","","","Common Stock",10.61193690,10.61193690
20061123,10.45343438,10.68925520,10.39931157,10.61193690,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",27.45000000,10.61193690
20061124,10.53461860,10.82842814,10.51528902,10.82456223,774,8378,N/A,N/A,0,0,"NYSE","","","Common Stock",10.82456223,10.82456223
20061127,10.81683040,10.81683040,10.47662987,10.53461860,7940,83645,N/A,N/A,0,0,"NYSE","","","Common Stock",10.53461860,10.53461860
20061128,10.47662987,10.66992562,10.43797072,10.64286422,5521,58759,N/A,N/A,0,0,"NYSE","","","Common Stock",10.64286422,10.64286422
20061129,10.65059605,10.80909857,10.57327775,10.74724393,2666,28652,N/A,N/A,0,0,"NYSE","","","Common Stock",10.74724393,10.74724393
20061130,10.76657350,10.94053968,10.63126647,10.63126647,2674,28428,N/A,N/A,0,0,"NYSE","","","Common Stock",10.63126647,10.63126647
20061201,10.63126647,10.78590308,10.57714366,10.66992562,2146,22898,N/A,N/A,0,0,"NYSE","","","Common Stock",10.66992562,10.66992562
20061204,10.65059605,10.92121011,10.59260732,10.70858478,2351,25176,N/A,N/A,0,0,"NYSE","","","Common Stock",10.70858478,10.70858478
20061205,10.78590308,10.86322138,10.68925520,10.75497576,1104,11873,N/A,N/A,0,0,"NYSE","","","Common Stock",10.75497576,10.75497576
20061206,10.75497576,10.81296448,10.72791435,10.74724393,1838,19753,N/A,N/A,0,0,"NYSE","","","Common Stock",10.74724393,10.74724393
20061207,10.70858478,10.80523265,10.68925520,10.78590308,2035,21949,N/A,N/A,0,0,"NYSE","","","Common Stock",10.78590308,10.78590308
20061208,10.78590308,10.78590308,10.48049579,10.59647324,2930,31048,N/A,N/A,0,0,"NYSE","","","Common Stock",10.59647324,10.59647324
20061211,10.61193690,10.65059605,10.27946820,10.44570255,2570,26845,N/A,N/A,0,0,"NYSE","","","Common Stock",10.44570255,10.44570255
20061212,10.43797072,10.53461860,10.41864114,10.43797072,3030,31627,N/A,N/A,0,0,"NYSE","","","Common Stock",10.43797072,10.43797072
20061213,10.43410480,10.47662987,10.39931157,10.43797072,2281,23809,N/A,N/A,0,0,"NYSE","","","Common Stock",10.43797072,10.43797072
20061214,10.47662987,10.63126647,10.43797072,10.55008226,1163,12270,N/A,N/A,0,0,"NYSE","","","Common Stock",10.55008226,10.55008226
20061215,10.56168000,10.65059605,10.40704340,10.53848451,988,10412,N/A,N/A,0,0,"NYSE","","","Common Stock",10.53848451,10.53848451
20061218,10.65059605,10.82456223,10.54235043,10.55781409,1970,20799,N/A,N/A,0,0,"NYSE","","","Common Stock",10.55781409,10.55781409
20061219,10.53461860,10.58100958,10.43797072,10.56168000,986,10414,N/A,N/A,0,0,"NYSE","","","Common Stock",10.56168000,10.56168000
20061220,10.57327775,10.76657350,10.55394817,10.71631661,10679,114440,N/A,N/A,0,0,"NYSE","","","Common Stock",10.71631661,10.71631661
20061221,10.74724393,10.82456223,10.63126647,10.63126647,4555,48425,N/A,N/A,0,0,"NYSE","","","Common Stock",10.63126647,10.63126647
20061222,10.66992562,10.76657350,10.65059605,10.72791435,792,8497,N/A,N/A,0,0,"NYSE","","","Common Stock",10.72791435,10.72791435
20061225,10.66992562,10.76657350,10.65059605,10.72791435,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",27.75000000,10.72791435
20061226,10.68925520,10.77430533,10.64673013,10.75884167,983,10576,N/A,N/A,0,0,"NYSE","","","Common Stock",10.75884167,10.75884167
20061227,10.75884167,10.95600334,10.74724393,10.88255095,3417,37186,N/A,N/A,0,0,"NYSE","","","Common Stock",10.88255095,10.88255095
20061228,10.84389180,10.90188053,10.78590308,10.82456223,822,8898,N/A,N/A,0,0,"NYSE","","","Common Stock",10.82456223,10.82456223
20061229,10.82456223,10.84389180,10.66992562,10.82456223,857,9277,N/A,N/A,0,0,"NYSE","","","Common Stock",10.82456223,10.82456223
20070101,10.82456223,10.84389180,10.66992562,10.82456223,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",28.00000000,10.82456223
20070102,10.82456223,10.84389180,10.66992562,10.82456223,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",28.00000000,10.82456223
20070103,10.90188053,10.97146700,10.82456223,10.91734419,3078,33604,N/A,N/A,0,0,"NYSE","","","Common Stock",10.91734419,10.91734419
20070104,10.94053968,10.97919883,10.67379154,10.82069631,586,6341,N/A,N/A,0,0,"NYSE","","","Common Stock",10.82069631,10.82069631
20070105,10.74724393,11.13383543,10.28333412,10.63126647,3262,34679,N/A,N/A,0,0,"NYSE","","","Common Stock",10.63126647,10.63126647
20070108,10.65059605,10.92121011,10.61193690,10.78976899,4760,51359,N/A,N/A,0,0,"NYSE","","","Common Stock",10.78976899,10.78976899
20070109,10.79363491,10.79363491,10.26400454,10.47662987,5007,52456,N/A,N/A,0,0,"NYSE","","","Common Stock",10.47662987,10.47662987
20070110,10.48049579,10.51528902,10.32199327,10.33359101,436,4505,N/A,N/A,0,0,"NYSE","","","Common Stock",10.33359101,10.33359101
20070111,10.30266369,10.46116621,10.28720003,10.39544565,1157,12028,N/A,N/A,0,0,"NYSE","","","Common Stock",10.39544565,10.39544565
20070112,10.37998199,10.41864114,10.27173637,10.32199327,697,7194,N/A,N/A,0,0,"NYSE","","","Common Stock",10.32199327,10.32199327
20070115,10.37998199,10.41864114,10.27173637,10.32199327,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",26.70000000,10.32199327
20070116,10.31426144,10.37225016,10.11709977,10.28333412,1136,11682,N/A,N/A,0,0,"NYSE","","","Common Stock",10.28333412,10.28333412
20070117,10.34132284,10.37998199,10.14802709,10.17895441,780,7940,N/A,N/A,0,0,"NYSE","","","Common Stock",10.17895441,10.17895441
20070118,10.16735666,10.30266369,10.16735666,10.26400454,646,6631,N/A,N/A,0,0,"NYSE","","","Common Stock",10.26400454,10.26400454
20070119,10.30266369,10.39931157,10.26400454,10.37611608,1391,14433,N/A,N/A,0,0,"NYSE","","","Common Stock",10.37611608,10.37611608
20070122,10.30266369,10.39544565,10.28333412,10.33745693,741,7660,N/A,N/A,0,0,"NYSE","","","Common Stock",10.33745693,10.33745693
20070123,10.36065242,10.39931157,10.29106595,10.29106595,456,4693,N/A,N/A,0,0,"NYSE","","","Common Stock",10.29106595,10.29106595
20070124,10.36065242,10.39931157,10.17508849,10.35292059,1512,15654,N/A,N/A,0,0,"NYSE","","","Common Stock",10.35292059,10.35292059
20070125,10.37998199,10.40317748,10.21374765,10.32199327,963,9940,N/A,N/A,0,0,"NYSE","","","Common Stock",10.32199327,10.32199327
20070126,10.30266369,10.41864114,10.14802709,10.29493186,649,6681,N/A,N/A,0,0,"NYSE","","","Common Stock",10.29493186,10.29493186
20070129,10.32585918,10.34905467,10.09003836,10.12869751,502,5085,N/A,N/A,0,0,"NYSE","","","Common Stock",10.12869751,10.12869751
20070130,10.14802709,10.14802709,9.95473133,10.09003836,8931,90114,N/A,N/A,0,0,"NYSE","","","Common Stock",10.09003836,10.09003836
20070131,10.12869751,10.12869751,9.99339049,10.00885415,5185,51896,N/A,N/A,0,0,"NYSE","","","Common Stock",10.00885415,10.00885415
20070201,9.99339049,10.24080905,9.80396065,10.19055215,2787,28401,N/A,N/A,0,0,"NYSE","","","Common Stock",10.19055215,10.19055215
20070202,10.34132284,10.35292059,9.76143558,10.24467497,4024,41225,N/A,N/A,0,0,"NYSE","","","Common Stock",10.24467497,10.24467497
20070205,10.32199327,10.33745693,10.21761356,10.26400454,1611,16535,N/A,N/A,0,0,"NYSE","","","Common Stock",10.26400454,10.26400454
20070206,10.30266369,10.35678650,10.24467497,10.34132284,3416,35326,N/A,N/A,0,0,"NYSE","","","Common Stock",10.34132284,10.34132284
20070207,10.39931157,10.62740056,10.23694314,10.43797072,4845,50572,N/A,N/A,0,0,"NYSE","","","Common Stock",10.43797072,10.43797072
20070208,10.41864114,10.51142311,10.41864114,10.43797072,1362,14217,N/A,N/A,0,0,"NYSE","","","Common Stock",10.43797072,10.43797072
20070209,10.43797072,10.43797072,10.24467497,10.25627271,1336,13702,N/A,N/A,0,0,"NYSE","","","Common Stock",10.25627271,10.25627271
20070212,10.26400454,10.42250706,10.26400454,10.30266369,2659,27395,N/A,N/A,0,0,"NYSE","","","Common Stock",10.30266369,10.30266369
20070213,10.30652961,10.36451833,10.17122258,10.36451833,1127,11681,N/A,N/A,0,0,"NYSE","","","Common Stock",10.36451833,10.36451833
20070214,10.36838425,10.47662987,10.34518876,10.43797072,1284,13402,N/A,N/A,0,0,"NYSE","","","Common Stock",10.43797072,10.43797072
20070215,10.45730030,10.51528902,10.41090931,10.44183664,1415,14775,N/A,N/A,0,0,"NYSE","","","Common Stock",10.44183664,10.44183664
20070216,10.43410480,10.66219379,10.43410480,10.59260732,1084,11482,N/A,N/A,0,0,"NYSE","","","Common Stock",10.59260732,10.59260732
20070219,10.43410480,10.66219379,10.43410480,10.59260732,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",27.40000000,10.59260732
20070220,10.59260732,10.81296448,10.53075268,10.78590308,1560,16826,N/A,N/A,0,0,"NYSE","","","Common Stock",10.78590308,10.78590308
