Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20061101,25.31996149,25.63310589,24.69367269,24.69367269,1781,43979,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",24.69367269,24.69367269
20061102,24.64893778,24.64893778,23.60214079,23.60214079,2894,68305,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",23.60214079,23.60214079
20061103,23.44109509,23.62003475,23.23531449,23.24426147,1953,45396,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",23.24426147,23.24426147
20061106,23.35162527,23.53056492,22.90427612,23.35162527,2319,54152,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",23.35162527,23.35162527
20061107,23.21742052,24.60420287,23.18163259,24.33579338,1797,43731,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",24.33579338,24.33579338
20061108,24.55946795,24.95313520,24.24632355,24.95313520,4317,107723,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",24.95313520,24.95313520
20061109,25.72257572,25.94625029,25.27522658,25.49890115,6356,162071,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",25.49890115,25.49890115
20061110,25.94625029,26.21465978,25.40943132,25.48995417,5454,139022,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",25.48995417,25.48995417
20061113,25.49890115,25.69573477,25.28417356,25.29312055,4863,123000,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",25.29312055,25.29312055
20061114,25.27522658,25.28417356,25.02471106,25.14102184,1880,47265,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",25.14102184,25.14102184
20061115,25.14102184,25.27522658,25.06049899,25.27522658,3179,80350,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",25.27522658,25.27522658
20061116,25.45416624,26.45622832,25.45416624,26.16097788,10907,285338,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",26.16097788,26.16097788
20061117,26.16097788,26.33991754,25.72257572,26.11624297,8987,234707,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",26.11624297,26.11624297
20061120,26.08940202,26.61727401,26.08940202,26.39359944,3757,99161,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",26.39359944,26.39359944
20061121,26.34886452,26.61727401,26.30412961,26.57253909,3201,85059,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",26.57253909,26.57253909
20061122,26.79621367,27.10935807,26.79621367,26.94831237,3073,82812,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",26.94831237,26.94831237
20061123,26.79621367,27.10935807,26.79621367,26.94831237,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",30.12000000,26.94831237
20061124,26.97515332,27.36882057,26.88568349,27.27040376,963,26261,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",27.27040376,27.27040376
20061127,27.27040376,27.27040376,26.30412961,26.61727401,5668,150867,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",26.61727401,26.61727401
20061128,26.79621367,26.88568349,26.57253909,26.84094858,2064,55400,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",26.84094858,26.84094858
20061129,26.97515332,27.15409298,26.84094858,27.06462315,3668,99273,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",27.06462315,27.06462315
20061130,27.01988824,27.82511670,26.87673651,27.73564687,7306,202637,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",27.73564687,27.73564687
20061201,28.09352618,28.15615506,27.62828307,27.95932144,4475,125118,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",27.95932144,27.95932144
20061204,28.18299601,28.27246584,27.96826842,28.26351886,4460,126055,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",28.26351886,28.26351886
20061205,28.48719343,28.49614041,28.09352618,28.31720075,5081,143880,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",28.31720075,28.31720075
20061206,28.49614041,28.49614041,27.95932144,28.15615506,2674,75290,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",28.15615506,28.15615506
20061207,27.82511670,28.06668523,27.17198695,27.41355548,2989,81939,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",27.41355548,27.41355548
20061208,27.63723006,27.63723006,27.15409298,27.24356281,2090,56939,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",27.24356281,27.24356281
20061211,27.73564687,27.73564687,27.35987359,27.35987359,1670,45691,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",27.35987359,27.35987359
20061212,27.55670721,27.55670721,26.92147143,27.26145678,1375,37485,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",27.26145678,27.26145678
20061213,27.73564687,27.73564687,27.17198695,27.18988091,1794,48779,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",27.18988091,27.18988091
20061214,27.33303264,27.36882057,26.88568349,27.19882790,892,24261,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",27.19882790,27.19882790
20061215,27.28829772,27.28829772,26.70674384,26.83200160,1503,40328,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",26.83200160,26.83200160
20061218,27.05567617,27.10935807,26.63516797,26.67990289,1654,44129,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",26.67990289,26.67990289
20061219,26.62622099,26.78726668,25.99098521,26.48306927,1158,30667,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",26.48306927,26.48306927
20061220,26.43833435,26.52780418,26.26834168,26.39359944,2446,64559,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",26.39359944,26.39359944
20061221,26.30412961,26.45622832,26.21465978,26.34886452,1050,27666,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",26.34886452,26.34886452
20061222,26.43833435,26.44728133,26.13413693,26.27728866,259,6806,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",26.27728866,26.27728866
20061225,26.43833435,26.44728133,26.13413693,26.27728866,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",29.37000000,26.27728866
20061226,26.23255375,26.42938737,26.21465978,26.41149340,349,9218,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",26.41149340,26.41149340
20061227,26.39359944,26.57253909,26.17887185,26.56359211,754,20029,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",26.56359211,26.56359211
20061228,26.52780418,26.84094858,26.30412961,26.81410763,1133,30380,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",26.81410763,26.81410763
20061229,26.81410763,26.97515332,26.62622099,26.75147875,1893,50641,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",26.75147875,26.75147875
20070101,26.81410763,26.97515332,26.62622099,26.75147875,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",29.90000000,26.75147875
20070102,26.81410763,26.97515332,26.62622099,26.75147875,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",29.90000000,26.75147875
20070103,26.84094858,27.23461583,26.02677314,26.02677314,2320,60382,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",26.02677314,26.02677314
20070104,25.54363607,25.60626495,25.14102184,25.15891580,2731,68709,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",25.15891580,25.15891580
20070105,25.15891580,25.18575675,24.15685372,24.44315717,5070,123927,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",24.44315717,24.44315717
20070108,24.44315717,24.63104381,24.17474769,24.29105847,763,18534,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",24.29105847,24.29105847
20070109,24.24632355,24.51473304,23.97791407,24.15685372,2585,62445,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",24.15685372,24.15685372
20070110,24.13001277,24.42526321,24.07633088,24.11211881,3031,73084,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",24.11211881,24.11211881
20070111,24.12106579,24.48789209,24.12106579,24.25527053,2085,50572,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",24.25527053,24.25527053
20070112,24.35368735,24.65788476,24.28211148,24.50578605,3239,79374,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",24.50578605,24.50578605
20070115,24.35368735,24.65788476,24.28211148,24.50578605,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",27.39000000,24.50578605
20070116,24.55946795,24.87261235,24.50578605,24.60420287,3274,80554,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",24.60420287,24.60420287
