Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20140116,27.15969093,27.97423482,26.94577031,27.23374037,7861,214084,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Gas","Common Stock",27.23374037,27.23374037
20140117,27.90841309,27.97423482,27.23374037,27.39006698,5068,138813,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Gas","Common Stock",27.39006698,27.39006698
20140120,27.90841309,27.97423482,27.23374037,27.39006698,0,0,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Gas","Common Stock",33.29000000,27.39006698
20140121,27.54639358,27.86727451,27.34070068,27.45588871,5965,163774,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Gas","Common Stock",27.45588871,27.45588871
20140122,27.63689846,27.96600711,27.36538383,27.64512618,3889,107512,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Gas","Common Stock",27.64512618,27.64512618
20140123,27.44766099,27.64512618,27.35715611,27.61221531,2258,62348,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Gas","Common Stock",27.61221531,27.61221531
20140124,27.38183926,27.71094791,27.35715611,27.43120556,2073,56865,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Gas","Common Stock",27.43120556,27.43120556
20140127,26.91285944,27.83436365,26.91285944,27.43120556,353,9683,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Gas","Common Stock",27.43120556,27.43120556
20140128,27.59575988,28.08119513,27.39829469,27.66158161,3653,101048,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Gas","Common Stock",27.66158161,27.66158161
20140129,27.49702729,27.97423482,27.45588871,27.73563106,2068,57357,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Gas","Common Stock",27.73563106,27.73563106
20140130,28.21283859,28.39384835,27.81790822,27.91664081,4106,114626,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Gas","Common Stock",27.91664081,27.91664081
20140131,28.46789779,28.46789779,27.63689846,28.07296742,96307,2703623,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Gas","Common Stock",28.07296742,28.07296742
20140203,27.39829469,27.97423482,27.35715611,27.66980933,19750,546479,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Gas","Common Stock",27.66980933,27.66980933
20140204,27.42297784,27.56284902,26.77298827,27.33247297,44086,1204979,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Gas","Common Stock",27.33247297,27.33247297
20140205,27.35715611,27.65335389,27.15146321,27.34070068,19095,522071,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Gas","Common Stock",27.34070068,27.34070068
20140206,27.29133438,27.50525500,27.25019580,27.48057186,11604,318885,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Gas","Common Stock",27.48057186,27.48057186
20140207,27.20905722,27.37361155,27.05273062,27.13500778,25512,692268,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Gas","Common Stock",27.13500778,27.13500778
20140210,26.74007740,26.92108716,26.36983018,26.74007740,31372,838890,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Gas","Common Stock",26.74007740,26.74007740
20140211,26.72362197,27.23374037,26.64957253,27.01981975,19261,520429,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Gas","Common Stock",27.01981975,27.01981975
20140212,26.74830512,26.96222574,26.40274104,26.53438450,25060,664952,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Gas","Common Stock",26.53438450,26.53438450
20140213,26.27932530,27.16791864,26.27932530,26.74830512,13877,371186,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Gas","Common Stock",26.74830512,26.74830512
20140214,26.60843395,27.39829469,26.60843395,27.24196809,9029,245968,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Gas","Common Stock",27.24196809,27.24196809
20140217,26.60843395,27.39829469,26.60843395,27.24196809,0,0,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Gas","Common Stock",33.11000000,27.24196809
20140218,27.25019580,27.48057186,27.07741377,27.30778982,9010,246043,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Gas","Common Stock",27.30778982,27.30778982
20140219,27.35715611,27.39829469,27.06918605,27.23374037,8910,242653,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Gas","Common Stock",27.23374037,27.23374037
20140220,27.20905722,27.52993815,27.09386920,27.26665124,2496,68058,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Gas","Common Stock",27.26665124,27.26665124
20140221,27.36538383,27.52171044,27.15969093,27.34892840,5512,150747,N/A,N/A,1726527,51941,"NYSE","Utilities","Utilities/Gas","Common Stock",27.34892840,27.34892840
20140224,27.39829469,27.72740334,27.26665124,27.28310667,5052,137834,N/A,N/A,1722371,51941,"NYSE","Utilities","Utilities/Gas","Common Stock",27.28310667,27.28310667
20140225,27.17614636,27.47234414,27.06095833,27.10209691,4621,125239,N/A,N/A,1710944,51941,"NYSE","Utilities","Utilities/Gas","Common Stock",27.10209691,27.10209691
20140226,27.15146321,27.32424525,27.01981975,27.29956210,4106,112092,N/A,N/A,1723410,51941,"NYSE","Utilities","Utilities/Gas","Common Stock",27.29956210,27.29956210
20140227,27.15146321,27.36538383,27.14323549,27.33247297,2731,74645,N/A,N/A,1725488,51941,"NYSE","Utilities","Utilities/Gas","Common Stock",27.33247297,27.33247297
20140228,27.46411642,28.08119513,27.34070068,27.95777939,11292,315699,N/A,N/A,1764963,51941,"NYSE","Utilities","Utilities/Gas","Common Stock",27.95777939,27.95777939
20140303,27.82613593,29.34003570,27.82613593,28.69004613,16637,477316,N/A,N/A,1811191,51941,"NYSE","Utilities","Utilities/Gas","Common Stock",28.69004613,28.69004613
20140304,28.73118471,29.12611508,28.64890755,28.93687761,5603,162133,N/A,N/A,1826773,51941,"NYSE","Utilities","Utilities/Gas","Common Stock",28.93687761,28.93687761
20140305,28.83814502,29.40585743,28.73941242,29.11788736,4410,128410,N/A,N/A,1838200,51941,"NYSE","Utilities","Utilities/Gas","Common Stock",29.11788736,29.11788736
20140306,29.09320422,30.19571818,29.08497650,29.42231286,6402,188362,N/A,N/A,1857419,51941,"NYSE","Utilities","Utilities/Gas","Common Stock",29.42231286,29.42231286
20140307,29.42231286,29.54572860,28.69827384,29.32358027,5327,156207,N/A,N/A,1851186,51941,"NYSE","Utilities","Utilities/Gas","Common Stock",29.32358027,29.32358027
20140310,29.16725366,29.34826342,28.90396675,28.92864989,4385,126852,N/A,N/A,1826254,51941,"NYSE","Utilities","Utilities/Gas","Common Stock",28.92864989,28.92864989
20140311,28.93687761,28.93687761,28.27043260,28.62422440,2758,78946,N/A,N/A,1807036,51941,"NYSE","Utilities","Utilities/Gas","Common Stock",28.62422440,28.62422440
20140312,28.59954125,29.38940200,28.55840267,29.36471885,3699,108620,N/A,N/A,1853783,51941,"NYSE","Utilities","Utilities/Gas","Common Stock",29.36471885,29.36471885
20140313,29.32358027,29.32358027,28.97801619,29.22484767,5143,150303,N/A,N/A,1844953,51941,"NYSE","Utilities","Utilities/Gas","Common Stock",29.22484767,29.22484767
