Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19930924,2.26936848,2.29140119,2.24733578,2.25835213,94094,212497,N/A,N/A,0,0,"NYSE","","","Common Stock",2.25835213,2.25835213
19930927,2.28038484,2.29140119,2.25835213,2.26936848,17942,40717,N/A,N/A,0,0,"NYSE","","","Common Stock",2.26936848,2.26936848
19930928,2.28038484,2.30241754,2.25835213,2.30241754,17802,40988,N/A,N/A,0,0,"NYSE","","","Common Stock",2.30241754,2.30241754
19930929,2.31343389,2.35749930,2.30241754,2.34648295,13996,32841,N/A,N/A,0,0,"NYSE","","","Common Stock",2.34648295,2.34648295
19930930,2.35749930,2.35749930,2.31343389,2.31343389,10374,24000,N/A,N/A,0,0,"NYSE","","","Common Stock",2.31343389,2.31343389
19931001,2.32445024,2.36851565,2.31343389,2.35749930,6674,15734,N/A,N/A,0,0,"NYSE","","","Common Stock",2.35749930,2.35749930
19931004,2.35749930,2.36851565,2.33546660,2.36851565,6940,16437,N/A,N/A,0,0,"NYSE","","","Common Stock",2.36851565,2.36851565
19931005,2.36851565,2.37953200,2.35749930,2.36851565,10292,24377,N/A,N/A,0,0,"NYSE","","","Common Stock",2.36851565,2.36851565
19931006,2.36851565,2.42359741,2.35749930,2.42359741,6074,14721,N/A,N/A,0,0,"NYSE","","","Common Stock",2.42359741,2.42359741
19931007,2.41258106,2.42359741,2.39054836,2.41258106,6092,14697,N/A,N/A,0,0,"NYSE","","","Common Stock",2.41258106,2.41258106
19931008,2.41258106,2.42359741,2.37953200,2.39054836,4494,10743,N/A,N/A,0,0,"NYSE","","","Common Stock",2.39054836,2.39054836
19931011,2.40156471,2.42359741,2.39054836,2.41258106,2942,7098,N/A,N/A,0,0,"NYSE","","","Common Stock",2.41258106,2.41258106
19931012,2.42359741,2.44563011,2.41258106,2.44563011,6382,15608,N/A,N/A,0,0,"NYSE","","","Common Stock",2.44563011,2.44563011
19931013,2.45664647,2.46766282,2.42359741,2.43461376,4956,12066,N/A,N/A,0,0,"NYSE","","","Common Stock",2.43461376,2.43461376
19931014,2.44563011,2.46766282,2.43461376,2.46766282,4142,10221,N/A,N/A,0,0,"NYSE","","","Common Stock",2.46766282,2.46766282
19931015,2.47867917,2.48969552,2.45664647,2.47867917,6738,16701,N/A,N/A,0,0,"NYSE","","","Common Stock",2.47867917,2.47867917
19931018,2.47867917,2.47867917,2.43461376,2.45664647,3856,9473,N/A,N/A,0,0,"NYSE","","","Common Stock",2.45664647,2.45664647
