Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20201120,9.90000000,10.10000000,9.78000000,9.85000000,9540,93969,N/A,N/A,0,0,"NYSE","","","Common Stock",9.85000000,9.85000000
20201123,9.85000000,9.95000000,9.85000000,9.89000000,1469,14528,N/A,N/A,0,0,"NYSE","","","Common Stock",9.89000000,9.89000000
20201124,9.86000000,9.99000000,9.85000000,9.99000000,1651,16493,N/A,N/A,0,0,"NYSE","","","Common Stock",9.99000000,9.99000000
20201125,9.98500000,9.98500000,9.86000000,9.95000000,746,7423,N/A,N/A,0,0,"NYSE","","","Common Stock",9.95000000,9.95000000
20201126,9.98500000,9.98500000,9.86000000,9.95000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.95000000,9.95000000
20201127,9.90000000,9.94000000,9.86000000,9.87000000,326,3218,N/A,N/A,0,0,"NYSE","","","Common Stock",9.87000000,9.87000000
20201130,9.87000000,10.00000000,9.87000000,9.88000000,968,9564,N/A,N/A,0,0,"NYSE","","","Common Stock",9.88000000,9.88000000
20201201,9.86000000,10.30500000,9.86000000,9.91000000,563,5579,N/A,N/A,0,0,"NYSE","","","Common Stock",9.91000000,9.91000000
20201202,9.90000000,9.92000000,9.89000000,9.90000000,429,4247,N/A,N/A,0,0,"NYSE","","","Common Stock",9.90000000,9.90000000
20201203,9.90000000,9.97000000,9.90000000,9.95000000,43,428,N/A,N/A,0,0,"NYSE","","","Common Stock",9.95000000,9.95000000
20201204,9.97500000,10.02400000,9.91000000,9.95000000,428,4259,N/A,N/A,0,0,"NYSE","","","Common Stock",9.95000000,9.95000000
20201207,10.00000000,10.00000000,9.92000000,9.95000000,119,1184,N/A,N/A,0,0,"NYSE","","","Common Stock",9.95000000,9.95000000
20201208,9.95000000,10.07500000,9.95000000,9.97000000,388,3868,N/A,N/A,0,0,"NYSE","","","Common Stock",9.97000000,9.97000000
20201209,10.18000000,10.18000000,9.97000000,10.12000000,5070,51308,N/A,N/A,0,0,"NYSE","","","Common Stock",10.12000000,10.12000000
