Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19821006,2.34104968,2.64312061,2.34104968,2.34104968,20,47,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",2.34104968,2.34104968
19821007,2.34104968,2.34104968,2.34104968,2.34104968,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",2.34104968,2.34104968
19821008,2.34104968,2.34104968,2.34104968,2.34104968,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",2.34104968,2.34104968
19821011,2.34104968,2.34104968,2.34104968,2.34104968,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",2.34104968,2.34104968
19821012,2.49208514,2.64312061,2.49208514,2.49208514,80,199,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",2.49208514,2.49208514
19821013,2.71863834,2.86967380,2.71863834,2.71863834,99,269,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",2.71863834,2.71863834
19821014,2.71863834,2.86967380,2.71863834,2.71863834,132,359,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",2.71863834,2.71863834
19821015,2.71863834,2.71863834,2.71863834,2.71863834,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",2.71863834,2.71863834
19821018,2.71863834,2.86967380,2.64312061,2.64312061,50,132,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",2.64312061,2.64312061
19821019,2.64312061,2.64312061,2.49208514,2.49208514,52,130,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",2.49208514,2.49208514
19821020,2.49208514,2.64312061,2.49208514,2.49208514,23,57,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",2.49208514,2.49208514
19821021,2.49208514,2.49208514,2.34104968,2.34104968,16,37,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",2.34104968,2.34104968
19821022,2.34104968,2.41656741,2.34104968,2.34104968,12,28,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",2.34104968,2.34104968
19821025,2.34104968,2.34104968,2.34104968,2.34104968,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",2.34104968,2.34104968
19821026,2.34104968,2.34104968,2.34104968,2.34104968,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",2.34104968,2.34104968
19821027,2.34104968,2.34104968,2.34104968,2.34104968,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",2.34104968,2.34104968
19821028,2.34104968,2.34104968,2.34104968,2.34104968,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",2.34104968,2.34104968
19821029,2.34104968,2.34104968,2.11449649,2.11449649,15,32,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",2.11449649,2.11449649
19821101,2.11449649,2.11449649,2.11449649,2.11449649,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",2.11449649,2.11449649
19821102,2.11449649,2.11449649,2.11449649,2.11449649,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",2.11449649,2.11449649
19821103,2.11449649,2.11449649,2.11449649,2.11449649,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",2.11449649,2.11449649
19821104,2.11449649,2.26553195,2.11449649,2.11449649,14,30,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",2.11449649,2.11449649
19821105,2.11449649,2.34104968,2.11449649,2.11449649,36,76,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",2.11449649,2.11449649
19821108,2.11449649,2.11449649,2.11449649,2.11449649,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",2.11449649,2.11449649
19821109,2.11449649,2.11449649,2.11449649,2.11449649,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",2.11449649,2.11449649
19821110,2.11449649,2.11449649,2.11449649,2.11449649,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",2.11449649,2.11449649
19821111,2.11449649,2.19001422,2.03897875,2.03897875,17,35,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",2.03897875,2.03897875
19821112,2.03897875,2.03897875,2.03897875,2.03897875,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",2.03897875,2.03897875
19821115,2.03897875,2.03897875,2.03897875,2.03897875,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",2.03897875,2.03897875
19821116,2.03897875,2.03897875,2.03897875,2.03897875,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",2.03897875,2.03897875
