Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20180313,9.57000000,9.57000000,9.57000000,9.57000000,60,574,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.57000000,9.57000000
20180314,9.57000000,9.57000000,9.57000000,9.57000000,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.57000000,9.57000000
20180315,9.56000000,9.60000000,9.56000000,9.60000000,332,3187,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.60000000,9.60000000
20180316,9.60000000,9.60000000,9.60000000,9.60000000,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.60000000,9.60000000
20180319,9.57000000,9.59000000,9.57000000,9.59000000,32,307,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.59000000,9.59000000
20180320,9.59000000,9.59000000,9.59000000,9.59000000,12,115,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.59000000,9.59000000
20180321,9.58000000,9.58000000,9.57000000,9.57000000,36,345,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.57000000,9.57000000
20180322,9.57000000,9.57000000,9.56000000,9.57000000,84,804,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.57000000,9.57000000
20180323,9.58000000,9.58000000,9.58000000,9.58000000,26,249,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.58000000,9.58000000
20180326,9.58000000,9.60000000,9.58000000,9.60000000,50,480,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.60000000,9.60000000
20180327,9.58000000,9.60000000,9.58000000,9.60000000,139,1334,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.60000000,9.60000000
20180328,9.60000000,9.60000000,9.60000000,9.60000000,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.60000000,9.60000000
