Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210421,65.50000000,70.74000000,64.84000000,69.00000000,237916,16416204,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",69.00000000,69.00000000
20210422,73.20000000,80.00000000,71.03000000,75.50000000,132638,10014169,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",75.50000000,75.50000000
20210423,76.58000000,77.40100000,72.57000000,74.84000000,30983,2318768,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",74.84000000,74.84000000
20210426,76.15000000,82.44000000,75.70000000,80.81000000,35573,2874654,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",80.81000000,80.81000000
20210427,82.40000000,83.40000000,75.10000000,75.37000000,27219,2051496,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",75.37000000,75.37000000
20210428,76.58000000,77.89000000,75.41000000,75.41000000,8120,612329,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",75.41000000,75.41000000
20210429,76.37000000,76.98000000,70.11000000,75.29000000,19015,1431639,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",75.29000000,75.29000000
20210430,73.38000000,74.50000000,71.66000000,72.00000000,12300,885600,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",72.00000000,72.00000000
20210503,72.33000000,73.00000000,67.75000000,70.93000000,25262,1791834,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",70.93000000,70.93000000
20210504,70.32000000,76.58000000,69.25000000,73.98000000,26000,1923480,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",73.98000000,73.98000000
20210505,74.44000000,75.84000000,70.12000000,70.87000000,11592,821525,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",70.87000000,70.87000000
20210506,70.07000000,70.48500000,65.56000000,69.29000000,21253,1472620,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",69.29000000,69.29000000
20210507,69.29000000,71.94000000,68.31000000,69.02000000,17975,1240634,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",69.02000000,69.02000000
20210510,68.60000000,68.90000000,62.01000000,65.40000000,32310,2113074,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",65.40000000,65.40000000
20210511,62.28000000,77.25000000,61.50000000,74.81000000,57358,4290952,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",74.81000000,74.81000000
20210512,71.61000000,74.56000000,70.25000000,71.76000000,30711,2203821,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",71.76000000,71.76000000
20210513,71.76000000,72.59000000,64.27000000,66.42000000,46058,3059172,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",66.42000000,66.42000000
20210514,68.51000000,71.23000000,67.48000000,70.48000000,15433,1087718,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",70.48000000,70.48000000
20210517,67.99000000,70.77000000,65.20000000,68.00000000,15437,1049716,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",68.00000000,68.00000000
20210518,68.40000000,74.65000000,67.82000000,73.26000000,20297,1486958,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",73.26000000,73.26000000
20210519,71.00000000,75.06000000,70.99000000,72.46000000,13809,1000600,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",72.46000000,72.46000000
