Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20121213,20.61379617,20.73895136,19.14138216,19.32543391,87992,1700484,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",19.32543391,19.32543391
20121214,19.32543391,20.24569266,19.32543391,19.89231330,10122,201350,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",19.89231330,19.89231330
20121217,20.24569266,20.93036518,20.10581333,20.64324445,934,19281,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",20.64324445,20.64324445
20121218,20.64324445,21.04815830,20.26041681,20.51808926,9248,189751,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",20.51808926,20.51808926
20121219,20.34139958,20.70950308,19.87758916,20.31931337,11288,229364,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",20.31931337,20.31931337
20121220,20.17207196,20.69477894,19.96593400,20.48864098,10043,205767,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",20.48864098,20.48864098
20121221,20.20888231,20.56962375,20.07636505,20.55489961,4010,82425,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",20.55489961,20.55489961
20121224,20.61379617,20.61379617,20.24569266,20.53281340,156,3203,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",20.53281340,20.53281340
20121225,20.61379617,20.61379617,20.24569266,20.53281340,0,0,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",27.89000000,20.53281340
20121226,20.66533066,20.98189967,20.40029614,20.65796859,1899,39229,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",20.65796859,20.65796859
20121227,20.79048585,20.83465827,20.31195130,20.83465827,1992,41503,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",20.83465827,20.83465827
20121228,20.61379617,20.66533066,20.42974442,20.47391684,1037,21231,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",20.47391684,20.47391684
20121231,20.38557200,21.38681352,20.35612372,21.38681352,2035,43522,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",21.38681352,21.38681352
20130101,20.38557200,21.38681352,20.35612372,21.38681352,0,0,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",29.05000000,21.38681352
20130102,21.74755496,21.93896878,20.68741687,21.60767563,4394,94944,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",21.60767563,21.60767563
20130103,21.49724458,21.54141700,20.62852031,20.83465827,4310,89797,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Refining & Marketing","Common Stock",20.83465827,20.83465827
