Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,0.46667167,0.46991244,0.46343089,0.46505128,1712,796,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",0.46505128,0.46505128
19800804,0.46505128,0.47153283,0.46019012,0.47153283,1552,732,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",0.47153283,0.47153283
19800805,0.47153283,0.48449593,0.47153283,0.47963477,11472,5502,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",0.47963477,0.47963477
19800806,0.47963477,0.48287555,0.47801438,0.48287555,10672,5153,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",0.48287555,0.48287555
19800807,0.48449593,0.49259787,0.48449593,0.48773671,14192,6922,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",0.48773671,0.48773671
19800808,0.48773671,0.50394059,0.48773671,0.48773671,12160,5931,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",0.48773671,0.48773671
19800811,0.48773671,0.48773671,0.48287555,0.48773671,1792,874,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",0.48773671,0.48773671
19800812,0.48773671,0.49097748,0.46991244,0.47153283,7712,3636,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",0.47153283,0.47153283
19800813,0.47153283,0.47801438,0.46991244,0.47315322,2672,1264,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",0.47315322,0.47315322
19800814,0.47315322,0.48287555,0.46667167,0.47963477,5760,2763,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",0.47963477,0.47963477
19800815,0.47963477,0.48287555,0.47801438,0.48287555,2192,1058,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",0.48287555,0.48287555
19800818,0.48287555,0.48287555,0.46991244,0.46991244,4272,2007,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",0.46991244,0.46991244
19800819,0.46991244,0.47153283,0.46343089,0.46343089,2160,1001,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",0.46343089,0.46343089
19800820,0.46343089,0.46505128,0.46019012,0.46343089,960,445,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",0.46343089,0.46343089
19800821,0.46343089,0.47639399,0.46343089,0.47153283,1424,671,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",0.47153283,0.47153283
19800822,0.48102239,0.48429465,0.48102239,0.48102239,4240,2040,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",0.48102239,0.48102239
19800825,0.48102239,0.48756691,0.47775013,0.47775013,992,474,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",0.47775013,0.47775013
19800826,0.47775013,0.48756691,0.47775013,0.48429465,2720,1317,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Goods","Common Stock",0.48429465,0.48429465
