Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20100210,8.14954186,8.69652806,7.93958756,8.61917647,43431,374339,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",8.61917647,8.61917647
20100211,8.60260113,8.79598009,8.44237285,8.70205317,8899,77440,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",8.70205317,8.70205317
20100212,8.74625408,11.60826267,8.60812625,8.84018100,8055,71208,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",8.84018100,8.84018100
20100215,8.74625408,11.60826267,8.60812625,8.84018100,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",16.00000000,8.84018100
20100216,9.25456448,9.38164208,8.71310340,9.06118552,3925,35565,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.06118552,9.06118552
20100217,9.12196177,9.13853711,8.82913077,9.13853711,6441,58861,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.13853711,9.13853711
20100218,9.00593439,9.53082014,9.00593439,9.53082014,8192,78076,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.53082014,9.53082014
20100219,9.53082014,9.94520362,9.28219005,9.87337715,20286,200291,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.87337715,9.87337715
20100222,9.85127670,9.93967851,9.29324027,9.39269231,10166,95486,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.39269231,9.39269231
20100223,9.27113982,9.57502104,9.25456448,9.37611697,2581,24200,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.37611697,9.37611697
20100224,9.33744118,9.37611697,8.82360566,9.32639095,6144,57301,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.32639095,9.32639095
20100225,9.22693892,9.54739548,9.06118552,9.35954163,2829,26478,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.35954163,9.35954163
20100226,9.39269231,9.39269231,9.17168779,9.25456448,2601,24071,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.25456448,9.25456448
20100301,9.28219005,9.49766946,9.23798914,9.39269231,2255,21181,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.39269231,9.39269231
20100302,9.37059186,10.05570589,9.17168779,9.84575159,4658,45862,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.84575159,9.84575159
20100303,9.67447308,9.75182466,9.40374254,9.42031788,3058,28807,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.42031788,9.42031788
20100304,9.40926765,9.53082014,9.33744118,9.50319457,2175,20669,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.50319457,9.50319457
20100305,9.49766946,9.66894797,9.45346856,9.61369684,2782,26745,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.61369684,9.61369684
20100308,9.53082014,9.66894797,9.50319457,9.58054616,2147,20569,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.58054616,9.58054616
20100309,9.44794344,9.75182466,9.44794344,9.72419910,4559,44333,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.72419910,9.72419910
20100310,9.56949593,9.96730408,9.56949593,9.76840000,2221,21696,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.76840000,9.76840000
20100311,9.78808869,9.99060087,9.72058463,9.87246876,3771,37229,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.87246876,9.87246876
20100312,9.75996200,10.08060628,9.75996200,9.92872215,3145,31226,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.92872215,9.92872215
20100315,9.95684884,10.09748230,9.87246876,10.04122891,3491,35054,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",10.04122891,10.04122891
20100316,10.03560357,10.58688673,10.02435290,10.45750395,7580,79268,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",10.45750395,10.45750395
20100317,10.41250124,10.71626951,10.40687590,10.71626951,3404,36478,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",10.71626951,10.71626951
20100318,10.67126680,10.82877628,10.64314011,10.78939891,3065,33070,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",10.78939891,10.78939891
20100319,10.90753101,10.94128304,10.44625327,10.90753101,17000,185428,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",10.90753101,10.90753101
20100322,10.95253372,11.06504049,10.68814282,11.00316177,2516,27684,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.00316177,11.00316177
20100323,10.91315635,10.99753643,10.68814282,10.88502966,2047,22282,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",10.88502966,10.88502966
20100324,10.82877628,11.07066583,10.82877628,10.87940432,4058,44149,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",10.87940432,10.87940432
20100325,10.85690297,11.01441244,10.82877628,10.87940432,4502,48979,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",10.87940432,10.87940432
20100326,10.88502966,11.18317259,10.84565229,11.17192192,4296,47995,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.17192192,11.17192192
20100329,11.10441786,11.52069289,11.07066583,11.36318342,7330,83292,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.36318342,11.36318342
20100330,11.29567936,11.39131011,10.86252831,10.98066041,3119,34249,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",10.98066041,10.98066041
20100331,10.92440703,11.25067665,10.81752560,11.16629658,20443,228273,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.16629658,11.16629658
20100401,11.11004319,11.23380064,10.95815906,11.04816447,2904,32084,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.04816447,11.04816447
20100402,11.11004319,11.23380064,10.95815906,11.04816447,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",19.64000000,11.04816447
20100405,11.12129387,11.19442327,11.02566312,11.11004319,6853,76137,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.11004319,11.11004319
20100406,11.05378981,11.25067665,11.05378981,11.13816989,6689,74503,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.13816989,11.13816989
20100407,11.17754725,11.30693004,10.90190568,11.02003778,2180,24024,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.02003778,11.02003778
