Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20140523,21.84626009,22.17934208,20.75884535,21.74829480,222908,4847869,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",21.74829480,21.74829480
20140526,21.84626009,22.17934208,20.75884535,21.74829480,0,0,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",22.20000000,21.74829480
20140527,21.85605662,22.94347136,21.85605662,22.21852820,21969,488119,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",22.21852820,22.21852820
20140528,23.01204706,23.13548333,22.33608655,22.85530260,22360,511045,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",22.85530260,22.85530260
20140529,23.09041930,23.56065270,22.30669696,23.40390823,17086,399879,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",23.40390823,23.40390823
20140530,23.54105964,23.68800758,23.05123318,23.28634988,6878,160164,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",23.28634988,23.28634988
20140602,23.51167005,23.85454857,23.02184359,23.82515899,11468,273227,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",23.82515899,23.82515899
20140603,23.80556593,24.93216678,23.51167005,24.22681668,12369,299661,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",24.22681668,24.22681668
20140604,24.82440496,24.83420149,24.03088610,24.32478197,10019,243710,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",24.32478197,24.32478197
20140605,24.49132297,24.70684661,24.26600280,24.64806744,6573,162012,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",24.64806744,24.64806744
20140606,24.58928826,24.89004171,24.09946180,24.49132297,14259,349222,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",24.49132297,24.49132297
20140609,24.57949173,24.58928826,23.58024576,24.22681668,10395,251838,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",24.22681668,24.22681668
20140610,24.42274727,24.49132297,24.10925833,24.25620627,5296,128461,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",24.25620627,24.25620627
20140611,24.29539239,24.51091603,24.11905486,24.45213685,5497,134413,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",24.45213685,24.45213685
20140612,24.51091603,25.17708001,24.29539239,24.48152644,13406,328199,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",24.48152644,24.48152644
20140613,24.63827091,24.66276223,24.00149651,24.09946180,6866,165467,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",24.09946180,24.09946180
20140616,24.84399802,24.84399802,23.02184359,23.13940194,14270,330199,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",23.13940194,23.13940194
20140617,23.47248393,23.53126311,21.84626009,22.13035944,24044,532102,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",22.13035944,22.13035944
20140618,22.33608655,22.98265748,22.04219067,22.64957548,15977,361872,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",22.64957548,22.64957548
20140619,23.07082624,23.58024576,22.48303449,23.06102971,15252,351727,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",23.06102971,23.06102971
20140620,23.22757070,23.52146658,22.66916854,22.75733730,14261,324542,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",22.75733730,22.75733730
20140623,22.78672689,23.37451864,22.09117332,22.22832473,15504,344628,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",22.22832473,22.22832473
20140624,22.33608655,22.71815119,21.35643363,21.66012603,18699,405023,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",21.66012603,21.66012603
20140625,21.67971909,22.72794772,21.65032951,22.62998242,12635,285930,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",22.62998242,22.62998242
20140626,22.61038937,23.51167005,22.44384837,23.43329782,10065,235856,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",23.43329782,23.43329782
20140627,23.56065270,23.83495551,22.80631995,23.24716376,53316,1239446,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",23.24716376,23.24716376
20140630,23.18838459,23.65861799,23.07082624,23.58024576,8747,206256,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",23.58024576,23.58024576
20140701,23.54105964,23.57044923,22.88469218,22.91408177,12525,286999,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",22.91408177,22.91408177
20140702,22.94347136,23.11980888,22.33608655,22.64957548,10812,244887,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",22.64957548,22.64957548
20140703,22.54181366,22.58099978,22.08137679,22.15974902,4642,102866,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",22.15974902,22.15974902
20140704,22.54181366,22.58099978,22.08137679,22.15974902,0,0,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",22.62000000,22.15974902
20140707,22.14015596,22.68386333,21.94422538,22.48303449,20476,460363,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",22.48303449,22.48303449
20140708,22.30669696,23.13940194,21.93442885,22.95326789,9839,225837,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",22.95326789,22.95326789
20140709,23.01204706,23.51167005,22.78672689,23.29614641,10014,233288,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",23.29614641,23.29614641
20140710,22.67896507,23.51167005,22.60059284,23.25696029,7615,177102,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",23.25696029,23.25696029
20140711,23.26675682,23.26675682,22.66916854,22.73774425,10400,236473,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",22.73774425,22.73774425
20140714,22.85530260,23.00225053,22.56140672,22.71815119,3912,88873,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",22.71815119,22.71815119
20140715,22.68876160,22.71815119,21.98341150,22.14995249,20214,447739,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",22.14995249,22.14995249
20140716,22.31649349,22.44384837,22.05198720,22.24791779,4625,102897,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",22.24791779,22.24791779
20140717,22.38506919,23.20797765,22.13035944,22.87489565,10114,231357,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",22.87489565,22.87489565
20140718,22.81611648,22.99343366,22.40074364,22.81611648,8955,204318,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",22.81611648,22.81611648
20140721,22.80631995,23.66841452,22.60059284,23.36472211,6337,148062,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",23.36472211,23.36472211
20140722,23.50187352,23.60963534,23.14919847,23.32553600,5961,139044,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",23.32553600,23.32553600
