Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20190313,9.55000000,9.65000000,9.55000000,9.65000000,10,97,N/A,N/A,86971,9012,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",9.65000000,9.65000000
20190314,9.65000000,9.65000000,9.65000000,9.65000000,0,0,N/A,N/A,86971,9012,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",9.65000000,9.65000000
20190315,9.65000000,9.65000000,9.65000000,9.65000000,0,0,N/A,N/A,86971,9012,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",9.65000000,9.65000000
20190318,9.65000000,9.65000000,9.65000000,9.65000000,0,0,N/A,N/A,86971,9012,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",9.65000000,9.65000000
20190319,10.00000000,10.00000000,10.00000000,10.00000000,10,100,N/A,N/A,90125,9012,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",10.00000000,10.00000000
20190320,10.00000000,10.00000000,10.00000000,10.00000000,0,0,N/A,N/A,90125,9012,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",10.00000000,10.00000000
20190321,10.00000000,10.00000000,10.00000000,10.00000000,0,0,N/A,N/A,90125,9012,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",10.00000000,10.00000000
20190322,9.79600000,9.79600000,9.79600000,9.79600000,2,20,N/A,N/A,88286,9012,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",9.79600000,9.79600000
20190325,9.79600000,9.79600000,9.79600000,9.79600000,0,0,N/A,N/A,88286,9012,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",9.79600000,9.79600000
20190326,9.79600000,9.79600000,9.79600000,9.79600000,0,0,N/A,N/A,88286,9012,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",9.79600000,9.79600000
20190327,9.79600000,9.79600000,9.79600000,9.79600000,0,0,N/A,N/A,88286,9012,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",9.79600000,9.79600000
20190328,9.79600000,9.79600000,9.79600000,9.79600000,0,0,N/A,N/A,88286,9012,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",9.79600000,9.79600000
20190329,9.79600000,9.79600000,9.79600000,9.79600000,0,0,N/A,N/A,88286,9012,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",9.79600000,9.79600000
20190401,9.79600000,9.79600000,9.79600000,9.79600000,0,0,N/A,N/A,88286,9012,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",9.79600000,9.79600000
20190402,9.79600000,9.79600000,9.79600000,9.79600000,0,0,N/A,N/A,88286,9012,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",9.79600000,9.79600000
20190403,9.79600000,9.79600000,9.79600000,9.79600000,0,0,N/A,N/A,88286,9012,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",9.79600000,9.79600000
20190404,9.79600000,9.79600000,9.79600000,9.79600000,0,0,N/A,N/A,88286,9012,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",9.79600000,9.79600000
20190405,9.79600000,9.79600000,9.79600000,9.79600000,0,0,N/A,N/A,88286,9012,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",9.79600000,9.79600000
20190408,9.79600000,9.79600000,9.79600000,9.79600000,0,0,N/A,N/A,88286,9012,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",9.79600000,9.79600000
20190409,9.79600000,9.79600000,9.79600000,9.79600000,0,0,N/A,N/A,88286,9012,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",9.79600000,9.79600000
20190410,9.79600000,9.79600000,9.79600000,9.79600000,0,0,N/A,N/A,88286,9012,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",9.79600000,9.79600000
20190411,9.55000000,9.70000000,9.55000000,9.70000000,4,39,N/A,N/A,87421,9012,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",9.70000000,9.70000000
20190412,9.70000000,9.70000000,9.70000000,9.70000000,0,0,N/A,N/A,87421,9012,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",9.70000000,9.70000000
20190415,9.70000000,9.70000000,9.70000000,9.70000000,0,0,N/A,N/A,87421,9012,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",9.70000000,9.70000000
20190416,9.70000000,9.70000000,9.70000000,9.70000000,0,0,N/A,N/A,87421,9012,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",9.70000000,9.70000000
20190417,9.85000000,9.85000000,9.85000000,9.85000000,2,20,N/A,N/A,88773,9012,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",9.85000000,9.85000000
20190418,9.85000000,9.85000000,9.85000000,9.85000000,0,0,N/A,N/A,88773,9012,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",9.85000000,9.85000000
20190419,9.85000000,9.85000000,9.85000000,9.85000000,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",9.85000000,9.85000000
20190422,9.85000000,9.85000000,9.85000000,9.85000000,0,0,N/A,N/A,88773,9012,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",9.85000000,9.85000000
20190423,9.85000000,9.85000000,9.85000000,9.85000000,0,0,N/A,N/A,88773,9012,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",9.85000000,9.85000000
20190424,9.85000000,9.85000000,9.85000000,9.85000000,0,0,N/A,N/A,88773,9012,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",9.85000000,9.85000000
20190425,9.85000000,9.85000000,9.85000000,9.85000000,0,0,N/A,N/A,88773,9012,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",9.85000000,9.85000000
20190426,9.85000000,9.85000000,9.85000000,9.85000000,0,0,N/A,N/A,88773,9012,"NYSE MKTS LLC","Industrials","Industrials/Conglomerates","Common Stock",9.85000000,9.85000000
