Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,2.31490936,2.38375425,2.31490936,2.37514864,2496,5928,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.37514864,2.37514864
19800804,2.36654302,2.36654302,2.31490936,2.34072619,792,1854,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.34072619,2.34072619
19800805,2.34072619,2.38375425,2.32351497,2.33212058,1232,2873,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.33212058,2.33212058
19800806,2.33212058,2.33212058,2.29769814,2.31490936,800,1852,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.31490936,2.31490936
19800807,2.32351497,2.39235986,2.32351497,2.39235986,1088,2603,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.39235986,2.39235986
19800808,2.39235986,2.43538791,2.37514864,2.37514864,1376,3268,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.37514864,2.37514864
19800811,2.37514864,2.38375425,2.34072619,2.37514864,616,1463,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.37514864,2.37514864
19800812,2.37514864,2.38375425,2.28048691,2.28048691,1128,2572,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.28048691,2.28048691
19800813,2.28048691,2.35793741,2.26327569,2.34933180,688,1616,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.34933180,2.34933180
19800814,2.34933180,2.42678230,2.34072619,2.42678230,1360,3300,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.42678230,2.42678230
19800815,2.42678230,2.45259913,2.41817669,2.42678230,1016,2466,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.42678230,2.42678230
19800818,2.40096547,2.40096547,2.34072619,2.34933180,1200,2819,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.34933180,2.34933180
19800819,2.34933180,2.36654302,2.30630375,2.35793741,1400,3301,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.35793741,2.35793741
19800820,2.35793741,2.35793741,2.31490936,2.35793741,656,1547,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.35793741,2.35793741
19800821,2.35793741,2.41817669,2.33212058,2.40957108,1608,3875,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.40957108,2.40957108
19800822,2.40957108,2.45259913,2.40957108,2.42678230,1320,3203,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.42678230,2.42678230
19800825,2.42678230,2.48702158,2.40957108,2.41817669,776,1877,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.41817669,2.41817669
19800826,2.44399352,2.47841597,2.44399352,2.45259913,1160,2845,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.45259913,2.45259913
19800827,2.45259913,2.45259913,2.39235986,2.42678230,704,1708,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.42678230,2.42678230
19800828,2.40096547,2.40096547,2.35793741,2.35793741,312,736,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.35793741,2.35793741
19800829,2.34933180,2.34933180,2.30630375,2.33212058,600,1399,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.33212058,2.33212058
19800901,2.34933180,2.34933180,2.30630375,2.33212058,0,0,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",33.87500000,2.33212058
19800902,2.34072619,2.37514864,2.34072619,2.34933180,1224,2876,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.34933180,2.34933180
19800903,2.37514864,2.40096547,2.37514864,2.39235986,744,1780,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.39235986,2.39235986
19800904,2.40957108,2.46981036,2.40957108,2.42678230,2240,5436,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.42678230,2.42678230
19800905,2.43538791,2.49562719,2.43538791,2.44399352,912,2229,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.44399352,2.44399352
19800908,2.44399352,2.45259913,2.40957108,2.40957108,632,1523,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.40957108,2.40957108
19800909,2.40957108,2.46981036,2.38375425,2.46981036,1200,2964,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.46981036,2.46981036
19800910,2.47841597,2.53865524,2.47841597,2.52144402,1448,3651,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.52144402,2.52144402
19800911,2.54726086,2.71076746,2.54726086,2.65913380,1592,4233,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.65913380,2.65913380
19800912,2.66773941,2.71076746,2.66773941,2.70216185,1616,4367,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.70216185,2.70216185
19800915,2.70216185,2.70216185,2.62471135,2.67634502,1640,4389,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.67634502,2.67634502
19800916,2.67634502,2.73658430,2.67634502,2.73658430,1808,4948,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.73658430,2.73658430
19800917,2.73658430,2.88287968,2.71937308,2.83985163,6008,17062,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.83985163,2.83985163
19800918,2.83985163,2.88287968,2.83985163,2.87427407,3096,8899,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.87427407,2.87427407
19800919,2.87427407,2.94311896,2.83985163,2.94311896,3448,10148,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.94311896,2.94311896
19800922,2.94311896,3.00335824,2.93451335,2.99475263,2312,6924,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.99475263,2.99475263
19800923,2.99475263,3.08080874,2.96893579,2.98614702,2896,8648,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.98614702,2.98614702
19800924,2.98614702,3.08080874,2.95172457,3.07220313,1560,4793,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",3.07220313,3.07220313
19800925,3.01196385,3.01196385,2.94311896,2.96893579,2104,6247,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.96893579,2.96893579
19800926,2.95172457,2.95172457,2.82264041,2.83985163,2504,7111,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.83985163,2.83985163
19800929,2.73658430,2.73658430,2.54726086,2.59028891,6224,16122,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.59028891,2.59028891
19800930,2.59028891,2.65052819,2.49562719,2.65052819,5256,13931,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.65052819,2.65052819
19801001,2.65052819,2.71076746,2.65052819,2.71076746,1072,2906,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",2.71076746,2.71076746
