Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20120822,21.37322861,21.69914462,21.35607514,21.61337725,1944,42016,N/A,N/A,0,0,"NYSE","","","Common Stock",21.61337725,21.61337725
20120823,21.52760988,21.61337725,21.41611230,21.61337725,1513,32701,N/A,N/A,0,0,"NYSE","","","Common Stock",21.61337725,21.61337725
20120824,21.60480051,21.65626093,21.54476335,21.61337725,1495,32312,N/A,N/A,0,0,"NYSE","","","Common Stock",21.61337725,21.61337725
20120827,21.61337725,21.65626093,21.57049356,21.61337725,671,14503,N/A,N/A,0,0,"NYSE","","","Common Stock",21.61337725,21.61337725
20120828,21.64768420,21.78491199,21.60480051,21.77633525,1791,39001,N/A,N/A,0,0,"NYSE","","","Common Stock",21.77633525,21.77633525
20120829,21.78491199,21.82779567,21.70772136,21.78491199,951,20717,N/A,N/A,0,0,"NYSE","","","Common Stock",21.78491199,21.78491199
20120830,21.79348873,21.91356304,21.78491199,21.78491199,890,19389,N/A,N/A,0,0,"NYSE","","","Common Stock",21.78491199,21.78491199
20120831,21.83637241,21.92213978,21.82779567,21.87067936,465,10170,N/A,N/A,0,0,"NYSE","","","Common Stock",21.87067936,21.87067936
20120903,21.83637241,21.92213978,21.82779567,21.87067936,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",25.50000000,21.87067936
20120904,21.87067936,21.94786999,21.85352588,21.88783283,782,17116,N/A,N/A,0,0,"NYSE","","","Common Stock",21.88783283,21.88783283
20120905,21.89640957,21.89640957,21.78491199,21.87067936,698,15266,N/A,N/A,0,0,"NYSE","","","Common Stock",21.87067936,21.87067936
20120906,21.87067936,21.88783283,21.81064220,21.83637241,371,8101,N/A,N/A,0,0,"NYSE","","","Common Stock",21.83637241,21.83637241
20120907,21.87067936,21.87925610,21.80206546,21.87067936,866,18940,N/A,N/A,0,0,"NYSE","","","Common Stock",21.87067936,21.87067936
20120910,21.92213978,21.92213978,21.81064220,21.85352588,586,12806,N/A,N/A,0,0,"NYSE","","","Common Stock",21.85352588,21.85352588
20120911,21.82779567,21.87067936,21.82779567,21.87067936,487,10651,N/A,N/A,0,0,"NYSE","","","Common Stock",21.87067936,21.87067936
20120912,21.87067936,21.93929325,21.83637241,21.85352588,496,10839,N/A,N/A,0,0,"NYSE","","","Common Stock",21.85352588,21.85352588
20120913,21.87925610,21.91356304,21.78491199,21.78491199,932,20304,N/A,N/A,0,0,"NYSE","","","Common Stock",21.78491199,21.78491199
