Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20181012,24.25000000,24.70000000,21.46000000,24.30000000,150862,3665947,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",24.30000000,24.30000000
20181015,23.12000000,24.50000000,22.18000000,24.30000000,15722,382045,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",24.30000000,24.30000000
20181016,24.50000000,24.66000000,22.57000000,23.02000000,12973,298638,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",23.02000000,23.02000000
20181017,22.76000000,26.97000000,22.75000000,25.43000000,11499,292420,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",25.43000000,25.43000000
20181018,26.07000000,26.20000000,24.01000000,24.50000000,16396,401702,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",24.50000000,24.50000000
20181019,24.75000000,25.96000000,24.06000000,24.48000000,2801,68568,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",24.48000000,24.48000000
20181022,24.42000000,25.25000000,24.13000000,24.51000000,1949,47770,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",24.51000000,24.51000000
20181023,24.01000000,24.50000000,23.55000000,23.90000000,4588,109653,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",23.90000000,23.90000000
20181024,23.64000000,24.33000000,22.50000000,22.55000000,6776,152799,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",22.55000000,22.55000000
20181025,22.75000000,24.10000000,22.63000000,23.87000000,4824,115149,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",23.87000000,23.87000000
20181026,23.59000000,26.39000000,22.80000000,24.61000000,4587,112886,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",24.61000000,24.61000000
20181029,24.95000000,25.58000000,22.15000000,22.64000000,4225,95654,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",22.64000000,22.64000000
20181030,22.75000000,23.13000000,20.37000000,22.61000000,9367,211788,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",22.61000000,22.61000000
20181031,23.00000000,23.60000000,22.32000000,23.00000000,3837,88251,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",23.00000000,23.00000000
20181101,23.06000000,24.49000000,21.72000000,24.05000000,4362,104906,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",24.05000000,24.05000000
20181102,23.93000000,24.96000000,23.25000000,24.74000000,4201,103933,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",24.74000000,24.74000000
20181105,24.74000000,24.97000000,22.90000000,23.92000000,2273,54370,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",23.92000000,23.92000000
20181106,23.68000000,24.39000000,23.02000000,23.70000000,2224,52709,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",23.70000000,23.70000000
20181107,23.80000000,27.30000000,23.80000000,26.61000000,5531,147180,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",26.61000000,26.61000000
20181108,26.63000000,27.07000000,25.75000000,25.75000000,2614,67311,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",25.75000000,25.75000000
