Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,4.30867448,4.30867448,4.10349950,4.22074234,832,3512,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",4.22074234,4.22074234
19800804,4.22074234,4.22074234,4.13281021,4.19143163,460,1928,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",4.19143163,4.19143163
19800805,4.19143163,4.22074234,4.10349950,4.13281021,1328,5488,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",4.13281021,4.13281021
19800806,4.13281021,4.16212092,4.10349950,4.16212092,446,1856,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",4.16212092,4.16212092
19800807,4.16212092,4.22074234,4.16212092,4.19143163,859,3600,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",4.19143163,4.19143163
19800808,4.19143163,4.22074234,4.16212092,4.19143163,383,1605,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",4.19143163,4.19143163
19800811,4.19143163,4.22074234,4.16212092,4.19143163,353,1480,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",4.19143163,4.19143163
19800812,4.19143163,4.22074234,4.13281021,4.19143163,311,1304,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",4.19143163,4.19143163
19800813,4.19143163,4.19143163,4.13281021,4.16212092,271,1128,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",4.16212092,4.16212092
19800814,4.16212092,4.19143163,4.16212092,4.19143163,221,926,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",4.19143163,4.19143163
19800815,4.19143163,4.22074234,4.16212092,4.16212092,406,1690,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",4.16212092,4.16212092
19800818,4.16212092,4.22074234,4.16212092,4.22074234,280,1182,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",4.22074234,4.22074234
19800819,4.22074234,4.22074234,4.19143163,4.22074234,267,1127,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",4.22074234,4.22074234
19800820,4.22074234,4.22074234,4.07418879,4.19143163,223,935,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",4.19143163,4.19143163
19800821,4.19143163,4.22074234,4.16212092,4.19143163,248,1039,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",4.19143163,4.19143163
19800822,4.19143163,4.19143163,4.13281021,4.16212092,310,1290,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",4.16212092,4.16212092
19800825,4.16212092,4.19143163,4.16212092,4.16212092,254,1057,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",4.16212092,4.16212092
19800826,4.16212092,4.19143163,4.16212092,4.16212092,198,824,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",4.16212092,4.16212092
19800827,4.16212092,4.22074234,4.16212092,4.16212092,164,683,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",4.16212092,4.16212092
19800828,4.16212092,4.19143163,4.16212092,4.19143163,265,1111,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",4.19143163,4.19143163
19800829,4.19143163,4.22074234,4.16212092,4.19143163,217,910,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",4.19143163,4.19143163
19800901,4.19143163,4.22074234,4.16212092,4.19143163,0,0,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",17.87500000,4.19143163
19800902,4.19143163,4.19143163,4.16212092,4.16212092,325,1353,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",4.16212092,4.16212092
19800903,4.16212092,4.19143163,4.16212092,4.16212092,286,1190,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",4.16212092,4.16212092
19800904,4.19143163,4.22074234,4.19143163,4.22074234,400,1688,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",4.22074234,4.22074234
19800905,4.22074234,4.22074234,4.19143163,4.22074234,288,1216,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",4.22074234,4.22074234
19800908,4.22074234,4.22074234,4.16212092,4.16212092,256,1066,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",4.16212092,4.16212092
19800909,4.16212092,4.19143163,4.16212092,4.19143163,225,943,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",4.19143163,4.19143163
19800910,4.19143163,4.22074234,4.16212092,4.16212092,166,691,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",4.16212092,4.16212092
19800911,4.16212092,4.19143163,4.13281021,4.16212092,264,1099,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",4.16212092,4.16212092
19800912,4.16212092,4.16212092,4.13281021,4.13281021,222,917,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",4.13281021,4.13281021
19800915,4.13281021,4.19143163,4.13281021,4.19143163,336,1408,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",4.19143163,4.19143163
