Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20120127,27.13000000,27.74000000,26.70000000,26.95000000,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",26.95000000,26.95000000
20120130,27.13000000,27.74000000,26.70000000,26.95000000,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",26.95000000,26.95000000
20120131,27.13000000,27.74000000,26.70000000,26.95000000,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",26.95000000,26.95000000
20120201,27.13000000,27.74000000,26.70000000,26.95000000,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",26.95000000,26.95000000
20120202,27.13000000,27.74000000,26.70000000,26.95000000,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",26.95000000,26.95000000
20120203,27.13000000,27.74000000,26.70000000,26.95000000,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",26.95000000,26.95000000
20120206,27.13000000,27.74000000,26.70000000,26.89000000,20415,548959,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",26.89000000,26.89000000
20120207,26.75000000,26.89000000,25.89000000,26.18000000,16598,434536,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",26.18000000,26.18000000
20120208,25.96000000,26.19000000,25.34000000,26.02000000,19831,516003,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",26.02000000,26.02000000
20120209,26.28000000,27.45000000,26.00000000,26.52000000,16869,447366,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",26.52000000,26.52000000
20120210,25.65000000,26.70000000,25.65000000,26.64000000,13409,357216,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",26.64000000,26.64000000
20120213,26.38000000,28.01000000,26.02000000,27.72000000,18584,515148,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",27.72000000,27.72000000
20120214,27.98000000,30.64000000,27.40000000,29.70000000,15556,462013,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",29.70000000,29.70000000
20120215,30.28000000,31.93000000,29.90000000,30.94000000,12996,402096,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",30.94000000,30.94000000
20120216,31.09000000,31.36000000,30.61000000,30.97000000,8231,254914,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",30.97000000,30.97000000
20120217,30.92000000,30.99000000,30.30000000,30.80000000,5270,162316,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",30.80000000,30.80000000
20120220,30.92000000,30.99000000,30.30000000,30.80000000,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",30.80000000,30.80000000
20120221,30.60000000,30.90000000,29.95000000,30.35000000,5184,157334,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",30.35000000,30.35000000
20120222,30.44000000,30.82000000,30.01000000,30.61000000,3979,121797,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",30.61000000,30.61000000
20120223,30.54000000,31.63000000,30.01000000,31.37000000,2223,69736,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",31.37000000,31.37000000
20120224,31.05000000,31.45000000,30.12000000,31.35000000,1884,59063,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",31.35000000,31.35000000
20120227,30.94000000,31.90000000,30.34000000,31.45000000,2926,92023,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",31.45000000,31.45000000
