Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20070726,12.55000000,12.55000000,12.32000000,12.52000000,353,4420,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",12.52000000,12.52000000
20070727,12.45000000,12.53000000,12.07000000,12.48000000,400,4992,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",12.48000000,12.48000000
20070730,12.45000000,12.80000000,12.45000000,12.78000000,725,9265,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",12.78000000,12.78000000
20070731,12.75000000,12.75000000,12.28000000,12.50000000,361,4513,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",12.50000000,12.50000000
20070801,12.50000000,12.50000000,12.20000000,12.37000000,441,5455,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",12.37000000,12.37000000
20070802,12.40000000,12.52000000,12.26000000,12.51000000,189,2364,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",12.51000000,12.51000000
20070803,12.45000000,12.45000000,11.51000000,11.90000000,735,8747,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",11.90000000,11.90000000
20070806,11.85000000,11.88000000,10.90000000,10.90000000,1080,11772,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",10.90000000,10.90000000
20070807,10.60000000,12.10000000,10.40000000,11.92000000,3405,40588,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",11.92000000,11.92000000
20070808,12.00000000,13.06000000,11.90000000,12.72000000,1008,12822,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",12.72000000,12.72000000
20070809,12.60000000,12.69000000,12.15000000,12.28000000,2272,27900,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",12.28000000,12.28000000
20070810,12.20000000,12.25000000,12.10000000,12.10000000,624,7550,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",12.10000000,12.10000000
20070813,12.01000000,12.10000000,11.49000000,11.80000000,1434,16921,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",11.80000000,11.80000000
20070814,11.70000000,11.73000000,11.45000000,11.50000000,1298,14927,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",11.50000000,11.50000000
20070815,11.55000000,11.55000000,11.40000000,11.55000000,263,3038,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",11.55000000,11.55000000
20070816,11.52000000,11.52000000,11.50000000,11.50000000,49,564,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",11.50000000,11.50000000
20070817,11.60000000,12.00000000,11.51000000,11.89000000,137,1629,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",11.89000000,11.89000000
20070820,11.75000000,11.85000000,11.75000000,11.84000000,70,829,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",11.84000000,11.84000000
20070821,11.95000000,12.15000000,11.95000000,12.00000000,126,1512,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",12.00000000,12.00000000
20070822,12.00000000,12.50000000,12.00000000,12.43000000,81,1007,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",12.43000000,12.43000000
20070823,12.58000000,13.48000000,12.47000000,13.05000000,128,1670,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",13.05000000,13.05000000
20070824,13.15000000,13.63000000,13.11000000,13.53000000,227,3071,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",13.53000000,13.53000000
20070827,13.67000000,13.67000000,13.11000000,13.35000000,249,3324,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",13.35000000,13.35000000
20070828,13.25000000,13.65000000,13.25000000,13.63000000,914,12458,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",13.63000000,13.63000000
20070829,13.68000000,13.70000000,13.37000000,13.37000000,257,3436,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",13.37000000,13.37000000
20070830,13.45000000,13.47000000,13.25000000,13.40000000,281,3765,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",13.40000000,13.40000000
20070831,13.42000000,13.46000000,13.25000000,13.35000000,107,1428,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",13.35000000,13.35000000
20070903,13.42000000,13.46000000,13.25000000,13.35000000,0,0,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",13.35000000,13.35000000
20070904,13.30000000,14.23000000,13.20000000,13.71000000,665,9117,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",13.71000000,13.71000000
20070905,13.77000000,14.20000000,13.77000000,14.08000000,283,3985,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",14.08000000,14.08000000
20070906,14.02000000,14.69000000,13.90000000,14.38000000,1039,14941,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",14.38000000,14.38000000
20070907,14.30000000,14.30000000,13.30000000,13.94000000,336,4684,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",13.94000000,13.94000000
20070910,13.82000000,13.95000000,13.73000000,13.81000000,62,856,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",13.81000000,13.81000000
20070911,13.80000000,13.85000000,13.20000000,13.50000000,324,4374,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",13.50000000,13.50000000
20070912,13.56000000,13.56000000,13.20000000,13.20000000,70,924,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",13.20000000,13.20000000
20070913,13.19000000,13.33000000,13.19000000,13.21000000,37,489,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",13.21000000,13.21000000
20070914,13.25000000,13.25000000,12.59000000,13.15000000,115,1512,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",13.15000000,13.15000000
20070917,13.08000000,13.08000000,11.74000000,12.25000000,872,10682,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",12.25000000,12.25000000
20070918,12.22000000,12.37000000,12.10000000,12.37000000,336,4156,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",12.37000000,12.37000000
20070919,12.28000000,12.44000000,12.15000000,12.44000000,71,883,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",12.44000000,12.44000000
20070920,12.38000000,12.49000000,12.16000000,12.26000000,95,1165,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",12.26000000,12.26000000
20070921,12.39000000,13.74000000,12.27000000,12.70000000,581,7379,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",12.70000000,12.70000000
20070924,12.70000000,13.24000000,12.40000000,12.51000000,1398,17489,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",12.51000000,12.51000000
20070925,12.56000000,12.56000000,12.42000000,12.51000000,198,2477,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",12.51000000,12.51000000
20070926,12.60000000,12.93000000,12.50000000,12.81000000,614,7865,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",12.81000000,12.81000000
20070927,12.70000000,12.94000000,12.06000000,12.07000000,1126,13591,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",12.07000000,12.07000000
20070928,12.02000000,12.47000000,11.85000000,12.07000000,7417,89523,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",12.07000000,12.07000000
20071001,12.07000000,12.40000000,12.05000000,12.29000000,1183,14539,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",12.29000000,12.29000000
20071002,12.33000000,13.10000000,12.33000000,12.94000000,1617,20924,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",12.94000000,12.94000000
20071003,12.94000000,13.88000000,12.94000000,13.28000000,1451,19269,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",13.28000000,13.28000000
20071004,13.39000000,13.89000000,13.26000000,13.46000000,224,3015,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",13.46000000,13.46000000
20071005,13.58000000,13.83000000,13.22000000,13.78000000,420,5788,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",13.78000000,13.78000000
20071008,13.69000000,14.21000000,13.69000000,14.21000000,204,2899,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",14.21000000,14.21000000
20071009,14.31000000,14.31000000,13.80000000,13.88000000,504,6996,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",13.88000000,13.88000000
20071010,13.80000000,14.07000000,13.77000000,13.92000000,444,6180,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",13.92000000,13.92000000
20071011,13.85000000,14.26000000,13.82000000,13.93000000,1157,16117,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",13.93000000,13.93000000
20071012,13.93000000,14.00000000,13.51000000,13.51000000,678,9160,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",13.51000000,13.51000000
20071015,13.55000000,14.16000000,13.53000000,14.06000000,297,4176,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",14.06000000,14.06000000
20071016,14.18000000,14.25000000,13.82000000,13.85000000,599,8296,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",13.85000000,13.85000000
20071017,13.90000000,13.95000000,13.71000000,13.89000000,222,3084,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",13.89000000,13.89000000
20071018,13.83000000,13.84000000,13.53000000,13.57000000,308,4180,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",13.57000000,13.57000000
20071019,13.51000000,13.51000000,13.10000000,13.31000000,407,5417,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",13.31000000,13.31000000
20071022,13.17000000,13.31000000,12.90000000,13.09000000,269,3521,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",13.09000000,13.09000000
20071023,13.22000000,14.09000000,13.22000000,13.91000000,407,5661,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",13.91000000,13.91000000
20071024,13.83000000,14.60000000,12.90000000,13.41000000,301,4036,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",13.41000000,13.41000000
20071025,13.48000000,13.48000000,12.46000000,13.37000000,233,3115,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",13.37000000,13.37000000
20071026,13.55000000,13.95000000,13.55000000,13.78000000,355,4892,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",13.78000000,13.78000000
20071029,14.76000000,16.05000000,14.76000000,15.01000000,1665,24992,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",15.01000000,15.01000000
20071030,15.05000000,16.69000000,15.05000000,16.10000000,5084,81852,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",16.10000000,16.10000000
20071031,16.35000000,18.13000000,16.05000000,17.98000000,2942,52897,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",17.98000000,17.98000000
20071101,17.90000000,19.45000000,17.42000000,18.00000000,1891,34038,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",18.00000000,18.00000000
20071102,18.34000000,18.34000000,17.65000000,17.85000000,1068,19064,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",17.85000000,17.85000000
20071105,17.68000000,18.00000000,17.25000000,17.79000000,625,11119,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",17.79000000,17.79000000
20071106,17.79000000,18.94000000,17.60000000,18.78000000,1617,30367,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",18.78000000,18.78000000
20071107,18.60000000,18.67000000,17.78000000,17.87000000,657,11741,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",17.87000000,17.87000000
20071108,18.09000000,18.60000000,17.26000000,18.29000000,572,10462,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",18.29000000,18.29000000
20071109,18.20000000,18.95000000,17.36000000,18.38000000,837,15384,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",18.38000000,18.38000000
20071112,18.68000000,19.21000000,18.20000000,18.27000000,689,12588,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",18.27000000,18.27000000
