Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20170317,15.00000000,15.19000000,14.50000000,14.50000000,135124,1959298,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",14.50000000,14.50000000
20170320,14.50000000,14.74000000,14.36000000,14.36000000,17250,247710,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",14.36000000,14.36000000
20170321,14.47000000,14.47000000,13.89000000,14.05000000,14636,205636,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",14.05000000,14.05000000
20170322,13.97000000,14.29000000,13.89000000,14.00000000,9487,132818,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",14.00000000,14.00000000
20170323,14.01000000,14.09000000,13.96000000,14.05000000,3788,53221,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",14.05000000,14.05000000
20170324,14.07000000,14.13000000,13.13000000,13.50000000,16975,229163,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.50000000,13.50000000
20170327,13.26000000,13.39000000,12.26000000,12.47000000,38124,475406,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",12.47000000,12.47000000
20170328,12.55000000,13.10000000,12.27500000,12.86000000,14401,185197,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",12.86000000,12.86000000
20170329,12.72000000,12.90000000,12.36000000,12.79000000,6696,85642,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",12.79000000,12.79000000
20170330,12.81000000,13.38000000,12.79000000,13.08000000,7985,104444,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.08000000,13.08000000
20170331,13.09000000,13.29000000,12.75000000,12.89000000,8360,107760,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",12.89000000,12.89000000
20170403,13.01000000,13.54500000,12.57000000,13.44000000,13345,179357,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.44000000,13.44000000
20170404,13.51000000,14.30000000,13.10000000,13.94000000,11570,161286,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.94000000,13.94000000
20170405,13.99000000,14.62000000,13.92000000,14.01000000,12562,175994,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",14.01000000,14.01000000
20170406,14.07000000,14.34000000,13.64000000,14.02000000,7287,102164,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",14.02000000,14.02000000
20170407,14.09000000,14.09000000,13.73000000,13.80000000,5820,80316,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.80000000,13.80000000
20170410,13.84000000,14.74000000,13.84000000,14.12000000,11412,161137,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",14.12000000,14.12000000
20170411,14.55000000,14.72000000,13.93000000,14.58000000,25038,365054,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",14.58000000,14.58000000
20170412,14.66000000,15.29900000,14.37000000,14.57000000,20896,304455,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",14.57000000,14.57000000
20170413,14.61000000,14.79900000,14.37000000,14.50000000,7217,104647,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",14.50000000,14.50000000
20170414,14.61000000,14.79900000,14.37000000,14.50000000,0,0,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",14.50000000,14.50000000
20170417,14.58000000,14.60000000,13.78000000,14.50000000,10866,157557,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",14.50000000,14.50000000
20170418,14.44000000,14.55000000,14.10000000,14.12000000,6543,92387,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",14.12000000,14.12000000
20170419,14.07000000,14.39000000,13.46000000,13.67000000,10184,139215,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.67000000,13.67000000
20170420,13.60000000,13.95000000,13.11000000,13.66000000,12537,171255,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.66000000,13.66000000
20170421,13.58000000,13.93000000,13.11000000,13.64000000,12928,176338,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.64000000,13.64000000
20170424,13.72000000,13.94000000,13.31000000,13.53000000,5074,68651,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.53000000,13.53000000
20170425,13.65000000,13.72000000,13.38500000,13.53000000,5254,71087,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.53000000,13.53000000
20170426,13.41000000,14.12000000,13.41000000,13.70000000,8038,110121,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.70000000,13.70000000
20170427,13.65000000,13.86000000,13.12500000,13.72000000,7764,106522,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.72000000,13.72000000
20170428,13.91000000,14.16000000,13.40000000,13.55000000,5348,72465,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.55000000,13.55000000
20170501,13.56000000,13.91000000,13.34000000,13.39000000,5136,68771,N/A,N/A,1111904,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.39000000,13.39000000
20170502,13.40000000,13.74000000,13.26100000,13.50000000,3472,46872,N/A,N/A,1121038,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.50000000,13.50000000
20170503,13.40000000,13.72000000,13.05000000,13.11000000,6869,90053,N/A,N/A,1088652,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.11000000,13.11000000
20170504,13.00000000,13.05000000,11.68000000,12.06000000,11293,136194,N/A,N/A,1001461,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",12.06000000,12.06000000
20170505,12.11000000,12.73000000,12.08000000,12.46000000,10582,131852,N/A,N/A,1034677,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",12.46000000,12.46000000
20170508,12.46000000,12.75000000,12.22000000,12.45000000,3819,47547,N/A,N/A,1033846,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",12.45000000,12.45000000
20170509,12.49000000,12.62000000,11.91000000,11.93000000,4924,58743,N/A,N/A,990665,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",11.93000000,11.93000000
20170510,12.01000000,12.91500000,11.85000000,12.49000000,10247,127985,N/A,N/A,1037168,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",12.49000000,12.49000000
20170511,13.07000000,13.52000000,11.91000000,12.37000000,11219,138779,N/A,N/A,1027203,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",12.37000000,12.37000000
20170512,12.35000000,12.67000000,12.12000000,12.57000000,5448,68481,N/A,N/A,1043811,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",12.57000000,12.57000000
20170515,12.76000000,13.41000000,12.76000000,12.99000000,11009,143007,N/A,N/A,1078688,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",12.99000000,12.99000000
20170516,13.08000000,13.18000000,12.56000000,12.64000000,9448,119423,N/A,N/A,1049624,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",12.64000000,12.64000000
20170517,12.57000000,12.87900000,12.41000000,12.49000000,5702,71218,N/A,N/A,1037168,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",12.49000000,12.49000000
20170518,12.44000000,13.00000000,12.31000000,12.94000000,4836,62578,N/A,N/A,1074536,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",12.94000000,12.94000000
20170519,13.11000000,14.03500000,13.11000000,13.73000000,9647,132453,N/A,N/A,1140137,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.73000000,13.73000000
20170522,13.77000000,13.89000000,13.46000000,13.59000000,6489,88186,N/A,N/A,1128512,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.59000000,13.59000000
20170523,13.64000000,13.88000000,13.62000000,13.70000000,10354,141850,N/A,N/A,1137646,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.70000000,13.70000000
20170524,13.76000000,13.97000000,13.66000000,13.72000000,5075,69629,N/A,N/A,1139307,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.72000000,13.72000000
20170525,13.74000000,13.93300000,13.30000000,13.33000000,6673,88951,N/A,N/A,1106921,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.33000000,13.33000000
20170526,13.25000000,13.85000000,13.24000000,13.71000000,7136,97835,N/A,N/A,1138476,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.71000000,13.71000000
20170529,13.25000000,13.85000000,13.24000000,13.71000000,0,0,N/A,N/A,0,0,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.71000000,13.71000000
20170530,13.65000000,13.88000000,13.36000000,13.37000000,5533,73976,N/A,N/A,1110243,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.37000000,13.37000000
20170531,13.32000000,13.84000000,13.02000000,13.25000000,5879,77897,N/A,N/A,1100278,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.25000000,13.25000000
20170601,13.36000000,13.79000000,13.05000000,13.45000000,10408,139988,N/A,N/A,1116886,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.45000000,13.45000000
20170602,13.40000000,13.75000000,12.92000000,13.23000000,7458,98669,N/A,N/A,1098617,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.23000000,13.23000000
20170605,13.23000000,13.62500000,13.05000000,13.25000000,4687,62103,N/A,N/A,1100278,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.25000000,13.25000000
20170606,13.22000000,13.81000000,13.15000000,13.73000000,6671,91593,N/A,N/A,1140137,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.73000000,13.73000000
20170607,13.69000000,14.15000000,13.19000000,13.27000000,10998,145943,N/A,N/A,1101939,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.27000000,13.27000000
20170608,13.19000000,13.58000000,13.06000000,13.15000000,6618,87027,N/A,N/A,1091974,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.15000000,13.15000000
20170609,13.24000000,14.28000000,12.97000000,14.08000000,10215,143827,N/A,N/A,1169201,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",14.08000000,14.08000000
20170612,14.24000000,14.85000000,14.17000000,14.19000000,10593,150315,N/A,N/A,1178336,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",14.19000000,14.19000000
20170613,14.19000000,15.24000000,14.14000000,14.70000000,9643,141752,N/A,N/A,1220686,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",14.70000000,14.70000000
20170614,14.59000000,14.87000000,13.68000000,14.02000000,8637,121091,N/A,N/A,1164219,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",14.02000000,14.02000000
20170615,13.82000000,14.14000000,13.14000000,13.48000000,4678,63059,N/A,N/A,1119377,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.48000000,13.48000000
20170616,13.49000000,13.68000000,13.07000000,13.48000000,28461,383654,N/A,N/A,1119377,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.48000000,13.48000000
20170619,13.48000000,13.57000000,12.87000000,13.20000000,7780,102696,N/A,N/A,1096126,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.20000000,13.20000000
20170620,13.05000000,13.05000000,12.26000000,12.58000000,11058,139110,N/A,N/A,1044641,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",12.58000000,12.58000000
20170621,12.70000000,12.74500000,12.25000000,12.55000000,11826,148416,N/A,N/A,1042150,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",12.55000000,12.55000000
20170622,12.55000000,13.03000000,12.43000000,12.72000000,8149,103655,N/A,N/A,1056267,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",12.72000000,12.72000000
20170623,12.80000000,13.12000000,12.39000000,12.91000000,33405,431259,N/A,N/A,1072045,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",12.91000000,12.91000000
20170626,12.93000000,13.75500000,12.85000000,13.22000000,7280,96242,N/A,N/A,1097787,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.22000000,13.22000000
20170627,13.36000000,13.56500000,13.21000000,13.45000000,6212,83551,N/A,N/A,1116886,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.45000000,13.45000000
20170628,13.58000000,14.03000000,13.37000000,13.80000000,5275,72795,N/A,N/A,1145950,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.80000000,13.80000000
20170629,13.82000000,14.43700000,13.60000000,13.99000000,12213,170860,N/A,N/A,1161728,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.99000000,13.99000000
20170630,14.06000000,14.13000000,13.65000000,13.96000000,6421,89637,N/A,N/A,1159236,83040,"NYSE","Energy","Energy/Services & Equipment","Common Stock",13.96000000,13.96000000
