Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20190325,9.79000000,9.79000000,9.79000000,9.79000000,1,10,N/A,N/A,252092,25750,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.79000000,9.79000000
20190326,9.76000000,9.95000000,9.76000000,9.95000000,1022,10169,N/A,N/A,256212,25750,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.95000000,9.95000000
20190327,9.90300000,9.92900000,9.88100000,9.92900000,16,159,N/A,N/A,255672,25750,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.92900000,9.92900000
20190328,9.88000000,9.88000000,9.77000000,9.77000000,32,313,N/A,N/A,251578,25750,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.77000000,9.77000000
20190329,9.79000000,9.79000000,9.79000000,9.79000000,1,10,N/A,N/A,252092,25750,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.79000000,9.79000000
20190401,9.80000000,9.90000000,9.75000000,9.90000000,984,9742,N/A,N/A,254925,25750,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.90000000,9.90000000
20190402,9.90000000,9.90000000,9.90000000,9.90000000,0,0,N/A,N/A,254925,25750,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.90000000,9.90000000
20190403,9.90000000,9.90000000,9.90000000,9.90000000,0,0,N/A,N/A,254925,25750,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.90000000,9.90000000
20190404,9.76000000,9.83000000,9.76000000,9.83000000,217,2133,N/A,N/A,253122,25750,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.83000000,9.83000000
20190405,9.83000000,9.83000000,9.83000000,9.83000000,0,0,N/A,N/A,253122,25750,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.83000000,9.83000000
20190408,9.98000000,9.98000000,9.82000000,9.82000000,24,236,N/A,N/A,252865,25750,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.82000000,9.82000000
20190409,9.82000000,9.82000000,9.82000000,9.82000000,500,4910,N/A,N/A,252865,25750,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.82000000,9.82000000
20190410,9.82000000,9.82000000,9.82000000,9.82000000,10,98,N/A,N/A,252865,25750,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.82000000,9.82000000
20190411,9.80000000,9.80000000,9.80000000,9.80000000,1000,9800,N/A,N/A,252350,25750,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.80000000,9.80000000
20190412,9.80000000,9.80000000,9.80000000,9.80000000,3,29,N/A,N/A,252350,25750,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.80000000,9.80000000
20190415,9.80000000,9.80000000,9.80000000,9.80000000,1000,9800,N/A,N/A,252350,25750,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.80000000,9.80000000
20190416,9.78000000,9.78000000,9.75000000,9.76000000,7,68,N/A,N/A,251320,25750,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.76000000,9.76000000
20190417,9.78000000,9.80000000,9.78000000,9.80000000,1009,9888,N/A,N/A,252350,25750,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.80000000,9.80000000
20190418,9.79000000,9.79000000,9.79000000,9.79000000,1,10,N/A,N/A,252092,25750,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.79000000,9.79000000
20190419,9.79000000,9.79000000,9.79000000,9.79000000,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.79000000,9.79000000
20190422,9.78000000,9.78000000,9.78000000,9.78000000,114,1115,N/A,N/A,251835,25750,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.78000000,9.78000000
20190423,9.79000000,9.82000000,9.79000000,9.82000000,817,8023,N/A,N/A,252865,25750,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.82000000,9.82000000
20190424,9.82000000,9.82000000,9.82000000,9.82000000,0,0,N/A,N/A,252865,25750,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.82000000,9.82000000
20190425,9.82000000,9.82000000,9.82000000,9.82000000,0,0,N/A,N/A,252865,25750,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.82000000,9.82000000
20190426,9.82000000,9.82000000,9.82000000,9.82000000,0,0,N/A,N/A,252865,25750,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.82000000,9.82000000
20190429,9.82000000,9.82000000,9.82000000,9.82000000,0,0,N/A,N/A,252865,25750,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.82000000,9.82000000
20190430,9.82000000,9.82000000,9.82000000,9.82000000,0,0,N/A,N/A,252865,25750,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.82000000,9.82000000
20190501,9.82000000,9.82000000,9.82000000,9.82000000,0,0,N/A,N/A,252865,25750,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.82000000,9.82000000
20190502,9.82000000,9.82000000,9.82000000,9.82000000,0,0,N/A,N/A,252865,25750,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.82000000,9.82000000
20190503,9.80000000,9.80000000,9.80000000,9.80000000,1000,9800,N/A,N/A,252350,25750,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.80000000,9.80000000
20190506,9.81000000,9.81000000,9.80000000,9.80000000,32,314,N/A,N/A,252350,25750,"NYSE","Industrials","Industrials/Conglomerates","Common Stock",9.80000000,9.80000000
