Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20180801,40.53000000,40.96000000,40.10000000,40.47000000,10781,436307,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",40.47000000,40.47000000
20180802,40.28000000,40.95000000,39.82000000,40.43000000,7169,289843,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",40.43000000,40.43000000
20180803,40.54000000,40.99000000,40.27000000,40.63000000,13119,533025,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",40.63000000,40.63000000
20180806,40.45000000,41.73000000,40.36000000,41.68000000,5396,224905,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",41.68000000,41.68000000
20180807,41.88000000,41.90000000,41.32000000,41.80000000,8141,340294,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",41.80000000,41.80000000
20180808,41.93000000,42.95000000,41.86000000,42.80000000,4272,182842,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",42.80000000,42.80000000
20180809,42.76000000,43.86000000,42.76000000,43.35000000,6435,278957,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",43.35000000,43.35000000
20180810,43.66000000,45.72000000,43.00000000,44.17000000,14941,659944,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",44.17000000,44.17000000
20180813,43.98000000,44.69000000,42.85000000,43.18000000,6575,283908,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",43.18000000,43.18000000
20180814,43.31000000,44.07000000,43.31000000,44.05000000,4954,218224,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",44.05000000,44.05000000
20180815,43.69000000,44.14000000,42.63000000,44.05000000,6386,281303,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",44.05000000,44.05000000
20180816,44.21000000,44.32000000,43.55000000,44.17000000,5864,259013,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",44.17000000,44.17000000
20180817,44.18000000,44.45000000,43.48000000,44.33000000,7234,320683,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",44.33000000,44.33000000
20180820,44.42000000,44.77000000,44.24000000,44.56000000,5347,238262,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",44.56000000,44.56000000
20180821,44.56000000,45.11000000,44.29000000,45.10000000,7477,337213,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",45.10000000,45.10000000
20180822,44.84000000,45.70000000,44.84000000,45.48000000,5618,255507,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",45.48000000,45.48000000
20180823,45.49000000,46.07000000,45.22000000,45.26000000,4839,219013,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",45.26000000,45.26000000
20180824,45.28000000,45.90000000,45.22000000,45.42000000,3312,150431,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",45.42000000,45.42000000
20180827,45.56000000,45.81000000,45.16000000,45.59000000,4238,193210,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",45.59000000,45.59000000
20180828,45.68000000,45.70000000,42.50000000,45.27000000,5651,255821,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",45.27000000,45.27000000
20180829,45.43000000,45.77000000,45.08000000,45.58000000,7247,330318,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",45.58000000,45.58000000
20180830,45.40000000,45.83000000,44.70000000,45.49000000,5423,246692,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",45.49000000,45.49000000
20180831,45.27000000,45.79000000,45.08000000,45.69000000,4098,187238,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",45.69000000,45.69000000
20180903,45.27000000,45.79000000,45.08000000,45.69000000,0,0,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",45.69000000,45.69000000
20180904,45.46000000,46.39000000,45.41000000,46.05000000,6086,280260,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",46.05000000,46.05000000
20180905,46.05000000,46.05000000,44.29000000,45.50000000,5087,231459,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",45.50000000,45.50000000
20180906,45.44000000,45.81000000,44.77000000,45.36000000,3144,142612,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",45.36000000,45.36000000
20180907,45.11000000,45.93000000,44.75000000,45.22000000,3096,140001,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",45.22000000,45.22000000
20180910,45.45000000,46.10000000,45.23000000,45.91000000,3661,168077,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",45.91000000,45.91000000
20180911,45.68000000,46.22000000,45.53000000,45.72000000,3117,142509,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",45.72000000,45.72000000
20180912,45.58000000,46.48000000,45.30000000,46.41000000,3382,156959,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",46.41000000,46.41000000
20180913,46.79000000,47.72000000,46.71000000,47.67000000,5680,270766,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",47.67000000,47.67000000
20180914,47.76000000,49.40000000,47.65000000,48.53000000,11385,552514,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",48.53000000,48.53000000
20180917,48.46000000,49.14000000,47.53000000,48.17000000,11887,572597,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",48.17000000,48.17000000
20180918,48.11000000,48.82000000,48.10000000,48.47000000,9649,467687,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",48.47000000,48.47000000
20180919,48.60000000,48.67000000,47.54000000,48.19000000,14216,685069,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",48.19000000,48.19000000
20180920,48.65000000,50.71000000,48.48000000,50.27000000,30718,1544194,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",50.27000000,50.27000000
20180921,50.35000000,50.98000000,49.79000000,50.90000000,19606,997945,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",50.90000000,50.90000000
20180924,50.66000000,51.51000000,50.66000000,51.05000000,7582,387061,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",51.05000000,51.05000000
20180925,51.08000000,51.25000000,50.32000000,50.73000000,5425,275210,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",50.73000000,50.73000000
20180926,50.94000000,50.94000000,48.95000000,49.08000000,8617,422922,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",49.08000000,49.08000000
20180927,49.17000000,49.82000000,48.76000000,48.93000000,7895,386302,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",48.93000000,48.93000000
20180928,48.70000000,49.70000000,48.44000000,49.41000000,6254,309010,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",49.41000000,49.41000000
20181001,49.90000000,50.02000000,48.44000000,48.48000000,6604,320162,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",48.48000000,48.48000000
20181002,48.00000000,48.64000000,46.12000000,46.69000000,5579,260484,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",46.69000000,46.69000000
20181003,46.20000000,49.14000000,45.76000000,48.66000000,13043,634672,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",48.66000000,48.66000000
20181004,48.49000000,48.50000000,47.49000000,47.96000000,7702,369388,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",47.96000000,47.96000000
20181005,47.75000000,48.07000000,46.61000000,47.43000000,7760,368057,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",47.43000000,47.43000000
20181008,47.27000000,47.97000000,46.10000000,46.96000000,5804,272556,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",46.96000000,46.96000000
20181009,46.79000000,47.48000000,46.50000000,46.72000000,5780,270042,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",46.72000000,46.72000000
20181010,46.59000000,46.82000000,44.76000000,44.79000000,9057,405663,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",44.79000000,44.79000000
20181011,44.45000000,45.43000000,43.95000000,43.99000000,9439,415222,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",43.99000000,43.99000000
20181012,44.93000000,45.39000000,44.08000000,44.84000000,6725,301549,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",44.84000000,44.84000000
