Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19960229,254.67033983,276.86637863,253.50212727,258.17497754,8432,2176931,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",258.17497754,258.17497754
19960301,262.84782781,267.52067808,260.51140267,264.01604038,1123,296490,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",264.01604038,264.01604038
19960304,264.01604038,264.01604038,260.51140267,260.51140267,532,138592,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",260.51140267,260.51140267
19960305,261.67961524,261.67961524,258.17497754,261.67961524,585,153083,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",261.67961524,261.67961524
19960306,261.67961524,264.01604038,259.34319011,261.67961524,192,50242,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",261.67961524,261.67961524
19960307,260.51140267,262.84782781,259.34319011,260.51140267,358,93263,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",260.51140267,260.51140267
19960308,255.83855240,255.83855240,244.15642672,246.49285186,316,77892,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",246.49285186,246.49285186
19960311,245.32463929,249.99748956,231.30608847,241.82000159,365,88264,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",241.82000159,241.82000159
19960312,240.65178902,240.65178902,238.31536388,238.31536388,118,28121,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",238.31536388,238.31536388
19960313,239.48357645,242.98821415,238.31536388,239.48357645,78,18680,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",239.48357645,239.48357645
19960314,240.65178902,242.98821415,238.31536388,239.48357645,83,19877,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",239.48357645,239.48357645
19960315,239.48357645,239.48357645,238.31536388,238.31536388,106,25261,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",238.31536388,238.31536388
19960318,238.31536388,239.48357645,235.97893875,238.31536388,202,48140,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Personal & Household Products","Common Stock",238.31536388,238.31536388
