Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20130719,12.09141788,12.13240573,11.47660002,11.50939030,106496,1225704,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.50939030,11.50939030
20130722,11.47660002,11.51758788,11.43561216,11.47660002,8726,100145,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.47660002,11.47660002
20130723,11.48479759,11.56677330,11.43561216,11.55037816,6083,70261,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.55037816,11.55037816
20130724,11.53398302,11.59136602,11.48479759,11.49299516,1056,12137,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.49299516,11.49299516
20130725,11.47660002,11.50119273,11.21427773,11.50119273,6093,70077,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.50119273,11.50119273
20130726,11.46840245,11.63235388,11.44380973,11.58316845,2820,32665,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.58316845,11.58316845
20130729,11.55037816,11.60776116,11.47660002,11.50939030,262,3015,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.50939030,11.50939030
20130730,11.57497088,11.59136602,11.48479759,11.48479759,483,5547,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.48479759,11.48479759
20130731,11.47660002,11.50939030,11.47660002,11.50119273,3098,35631,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.50119273,11.50119273
20130801,11.50939030,11.51758788,11.47660002,11.48479759,1409,16182,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.48479759,11.48479759
20130802,11.47660002,11.48479759,11.40282188,11.47660002,4193,48121,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.47660002,11.47660002
20130805,11.47660002,11.50119273,11.47660002,11.48479759,789,9062,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.48479759,11.48479759
20130806,11.47660002,11.48479759,11.39462430,11.43561216,2196,25113,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.43561216,11.43561216
20130807,11.46840245,11.46840245,11.27166073,11.32904373,1144,12960,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.32904373,11.32904373
20130808,11.27166073,11.37822916,11.12410445,11.17328987,521,5821,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.17328987,11.17328987
20130809,11.11590687,11.11590687,10.74701616,11.03393116,1592,17566,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.03393116,11.03393116
20130812,11.03393116,11.24706802,11.03393116,11.14869716,617,6879,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.14869716,11.14869716
20130813,11.05032630,11.47660002,11.05032630,11.39462430,1502,17115,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.39462430,11.39462430
20130814,11.10770930,11.49299516,11.10770930,11.46840245,1432,16423,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.46840245,11.46840245
20130815,11.06672145,11.45200730,11.06672145,11.14049959,680,7576,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.14049959,11.14049959
20130816,11.23067287,11.45200730,11.23067287,11.37003159,5775,65662,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.37003159,11.37003159
20130819,11.39462430,11.39462430,10.96835059,11.00114087,313,3443,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.00114087,11.00114087
20130820,11.03393116,11.22247530,11.01753602,11.14869716,1243,13858,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.14869716,11.14869716
20130821,11.08311659,11.15689473,10.79620159,10.80439916,630,6807,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",10.80439916,10.80439916
20130822,10.77980645,10.91096759,9.95185173,10.89457245,1916,20874,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",10.89457245,10.89457245
20130823,10.89457245,11.21427773,10.77980645,11.14869716,1384,15430,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.14869716,11.14869716
20130826,11.08311659,11.32084616,10.95195545,11.09951173,1307,14507,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.09951173,11.09951173
20130827,10.86997973,11.24706802,10.86997973,11.19788259,149,1668,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.19788259,11.19788259
20130828,11.12410445,11.27985830,10.71422587,10.88637487,559,6085,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",10.88637487,10.88637487
20130829,10.69783073,10.94375787,10.64864530,10.87817730,464,5047,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",10.87817730,10.87817730
20130830,10.83718945,10.97654816,10.69783073,10.80439916,370,3998,N/A,N/A,338486,25682,"NYSE","Financials","Financials/Commercial REIT","Common Stock",10.80439916,10.80439916
20130902,10.83718945,10.97654816,10.69783073,10.80439916,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.18000000,10.80439916
20130903,10.95195545,11.10770930,10.65684287,11.10770930,857,9519,N/A,N/A,347988,25682,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.10770930,11.10770930
20130904,11.03393116,11.43561216,10.75521373,11.09131416,3016,33451,N/A,N/A,347475,25682,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.09131416,11.09131416
20130905,11.00114087,11.16509230,10.69783073,10.86178216,647,7028,N/A,N/A,340284,25682,"NYSE","Financials","Financials/Commercial REIT","Common Stock",10.86178216,10.86178216
20130906,10.86178216,11.07491902,10.65684287,10.81259673,1324,14316,N/A,N/A,338743,25682,"NYSE","Financials","Financials/Commercial REIT","Common Stock",10.81259673,10.81259673
