Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20080912,40.78966348,41.03440146,38.34228367,39.11728727,55436,2168506,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",39.11728727,39.11728727
20080915,38.35044160,38.75018030,37.32254208,37.80386011,5410,204519,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",37.80386011,37.80386011
20080916,36.91464545,38.17912501,36.61280194,37.52649040,2289,85898,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",37.52649040,37.52649040
20080917,37.93438703,37.93438703,34.54068703,36.16411564,11208,405327,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",36.16411564,36.16411564
20080918,36.71069713,37.52649040,35.28305891,37.28175242,4804,179102,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",37.28175242,37.28175242
20080919,39.97387021,39.97387021,37.77938631,39.70465843,11117,441397,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",39.70465843,39.70465843
20080922,39.56597357,41.68703607,37.84464977,38.34228367,7072,271157,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",38.34228367,38.34228367
20080923,38.34228367,39.15807694,37.49385867,38.34228367,14283,547643,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",38.34228367,38.34228367
20080924,36.98806684,38.74202237,36.83306612,37.53464833,9426,353802,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",37.53464833,37.53464833
20080925,37.52649040,38.30149400,36.97990891,37.82017598,6926,261943,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",37.82017598,37.82017598
20080926,35.68279761,38.03228223,35.68279761,37.46938487,7570,283643,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",37.46938487,37.46938487
20080929,37.03701444,37.21648896,35.04647886,36.98806684,4142,153205,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",36.98806684,36.98806684
20080930,37.07780410,38.75018030,36.42516948,38.68491684,3763,145571,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",38.68491684,38.68491684
20081001,36.84938198,39.56597357,35.89490386,36.75148679,4615,169608,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",36.75148679,36.75148679
20081002,36.50674881,37.52649040,35.08726852,36.73517093,4530,166410,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",36.73517093,36.73517093
20081003,36.71069713,39.97387021,36.71069713,39.56597357,13979,553093,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",39.56597357,39.56597357
20081006,36.57201227,40.78150554,36.57201227,40.58571516,17122,694909,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",40.58571516,40.58571516
20081007,39.76992189,40.41439857,38.34228367,38.34228367,12319,472339,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",38.34228367,38.34228367
20081008,38.34228367,38.35044160,33.40673439,35.03832093,7028,246249,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",35.03832093,35.03832093
20081009,35.10358439,35.10358439,25.39564448,27.81855049,8784,244358,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",27.81855049,27.81855049
20081010,27.63091804,27.73697116,20.84351804,25.04485337,11343,284084,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",25.04485337,25.04485337
20081013,27.09249448,28.46302717,26.71722958,28.46302717,3833,109099,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",28.46302717,28.46302717
20081014,30.07829785,31.00014424,29.16460939,30.23329857,3218,97291,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",30.23329857,30.23329857
20081015,28.87908174,30.60856347,28.47118511,28.47118511,3639,103607,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",28.47118511,28.47118511
20081016,28.55276443,29.16460939,25.54248727,26.92117789,3349,90159,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",26.92117789,26.92117789
