Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,0.44627544,0.47815226,0.44627544,0.44627544,1248,557,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.44627544,0.44627544
19800804,0.44627544,0.45902617,0.42077399,0.42077399,48,20,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.42077399,0.42077399
19800805,0.42077399,0.42077399,0.42077399,0.42077399,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.42077399,0.42077399
19800806,0.43352472,0.44627544,0.43352472,0.43352472,80,35,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.43352472,0.43352472
19800807,0.47177690,0.49727835,0.47177690,0.47177690,784,370,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.47177690,0.47177690
19800808,0.47177690,0.48452762,0.44627544,0.44627544,368,164,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.44627544,0.44627544
19800811,0.44627544,0.44627544,0.44627544,0.44627544,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.44627544,0.44627544
19800812,0.44627544,0.48452762,0.44627544,0.44627544,192,86,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.44627544,0.44627544
19800813,0.44627544,0.47177690,0.44627544,0.44627544,160,71,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.44627544,0.44627544
19800814,0.44627544,0.44627544,0.44627544,0.44627544,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.44627544,0.44627544
19800815,0.44627544,0.46540153,0.44627544,0.44627544,80,36,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.44627544,0.44627544
19800818,0.44627544,0.45902617,0.43352472,0.43352472,48,21,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.43352472,0.43352472
19800819,0.43352472,0.45902617,0.43352472,0.43352472,48,21,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.43352472,0.43352472
19800820,0.43352472,0.45902617,0.43352472,0.43352472,32,14,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.43352472,0.43352472
19800821,0.43352472,0.45902617,0.43352472,0.43352472,160,69,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.43352472,0.43352472
19800822,0.43352472,0.45902617,0.43352472,0.43352472,96,42,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.43352472,0.43352472
19800825,0.43352472,0.45902617,0.43352472,0.43352472,112,49,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.43352472,0.43352472
19800826,0.43352472,0.43352472,0.43352472,0.43352472,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.43352472,0.43352472
19800827,0.43990008,0.47177690,0.43990008,0.43990008,80,35,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.43990008,0.43990008
19800828,0.43990008,0.47177690,0.43990008,0.43990008,32,14,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.43990008,0.43990008
19800829,0.44627544,0.47177690,0.44627544,0.44627544,208,93,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.44627544,0.44627544
19800901,0.44627544,0.47177690,0.44627544,0.44627544,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",35.00000000,0.44627544
19800902,0.44627544,0.47177690,0.44627544,0.44627544,48,21,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.44627544,0.44627544
19800903,0.44627544,0.44627544,0.44627544,0.44627544,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.44627544,0.44627544
19800904,0.44627544,0.47177690,0.44627544,0.44627544,160,71,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.44627544,0.44627544
19800905,0.44627544,0.47177690,0.44627544,0.44627544,128,57,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.44627544,0.44627544
19800908,0.44627544,0.47177690,0.44627544,0.44627544,192,86,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.44627544,0.44627544
19800909,0.44627544,0.47177690,0.44627544,0.44627544,32,14,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.44627544,0.44627544
19800910,0.44627544,0.47177690,0.44627544,0.44627544,480,214,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.44627544,0.44627544
19800911,0.44627544,0.45902617,0.43352472,0.43352472,128,55,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.43352472,0.43352472
19800912,0.43352472,0.46540153,0.43352472,0.43352472,256,111,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.43352472,0.43352472
19800915,0.43352472,0.46540153,0.43352472,0.43352472,112,49,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.43352472,0.43352472
19800916,0.44627544,0.47177690,0.44627544,0.44627544,160,71,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.44627544,0.44627544
19800917,0.48452762,0.51002908,0.48452762,0.48452762,3088,1496,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.48452762,0.48452762
19800918,0.48452762,0.51002908,0.47815226,0.47815226,432,207,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.47815226,0.47815226
19800919,0.47815226,0.49727835,0.47815226,0.47815226,160,77,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.47815226,0.47815226
19800922,0.48452762,0.49727835,0.48452762,0.48452762,416,202,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.48452762,0.48452762
19800923,0.48452762,0.49727835,0.47177690,0.47177690,352,166,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.47177690,0.47177690
19800924,0.48452762,0.49727835,0.48452762,0.48452762,608,295,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.48452762,0.48452762
19800925,0.48452762,0.49727835,0.48452762,0.48452762,400,194,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.48452762,0.48452762
19800926,0.48452762,0.48452762,0.47177690,0.47177690,64,30,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.47177690,0.47177690
19800929,0.47177690,0.48452762,0.45902617,0.45902617,48,22,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.45902617,0.45902617
19800930,0.45902617,0.48452762,0.45902617,0.45902617,16,7,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Aerospace & Defense","Common Stock",0.45902617,0.45902617
