Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,0.08525409,0.08779899,0.08525409,0.08525409,8064,687,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.08525409,0.08525409
19800804,0.08779899,0.08907144,0.08779899,0.08779899,6048,531,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.08779899,0.08779899
19800805,0.08779899,0.09034389,0.08779899,0.08779899,3312,291,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.08779899,0.08779899
19800806,0.08779899,0.09034389,0.08779899,0.08779899,288,25,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.08779899,0.08779899
19800807,0.08907144,0.09161633,0.08907144,0.08907144,7920,705,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.08907144,0.08907144
19800808,0.09161633,0.09288878,0.09161633,0.09161633,6336,580,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.09161633,0.09161633
19800811,0.09670613,0.09925103,0.09670613,0.09670613,4464,432,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.09670613,0.09670613
19800812,0.09670613,0.09925103,0.09670613,0.09670613,9792,947,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.09670613,0.09670613
19800813,0.09670613,0.10052348,0.09670613,0.09670613,5904,571,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.09670613,0.09670613
19800814,0.09797858,0.10052348,0.09797858,0.09797858,864,85,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.09797858,0.09797858
19800815,0.09797858,0.10052348,0.09797858,0.09797858,1584,155,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.09797858,0.09797858
19800818,0.09797858,0.09925103,0.09670613,0.09670613,2592,251,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.09670613,0.09670613
19800819,0.09670613,0.09925103,0.09543368,0.09543368,5040,481,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.09543368,0.09543368
19800820,0.09543368,0.09797858,0.09543368,0.09543368,2736,261,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.09543368,0.09543368
19800821,0.09543368,0.09797858,0.09416123,0.09416123,2880,271,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.09416123,0.09416123
19800822,0.09416123,0.09797858,0.09416123,0.09416123,2592,244,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.09416123,0.09416123
19800825,0.09416123,0.09797858,0.09416123,0.09416123,2448,231,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.09416123,0.09416123
19800826,0.09543368,0.09797858,0.09543368,0.09543368,1440,137,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.09543368,0.09543368
19800827,0.09543368,0.09670613,0.09288878,0.09288878,3456,321,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.09288878,0.09288878
19800828,0.09288878,0.09670613,0.09288878,0.09288878,432,40,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.09288878,0.09288878
19800829,0.09288878,0.09543368,0.09288878,0.09288878,2160,201,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.09288878,0.09288878
19800901,0.09288878,0.09543368,0.09288878,0.09288878,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",18.25000000,0.09288878
19800902,0.09288878,0.09670613,0.09288878,0.09288878,6624,615,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.09288878,0.09288878
19800903,0.09288878,0.09670613,0.09288878,0.09288878,144,13,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.09288878,0.09288878
19800904,0.09416123,0.09670613,0.09416123,0.09416123,3312,312,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.09416123,0.09416123
19800905,0.09416123,0.09670613,0.09416123,0.09416123,1296,122,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.09416123,0.09416123
19800908,0.09416123,0.09670613,0.09288878,0.09288878,4752,441,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.09288878,0.09288878
19800909,0.09288878,0.09543368,0.09288878,0.09288878,13824,1284,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.09288878,0.09288878
19800910,0.09543368,0.09797858,0.09543368,0.09543368,7056,673,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.09543368,0.09543368
19800911,0.09797858,0.10052348,0.09797858,0.09797858,7200,705,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.09797858,0.09797858
19800912,0.10052348,0.10306838,0.10052348,0.10052348,1584,159,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.10052348,0.10052348
19800915,0.10052348,0.10306838,0.10052348,0.10052348,5184,521,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.10052348,0.10052348
19800916,0.11070307,0.11324797,0.11070307,0.11070307,18288,2025,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.11070307,0.11070307
19800917,0.11452042,0.11833777,0.11452042,0.11452042,23616,2705,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.11452042,0.11452042
19800918,0.11452042,0.11706532,0.11324797,0.11324797,9504,1076,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.11324797,0.11324797
19800919,0.11324797,0.11452042,0.11324797,0.11324797,1296,147,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.11324797,0.11324797
19800922,0.11324797,0.11579287,0.11324797,0.11324797,6912,783,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.11324797,0.11324797
19800923,0.11324797,0.11579287,0.11324797,0.11324797,12816,1451,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.11324797,0.11324797
19800924,0.11324797,0.11579287,0.11324797,0.11324797,4896,554,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.11324797,0.11324797
19800925,0.11324797,0.11452042,0.11197552,0.11197552,4896,548,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.11197552,0.11197552
19800926,0.11070307,0.11070307,0.10688572,0.10688572,10080,1077,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.10688572,0.10688572
19800929,0.10688572,0.10688572,0.10434083,0.10434083,6768,706,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.10434083,0.10434083
19800930,0.10434083,0.10688572,0.10434083,0.10434083,1008,105,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.10434083,0.10434083
19801001,0.10434083,0.10688572,0.10434083,0.10434083,720,75,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.10434083,0.10434083
19801002,0.10434083,0.10688572,0.10434083,0.10434083,5472,571,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.10434083,0.10434083
19801003,0.10434083,0.10688572,0.10434083,0.10434083,1440,150,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.10434083,0.10434083
19801006,0.10561327,0.10815817,0.10561327,0.10561327,1584,167,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.10561327,0.10561327
19801007,0.10561327,0.10688572,0.10434083,0.10434083,10080,1052,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",0.10434083,0.10434083
