Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20110511,10.93747638,11.22280185,10.62044808,11.21012072,74964,840355,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.21012072,11.21012072
20110512,11.06428770,11.40033770,11.05794713,11.39399713,12000,136728,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.39399713,11.39399713
20110513,11.39399713,11.41301883,11.21012072,11.40033770,8471,96572,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.40033770,11.40033770
20110516,11.41301883,11.44472166,11.01356317,11.37497543,5735,65235,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.37497543,11.37497543
20110517,11.38131600,11.47642449,11.25450468,11.41301883,9299,106130,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.41301883,11.41301883
20110518,11.40667826,11.47642449,11.29888864,11.43838109,5134,58725,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.43838109,11.43838109
20110519,11.43204053,11.47642449,11.33693204,11.46374336,4205,48205,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.46374336,11.46374336
20110520,11.41301883,11.47642449,11.36229430,11.43838109,7267,83123,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.43838109,11.43838109
20110523,11.26084524,11.45106222,11.26084524,11.41935939,3363,38403,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.41935939,11.41935939
20110524,11.41301883,11.52080845,11.34961317,11.41301883,2281,26033,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.41301883,11.41301883
20110525,11.41301883,11.47642449,11.35595373,11.42569996,4009,45806,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.42569996,11.42569996
20110526,11.53348958,11.53348958,11.41301883,11.50812732,2039,23465,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.50812732,11.50812732
20110527,11.43204053,11.50812732,11.41301883,11.50178675,2398,27581,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.50178675,11.50178675
20110530,11.43204053,11.50812732,11.41301883,11.50178675,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",18.14000000,11.50178675
20110531,11.50812732,11.57153298,11.40667826,11.57153298,3713,42965,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.57153298,11.57153298
20110601,11.50812732,11.53983015,11.13403392,11.34327260,2731,30978,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.34327260,11.34327260
20110602,11.24182355,11.48910562,11.21012072,11.43838109,2019,23094,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",11.43838109,11.43838109
