Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20130927,17.25000000,19.40000000,17.10000000,18.20000000,81276,1479223,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",18.20000000,18.20000000
20130930,17.98000000,18.44000000,17.57000000,18.02000000,7749,139637,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",18.02000000,18.02000000
20131001,18.29000000,18.29000000,16.70000000,17.08000000,6105,104273,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",17.08000000,17.08000000
20131002,17.19000000,17.28000000,16.30000000,17.00000000,8408,142936,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",17.00000000,17.00000000
20131003,16.82000000,17.54000000,16.52000000,16.91000000,1456,24621,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",16.91000000,16.91000000
20131004,17.16000000,17.75000000,16.90000000,17.69000000,2159,38193,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",17.69000000,17.69000000
20131007,17.83000000,18.37000000,17.81000000,18.30000000,1314,24046,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",18.30000000,18.30000000
20131008,18.40000000,18.42000000,17.10000000,17.11000000,2029,34716,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",17.11000000,17.11000000
20131009,17.65000000,17.65000000,16.11000000,16.51000000,2195,36239,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",16.51000000,16.51000000
20131010,16.83000000,17.20000000,16.65000000,16.90000000,1291,21818,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",16.90000000,16.90000000
20131011,16.64000000,17.18000000,16.53000000,16.98000000,1137,19306,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",16.98000000,16.98000000
20131014,17.08000000,17.74000000,16.72000000,17.46000000,819,14300,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",17.46000000,17.46000000
20131015,17.99000000,18.01000000,17.60000000,17.90000000,1614,28891,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",17.90000000,17.90000000
20131016,18.12000000,18.25000000,17.50000000,17.72000000,724,12829,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",17.72000000,17.72000000
20131017,17.95000000,17.95000000,17.41000000,17.59000000,493,8672,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",17.59000000,17.59000000
20131018,17.46000000,18.54000000,17.46000000,18.54000000,1050,19467,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",18.54000000,18.54000000
20131021,18.25000000,19.05000000,18.10000000,19.00000000,970,18430,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",19.00000000,19.00000000
20131022,19.37000000,19.37000000,18.39000000,18.60000000,2033,37814,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",18.60000000,18.60000000
20131023,18.76000000,18.76000000,18.20000000,18.41000000,1023,18833,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",18.41000000,18.41000000
20131024,18.26000000,19.20000000,17.93000000,18.87000000,863,16285,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",18.87000000,18.87000000
20131025,19.00000000,19.00000000,18.53000000,18.55000000,565,10481,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",18.55000000,18.55000000
20131028,18.52000000,18.98000000,18.43000000,18.89000000,1477,27901,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",18.89000000,18.89000000
20131029,18.91000000,18.91000000,18.52000000,18.64000000,1011,18845,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",18.64000000,18.64000000
20131030,18.75000000,18.75000000,18.41000000,18.60000000,534,9932,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",18.60000000,18.60000000
20131031,18.48000000,19.37000000,18.25000000,19.26000000,1319,25404,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",19.26000000,19.26000000
20131101,18.97000000,19.29000000,18.63000000,18.83000000,800,15064,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",18.83000000,18.83000000
20131104,19.03000000,19.03000000,18.63000000,18.72000000,600,11232,N/A,N/A,161460,8625,"NYSE","Technology","Technology/Software","Common Stock",18.72000000,18.72000000
20131105,18.69000000,19.34000000,18.58000000,19.10000000,1728,33005,N/A,N/A,164738,8625,"NYSE","Technology","Technology/Software","Common Stock",19.10000000,19.10000000
20131106,19.25000000,19.80000000,18.37000000,18.71000000,1528,28589,N/A,N/A,161374,8625,"NYSE","Technology","Technology/Software","Common Stock",18.71000000,18.71000000
20131107,18.73000000,18.84000000,17.62000000,18.04000000,952,17174,N/A,N/A,155595,8625,"NYSE","Technology","Technology/Software","Common Stock",18.04000000,18.04000000
20131108,17.89000000,17.95000000,16.64000000,17.51000000,3318,58098,N/A,N/A,151024,8625,"NYSE","Technology","Technology/Software","Common Stock",17.51000000,17.51000000
20131111,17.60000000,17.60000000,17.15000000,17.52000000,854,14962,N/A,N/A,151110,8625,"NYSE","Technology","Technology/Software","Common Stock",17.52000000,17.52000000
20131112,17.68000000,17.68000000,17.12000000,17.29000000,371,6415,N/A,N/A,149126,8625,"NYSE","Technology","Technology/Software","Common Stock",17.29000000,17.29000000
