Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20170313,28.25000000,28.25000000,28.00000000,28.25000000,1000,28250,N/A,N/A,4164596,147419,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",28.25000000,28.25000000
20170314,27.50000000,27.50000000,22.00000000,24.50000000,542,13279,N/A,N/A,3895740,159010,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",24.50000000,24.50000000
20170315,24.16000000,27.10000000,23.25000000,27.00000000,3115,84105,N/A,N/A,4773393,176792,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",27.00000000,27.00000000
20170316,26.00000000,30.00000000,26.00000000,28.45000000,10657,303192,N/A,N/A,5035109,176981,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",28.45000000,28.45000000
20170317,29.10000000,29.25000000,27.25000000,28.50000000,2680,76380,N/A,N/A,5036184,176708,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",28.50000000,28.50000000
20170320,27.55000000,27.55000000,24.50000000,27.25000000,270,7358,N/A,N/A,4833184,177365,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",27.25000000,27.25000000
20170321,25.88000000,27.00000000,25.00000000,26.40000000,1529,40366,N/A,N/A,5262328,199331,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",26.40000000,26.40000000
20170322,26.40000000,27.25000000,26.20000000,27.25000000,1950,53138,N/A,N/A,5437933,199557,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",27.25000000,27.25000000
20170323,26.50000000,28.20000000,26.50000000,27.50000000,369,10148,N/A,N/A,5490254,199646,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",27.50000000,27.50000000
20170324,26.25000000,28.70000000,26.25000000,28.55000000,6235,178009,N/A,N/A,6712954,235130,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",28.55000000,28.55000000
20170327,28.00000000,28.00000000,26.00000000,26.75000000,582,15569,N/A,N/A,6288229,235074,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",26.75000000,26.75000000
20170328,26.75000000,28.45000000,26.50000000,28.00000000,2368,66304,N/A,N/A,6585344,235191,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",28.00000000,28.00000000
20170329,26.50000000,28.75000000,26.50000000,28.75000000,1827,52526,N/A,N/A,6761382,235178,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",28.75000000,28.75000000
20170330,27.25000000,29.10000000,27.00000000,28.00000000,3349,93772,N/A,N/A,9276042,331287,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",28.00000000,28.00000000
20170331,27.75000000,29.00000000,27.00000000,29.00000000,2544,73776,N/A,N/A,9610760,331406,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",29.00000000,29.00000000
20170403,28.00000000,28.25000000,27.00000000,28.00000000,146,4088,N/A,N/A,9288419,331729,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",28.00000000,28.00000000
20170404,28.00000000,28.38000000,27.10000000,28.00000000,274,7672,N/A,N/A,9293293,331903,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",28.00000000,28.00000000
20170405,29.00000000,29.00000000,27.00000000,28.50000000,555,15818,N/A,N/A,9563518,335562,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",28.50000000,28.50000000
20170406,28.50000000,30.00000000,28.25000000,29.75000000,2321,69050,N/A,N/A,10022403,336887,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",29.75000000,29.75000000
20170407,28.00000000,29.00000000,28.00000000,28.75000000,2037,58564,N/A,N/A,10212141,355205,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",28.75000000,28.75000000
20170410,29.00000000,30.00000000,29.00000000,30.00000000,12275,368250,N/A,N/A,10651194,355040,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",30.00000000,30.00000000
20170411,30.00000000,30.00000000,28.50000000,29.45000000,1323,38962,N/A,N/A,10461866,355242,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",29.45000000,29.45000000
20170412,28.75000000,29.00000000,28.15000000,28.70000000,51,1464,N/A,N/A,10194237,355200,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",28.70000000,28.70000000
20170413,28.50000000,29.35000000,28.00000000,28.25000000,206,5820,N/A,N/A,10033127,355155,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",28.25000000,28.25000000
20170414,28.50000000,29.35000000,28.00000000,28.25000000,0,0,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",28.25000000,28.25000000
20170417,29.35000000,29.35000000,28.10000000,28.75000000,185,5319,N/A,N/A,2636619,91708,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",28.75000000,28.75000000
20170418,29.00000000,29.00000000,28.35000000,28.80000000,116,3341,N/A,N/A,2641205,91708,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",28.80000000,28.80000000
20170419,28.30000000,28.60000000,28.01000000,28.50000000,159,4532,N/A,N/A,2613692,91708,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",28.50000000,28.50000000
20170420,28.50000000,28.50000000,27.50000000,27.75000000,11633,322816,N/A,N/A,2544911,91708,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",27.75000000,27.75000000
20170421,27.52000000,27.52000000,27.00000000,27.00000000,3302,89154,N/A,N/A,2476130,91708,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",27.00000000,27.00000000
20170424,26.75000000,27.05000000,26.25000000,26.28000000,904,23757,N/A,N/A,2410099,91708,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",26.28000000,26.28000000
20170425,26.50000000,27.00000000,26.25000000,27.00000000,127,3429,N/A,N/A,2476130,91708,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",27.00000000,27.00000000
20170426,27.00000000,27.50000000,27.00000000,27.50000000,432,11880,N/A,N/A,2521984,91708,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",27.50000000,27.50000000
20170427,27.50000000,27.75000000,27.50000000,27.50000000,107,2943,N/A,N/A,2521984,91708,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",27.50000000,27.50000000
20170428,27.50000000,28.03000000,27.50000000,28.03000000,260,7288,N/A,N/A,2570589,91708,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",28.03000000,28.03000000
20170501,27.85000000,28.05000000,27.85000000,28.00000000,1821,50988,N/A,N/A,2498550,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",28.00000000,28.00000000
20170502,29.50000000,30.64000000,28.40000000,29.50000000,30157,889632,N/A,N/A,2632401,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",29.50000000,29.50000000
20170503,29.60000000,30.00000000,29.60000000,30.00000000,994,29820,N/A,N/A,2677018,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",30.00000000,30.00000000
20170504,29.70000000,29.97000000,28.05000000,28.90000000,3582,103520,N/A,N/A,2578860,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",28.90000000,28.90000000
20170505,28.25000000,29.00000000,28.25000000,29.00000000,171,4959,N/A,N/A,2587784,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",29.00000000,29.00000000
20170508,28.95000000,29.25000000,28.95000000,29.00000000,2648,76792,N/A,N/A,2587784,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",29.00000000,29.00000000
20170509,28.95000000,29.27000000,28.95000000,29.27000000,2512,73526,N/A,N/A,2611877,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",29.27000000,29.27000000
20170510,29.20000000,30.13000000,29.20000000,29.80000000,2770,82546,N/A,N/A,2659171,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",29.80000000,29.80000000
20170511,29.90000000,30.35000000,29.85000000,30.00000000,9235,277050,N/A,N/A,2677018,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",30.00000000,30.00000000
20170512,30.00000000,30.25000000,29.75000000,30.00000000,2351,70530,N/A,N/A,2677018,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",30.00000000,30.00000000
20170515,30.00000000,30.45000000,30.00000000,30.30000000,4547,137774,N/A,N/A,2703788,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",30.30000000,30.30000000
20170516,30.25000000,30.40000000,30.20000000,30.35000000,7061,214301,N/A,N/A,2708250,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",30.35000000,30.35000000
20170517,30.25000000,30.50000000,30.25000000,30.45000000,4005,121952,N/A,N/A,2717173,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",30.45000000,30.45000000
20170518,30.50000000,30.70000000,30.25000000,30.30000000,1350,40905,N/A,N/A,2703788,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",30.30000000,30.30000000
20170519,30.30000000,30.55000000,30.30000000,30.50000000,2140,65270,N/A,N/A,2721635,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",30.50000000,30.50000000
20170522,30.55000000,30.70000000,30.50000000,30.55000000,695,21232,N/A,N/A,2726096,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",30.55000000,30.55000000
20170523,30.55000000,30.90000000,30.30000000,30.80000000,10892,335474,N/A,N/A,2748405,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",30.80000000,30.80000000
20170524,30.80000000,31.70000000,30.80000000,31.32000000,9281,290681,N/A,N/A,2794806,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",31.32000000,31.32000000
20170525,31.45000000,31.75000000,31.38000000,31.55000000,1532,48335,N/A,N/A,2815330,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",31.55000000,31.55000000
20170526,31.60000000,31.65000000,30.88000000,31.65000000,2476,78365,N/A,N/A,2824254,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",31.65000000,31.65000000
20170529,31.60000000,31.65000000,30.88000000,31.65000000,0,0,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",31.65000000,31.65000000
20170530,31.65000000,31.70000000,31.20000000,31.39000000,992,31139,N/A,N/A,2801053,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",31.39000000,31.39000000
20170531,31.20000000,31.35000000,30.55000000,30.70000000,3385,103919,N/A,N/A,2739481,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",30.70000000,30.70000000
20170601,30.90000000,31.75000000,30.90000000,31.40000000,9548,299807,N/A,N/A,2801945,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",31.40000000,31.40000000
20170602,31.50000000,31.50000000,31.10000000,31.35000000,3148,98690,N/A,N/A,2797483,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",31.35000000,31.35000000
20170605,31.35000000,31.40000000,31.15000000,31.20000000,4947,154346,N/A,N/A,2784098,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",31.20000000,31.20000000
20170606,31.20000000,31.23000000,31.00000000,31.15000000,268,8348,N/A,N/A,2779637,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",31.15000000,31.15000000
20170607,31.24000000,31.25000000,30.44000000,30.44000000,6792,206748,N/A,N/A,2716281,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",30.44000000,30.44000000
20170608,30.40000000,30.40000000,29.80000000,29.91000000,2858,85483,N/A,N/A,2668987,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",29.91000000,29.91000000
20170609,30.00000000,30.10000000,29.75000000,29.75000000,1102,32785,N/A,N/A,2654709,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",29.75000000,29.75000000
20170612,29.91000000,29.99000000,29.85000000,29.98000000,1013,30370,N/A,N/A,2675233,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",29.98000000,29.98000000
20170613,29.95000000,30.20000000,29.91000000,30.20000000,822,24824,N/A,N/A,2694864,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",30.20000000,30.20000000
20170614,30.10000000,30.30000000,29.64000000,29.65000000,20369,603941,N/A,N/A,2645786,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",29.65000000,29.65000000
20170615,29.60000000,29.75000000,29.49000000,29.55000000,673,19887,N/A,N/A,2636862,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",29.55000000,29.55000000
20170616,29.50000000,29.58000000,29.40000000,29.40000000,128,3763,N/A,N/A,2623477,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",29.40000000,29.40000000
20170619,29.49000000,29.50000000,28.98000000,28.98000000,1715,49701,N/A,N/A,2585999,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",28.98000000,28.98000000
20170620,29.00000000,29.05000000,27.50000000,28.00000000,1692,47376,N/A,N/A,2498550,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",28.00000000,28.00000000
20170621,27.90000000,27.95000000,26.25000000,26.50000000,5272,139708,N/A,N/A,2364699,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",26.50000000,26.50000000
20170622,26.75000000,27.00000000,26.50000000,26.80000000,26000,696800,N/A,N/A,2391469,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",26.80000000,26.80000000
20170623,26.50000000,26.75000000,26.50000000,26.70000000,4510,120417,N/A,N/A,2382546,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",26.70000000,26.70000000
20170626,26.75000000,26.75000000,26.35000000,26.35000000,2487,65532,N/A,N/A,2351314,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",26.35000000,26.35000000
20170627,26.50000000,26.70000000,26.50000000,26.63000000,2370,63113,N/A,N/A,2376299,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",26.63000000,26.63000000
20170628,27.60000000,30.16000000,27.60000000,29.80000000,9433,281103,N/A,N/A,2659171,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",29.80000000,29.80000000
20170629,29.80000000,30.60000000,29.60000000,30.48000000,5899,179802,N/A,N/A,2719850,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",30.48000000,30.48000000
20170630,30.30000000,30.75000000,30.30000000,30.54000000,229,6994,N/A,N/A,2725204,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",30.54000000,30.54000000
20170703,30.75000000,31.70000000,30.75000000,31.70000000,445,14106,N/A,N/A,2828715,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",31.70000000,31.70000000
20170704,30.75000000,31.70000000,30.75000000,31.70000000,0,0,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",31.70000000,31.70000000
20170705,31.45000000,31.51000000,31.29000000,31.50000000,3090,97335,N/A,N/A,2810869,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",31.50000000,31.50000000
20170706,31.40000000,31.70000000,31.40000000,31.55000000,2141,67549,N/A,N/A,2815330,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",31.55000000,31.55000000
20170707,31.40000000,31.51000000,31.00000000,31.50000000,3005,94658,N/A,N/A,2810869,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",31.50000000,31.50000000
20170710,31.45000000,31.50000000,31.35000000,31.35000000,964,30221,N/A,N/A,2797483,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",31.35000000,31.35000000
20170711,31.35000000,31.50000000,31.35000000,31.42000000,295,9269,N/A,N/A,2803730,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",31.42000000,31.42000000
20170712,31.40000000,32.00000000,31.40000000,31.90000000,1032,32921,N/A,N/A,2846562,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",31.90000000,31.90000000
20170713,31.80000000,31.90000000,31.45000000,31.75000000,187,5937,N/A,N/A,2833177,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",31.75000000,31.75000000
20170714,31.75000000,32.25000000,31.75000000,32.15000000,694,22312,N/A,N/A,2868871,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",32.15000000,32.15000000
20170717,32.10000000,32.20000000,31.95000000,32.10000000,2181,70010,N/A,N/A,2864409,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",32.10000000,32.10000000
20170718,32.06000000,32.25000000,32.00000000,32.25000000,333,10739,N/A,N/A,2877794,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",32.25000000,32.25000000
20170719,32.15000000,32.60000000,31.88000000,32.60000000,2857,93138,N/A,N/A,2909026,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",32.60000000,32.60000000
20170720,32.45000000,33.00000000,32.45000000,32.86000000,2411,79225,N/A,N/A,2932227,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",32.86000000,32.86000000
20170721,33.00000000,33.15000000,32.88000000,33.00000000,4739,156387,N/A,N/A,2944719,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",33.00000000,33.00000000
20170724,33.00000000,33.20000000,33.00000000,33.05000000,10,330,N/A,N/A,2949181,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",33.05000000,33.05000000
20170725,33.00000000,33.85000000,33.00000000,33.85000000,3041,102938,N/A,N/A,3020568,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",33.85000000,33.85000000
20170726,33.75000000,34.20000000,33.63000000,34.20000000,4744,162245,N/A,N/A,3051800,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",34.20000000,34.20000000
20170727,34.00000000,34.10000000,34.00000000,34.10000000,52,1773,N/A,N/A,3042877,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",34.10000000,34.10000000
20170728,34.17000000,34.50000000,33.95000000,34.50000000,4170,143865,N/A,N/A,3078570,89234,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",34.50000000,34.50000000
20170731,34.75000000,35.15000000,34.50000000,35.15000000,3482,122392,N/A,N/A,3111173,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",35.15000000,35.15000000
20170801,35.00000000,35.50000000,35.00000000,35.50000000,405,14378,N/A,N/A,3142151,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",35.50000000,35.50000000
20170802,35.25000000,37.10000000,35.25000000,37.10000000,9125,338538,N/A,N/A,3283770,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",37.10000000,37.10000000
20170803,37.10000000,37.36000000,36.00000000,36.71000000,165,6057,N/A,N/A,3249250,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",36.71000000,36.71000000
20170804,36.48000000,36.69000000,36.00000000,36.05000000,1045,37672,N/A,N/A,3190833,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",36.05000000,36.05000000
20170807,35.75000000,35.99000000,35.75000000,35.80000000,364,13031,N/A,N/A,3168705,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",35.80000000,35.80000000
20170808,35.50000000,35.60000000,35.50000000,35.50000000,524,18602,N/A,N/A,3142151,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",35.50000000,35.50000000
20170809,35.30000000,35.30000000,33.25000000,34.50000000,12120,418140,N/A,N/A,3053640,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",34.50000000,34.50000000
20170810,34.63000000,34.99000000,34.50000000,34.50000000,1289,44471,N/A,N/A,3053640,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",34.50000000,34.50000000
20170811,34.50000000,34.59000000,34.50000000,34.51000000,549,18946,N/A,N/A,3054525,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",34.51000000,34.51000000
20170814,34.51000000,35.25000000,34.35000000,35.05000000,458,16053,N/A,N/A,3102321,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",35.05000000,35.05000000
20170815,34.75000000,34.75000000,34.00000000,34.20000000,874,29891,N/A,N/A,3027087,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",34.20000000,34.20000000
20170816,33.85000000,34.50000000,33.30000000,34.50000000,797,27497,N/A,N/A,3053640,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",34.50000000,34.50000000
20170817,34.25000000,34.50000000,32.10000000,32.45000000,14656,475587,N/A,N/A,2872192,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",32.45000000,32.45000000
20170818,32.20000000,32.55000000,32.20000000,32.55000000,156,5078,N/A,N/A,2881043,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",32.55000000,32.55000000
20170821,32.50000000,34.75000000,32.00000000,34.75000000,333,11572,N/A,N/A,3075768,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",34.75000000,34.75000000
20170822,35.00000000,35.03000000,33.75000000,33.75000000,2580,87075,N/A,N/A,2987257,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",33.75000000,33.75000000
20170823,34.00000000,34.45000000,34.00000000,34.25000000,259,8871,N/A,N/A,3031512,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",34.25000000,34.25000000
20170824,34.25000000,34.50000000,34.20000000,34.34000000,820,28159,N/A,N/A,3039478,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",34.34000000,34.34000000
20170825,34.30000000,34.52000000,34.30000000,34.48000000,3905,134644,N/A,N/A,3051870,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",34.48000000,34.48000000
20170828,34.00000000,34.20000000,34.00000000,34.00000000,300,10200,N/A,N/A,3009385,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",34.00000000,34.00000000
20170829,34.00000000,34.00000000,33.78000000,33.90000000,8902,301778,N/A,N/A,3000533,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",33.90000000,33.90000000
20170830,33.86000000,33.86000000,33.35000000,33.65000000,7882,265229,N/A,N/A,2978406,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",33.65000000,33.65000000
20170831,33.75000000,33.75000000,33.40000000,33.53000000,614,20587,N/A,N/A,2967784,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",33.53000000,33.53000000
20170901,33.25000000,34.20000000,33.25000000,33.75000000,763,25751,N/A,N/A,2987257,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",33.75000000,33.75000000
20170904,33.25000000,34.20000000,33.25000000,33.75000000,0,0,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",33.75000000,33.75000000
20170905,34.00000000,34.50000000,33.75000000,34.40000000,588,20227,N/A,N/A,3044789,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",34.40000000,34.40000000
20170906,34.00000000,34.50000000,33.25000000,34.00000000,766,26044,N/A,N/A,3009385,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",34.00000000,34.00000000
20170907,34.01000000,34.56000000,34.00000000,34.55000000,3574,123482,N/A,N/A,3058066,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",34.55000000,34.55000000
20170908,34.40000000,35.00000000,34.35000000,35.00000000,2058,72030,N/A,N/A,3097896,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",35.00000000,35.00000000
20170911,34.75000000,35.00000000,34.60000000,35.00000000,2526,88410,N/A,N/A,3097896,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",35.00000000,35.00000000
20170912,35.00000000,35.05000000,34.75000000,34.93000000,4319,150863,N/A,N/A,3091700,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",34.93000000,34.93000000
20170913,34.94000000,35.00000000,34.88000000,34.90000000,3994,139391,N/A,N/A,3089045,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",34.90000000,34.90000000
20170914,34.95000000,35.03000000,34.88000000,34.97000000,4312,150791,N/A,N/A,3095240,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",34.97000000,34.97000000
20170915,35.00000000,35.00000000,34.90000000,34.90000000,3993,139356,N/A,N/A,3089045,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",34.90000000,34.90000000
20170918,34.25000000,35.25000000,34.25000000,35.00000000,645,22575,N/A,N/A,3097896,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",35.00000000,35.00000000
20170919,34.90000000,35.25000000,34.80000000,35.25000000,673,23723,N/A,N/A,3120024,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",35.25000000,35.25000000
20170920,34.75000000,35.25000000,34.75000000,35.00000000,1389,48615,N/A,N/A,3097896,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",35.00000000,35.00000000
20170921,34.75000000,35.75000000,34.75000000,35.75000000,1544,55198,N/A,N/A,3164279,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",35.75000000,35.75000000
20170922,35.25000000,36.14000000,35.25000000,35.93000000,4396,157948,N/A,N/A,3180211,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",35.93000000,35.93000000
20170925,36.00000000,36.10000000,35.96000000,36.10000000,2611,94257,N/A,N/A,3195258,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",36.10000000,36.10000000
20170926,36.00000000,36.10000000,36.00000000,36.00000000,170,6120,N/A,N/A,3186407,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",36.00000000,36.00000000
20170927,36.00000000,36.10000000,36.00000000,36.10000000,459,16570,N/A,N/A,3195258,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",36.10000000,36.10000000
20170928,36.15000000,36.20000000,36.10000000,36.10000000,229,8267,N/A,N/A,3195258,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",36.10000000,36.10000000
20170929,36.10000000,36.16000000,36.08000000,36.15000000,568,20533,N/A,N/A,3199684,88511,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",36.15000000,36.15000000
