Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210308,9.73000000,9.73000000,9.73000000,9.73000000,5,49,N/A,N/A,0,0,"NYSE","","","Common Stock",9.73000000,9.73000000
20210309,9.74000000,9.84000000,9.74000000,9.83500000,48,472,N/A,N/A,0,0,"NYSE","","","Common Stock",9.83500000,9.83500000
20210310,9.86000000,9.95000000,9.75000000,9.78000000,1055,10318,N/A,N/A,0,0,"NYSE","","","Common Stock",9.78000000,9.78000000
20210311,9.85200000,9.85200000,9.77000000,9.77000000,138,1348,N/A,N/A,0,0,"NYSE","","","Common Stock",9.77000000,9.77000000
20210312,9.90000000,9.90000000,9.78000000,9.79000000,159,1557,N/A,N/A,0,0,"NYSE","","","Common Stock",9.79000000,9.79000000
20210315,9.91000000,9.91000000,9.80000000,9.80000000,145,1421,N/A,N/A,0,0,"NYSE","","","Common Stock",9.80000000,9.80000000
20210316,9.83500000,9.83500000,9.80000000,9.81000000,101,991,N/A,N/A,0,0,"NYSE","","","Common Stock",9.81000000,9.81000000
20210317,9.80000000,9.85000000,9.76000000,9.80000000,1004,9839,N/A,N/A,0,0,"NYSE","","","Common Stock",9.80000000,9.80000000
20210318,9.86000000,9.86000000,9.70000000,9.71000000,198,1923,N/A,N/A,0,0,"NYSE","","","Common Stock",9.71000000,9.71000000
20210319,9.73000000,9.77000000,9.72000000,9.77000000,1150,11235,N/A,N/A,0,0,"NYSE","","","Common Stock",9.77000000,9.77000000
20210322,9.77000000,9.77000000,9.70000000,9.74000000,1103,10743,N/A,N/A,0,0,"NYSE","","","Common Stock",9.74000000,9.74000000
20210323,9.77000000,9.77000000,9.65000000,9.70000000,2050,19885,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210324,9.73000000,9.75000000,9.69000000,9.69000000,11494,111377,N/A,N/A,0,0,"NYSE","","","Common Stock",9.69000000,9.69000000
