Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,10.08308136,11.20342373,10.08308136,10.08308136,6,60,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.08308136,10.08308136
19800804,10.08308136,11.20342373,10.08308136,10.08308136,22,222,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.08308136,10.08308136
19800805,10.08308136,11.20342373,10.08308136,10.08308136,4,40,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.08308136,10.08308136
19800806,10.08308136,11.20342373,10.08308136,10.08308136,18,181,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.08308136,10.08308136
19800807,10.08308136,11.20342373,10.08308136,10.08308136,66,665,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.08308136,10.08308136
19800808,11.20342373,11.20342373,11.20342373,11.20342373,50,560,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",11.20342373,11.20342373
19800811,11.20342373,11.20342373,11.20342373,11.20342373,7,78,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",11.20342373,11.20342373
19800812,11.20342373,11.20342373,10.08308136,10.08308136,15,151,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.08308136,10.08308136
19800813,10.08308136,11.20342373,8.96273898,8.96273898,7,63,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",8.96273898,8.96273898
19800814,10.08308136,11.20342373,10.08308136,10.08308136,13,131,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.08308136,10.08308136
19800815,10.08308136,11.20342373,10.08308136,10.08308136,9,91,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.08308136,10.08308136
19800818,10.08308136,10.08308136,8.96273898,8.96273898,22,197,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",8.96273898,8.96273898
19800819,8.96273898,10.08308136,8.96273898,8.96273898,27,242,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",8.96273898,8.96273898
19800820,8.96273898,10.08308136,8.96273898,8.96273898,41,367,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",8.96273898,8.96273898
19800821,10.08308136,10.08308136,10.08308136,10.08308136,56,565,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.08308136,10.08308136
19800822,10.08308136,10.08308136,10.08308136,10.08308136,64,645,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.08308136,10.08308136
19800825,10.08308136,11.20342373,10.08308136,10.08308136,47,474,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.08308136,10.08308136
19800826,10.08308136,11.20342373,10.08308136,10.08308136,43,434,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",10.08308136,10.08308136
19800827,12.32376610,13.44410848,12.32376610,12.32376610,121,1491,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",12.32376610,12.32376610
19800828,15.68479322,15.68479322,15.68479322,15.68479322,247,3874,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",15.68479322,15.68479322
19800829,15.68479322,15.68479322,14.56445085,14.56445085,123,1791,N/A,N/A,0,0,"NYSE","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",14.56445085,14.56445085
