Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210729,27.00000000,29.18000000,26.00000000,26.00000000,105233,2736058,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",26.00000000,26.00000000
20210730,26.19000000,28.16000000,25.50000000,27.42000000,22339,612535,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",27.42000000,27.42000000
20210802,27.11000000,29.89000000,26.62000000,28.32000000,15299,433268,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",28.32000000,28.32000000
20210803,29.12000000,29.12000000,27.57000000,28.07000000,11467,321879,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",28.07000000,28.07000000
20210804,28.07000000,28.55000000,27.12000000,28.12000000,7888,221811,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",28.12000000,28.12000000
20210805,28.17000000,28.73700000,27.39500000,28.31000000,2056,58205,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",28.31000000,28.31000000
20210806,28.50000000,28.50000000,27.59000000,28.25000000,3869,109299,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",28.25000000,28.25000000
20210809,28.20000000,29.74000000,28.03000000,28.76000000,5557,159819,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",28.76000000,28.76000000
20210810,28.79000000,28.94000000,28.15000000,28.52000000,1347,38416,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",28.52000000,28.52000000
20210811,28.78000000,28.98000000,27.12000000,27.65000000,8338,230546,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",27.65000000,27.65000000
20210812,27.41000000,28.42000000,27.14000000,28.02000000,2107,59038,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",28.02000000,28.02000000
20210813,27.77000000,27.85000000,27.24000000,27.60000000,2115,58374,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",27.60000000,27.60000000
20210816,27.27000000,28.12000000,26.20000000,27.93000000,3176,88706,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",27.93000000,27.93000000
20210817,27.64000000,27.64000000,26.53000000,26.66000000,3143,83792,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",26.66000000,26.66000000
20210818,26.71000000,27.31500000,26.50000000,26.75000000,2422,64789,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",26.75000000,26.75000000
20210819,26.94000000,27.31000000,26.50000000,27.12000000,1867,50633,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",27.12000000,27.12000000
20210820,27.32000000,28.75000000,26.67000000,28.59000000,4632,132429,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",28.59000000,28.59000000
20210823,28.70000000,28.75000000,27.19000000,27.85000000,4858,135295,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",27.85000000,27.85000000
20210824,27.11000000,28.05100000,27.10000000,27.26000000,2710,73875,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",27.26000000,27.26000000
20210825,27.00000000,27.26000000,25.94000000,26.05000000,2862,74555,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",26.05000000,26.05000000
20210826,26.05000000,26.40000000,25.38000000,26.02000000,2265,58935,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",26.02000000,26.02000000
20210827,26.00000000,29.00000000,25.63500000,28.92000000,3814,110301,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",28.92000000,28.92000000
20210830,28.60000000,33.33000000,28.45000000,32.75000000,8583,281093,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",32.75000000,32.75000000
20210831,34.18000000,34.90000000,31.01000000,32.25000000,10860,350235,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",32.25000000,32.25000000
20210901,33.19000000,35.20000000,32.62000000,33.25000000,7874,261811,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",33.25000000,33.25000000
20210902,34.55000000,35.30000000,33.79000000,34.08000000,8727,297416,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",34.08000000,34.08000000
20210903,34.00000000,37.41000000,34.00000000,36.92000000,10713,395524,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",36.92000000,36.92000000
20210906,34.00000000,37.41000000,34.00000000,36.92000000,0,0,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",36.92000000,36.92000000
20210907,39.49000000,40.48000000,35.30000000,35.86000000,12237,438819,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",35.86000000,35.86000000
20210908,36.10000000,37.14000000,32.28000000,35.73000000,8285,296023,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",35.73000000,35.73000000
20210909,30.60000000,32.32000000,30.05000000,31.93000000,19033,607724,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",31.93000000,31.93000000
20210910,31.56000000,31.87000000,28.31500000,28.88000000,8932,257956,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",28.88000000,28.88000000
20210913,26.51000000,26.55000000,23.23000000,24.90000000,37137,924711,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",24.90000000,24.90000000
20210914,24.64000000,26.74000000,24.38000000,26.25000000,15162,398003,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",26.25000000,26.25000000
20210915,26.00000000,26.31900000,24.25000000,25.27000000,7213,182273,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",25.27000000,25.27000000
20210916,25.35000000,27.72000000,25.01200000,27.29000000,12608,344072,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",27.29000000,27.29000000
20210917,27.22000000,27.72000000,26.20500000,27.07000000,9626,260576,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",27.07000000,27.07000000
20210920,25.85000000,26.17000000,23.78000000,24.58000000,9636,236853,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",24.58000000,24.58000000
20210921,25.01000000,25.45000000,23.80000000,24.23000000,8940,216616,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",24.23000000,24.23000000
20210922,24.86000000,25.84000000,24.24000000,25.08000000,6561,164550,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",25.08000000,25.08000000
20210923,25.28000000,26.18000000,24.39500000,26.04000000,5317,138455,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",26.04000000,26.04000000
20210924,25.64000000,26.15000000,25.10000000,26.08000000,2748,71668,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",26.08000000,26.08000000
20210927,25.95000000,25.95000000,25.00000000,25.68000000,7408,190237,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",25.68000000,25.68000000
20210928,25.53000000,25.53000000,23.72000000,24.17000000,6546,158217,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",24.17000000,24.17000000
20210929,24.12000000,24.47000000,22.50000000,23.50000000,7307,171715,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",23.50000000,23.50000000
20210930,23.51000000,23.74500000,22.51000000,22.81000000,6635,151344,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",22.81000000,22.81000000
20211001,22.87000000,23.41000000,21.66700000,22.56000000,5046,113838,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",22.56000000,22.56000000
20211004,22.56000000,22.57000000,20.37000000,20.70000000,5808,120226,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",20.70000000,20.70000000
20211005,20.82000000,21.54000000,20.04000000,20.46000000,10970,224446,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",20.46000000,20.46000000
20211006,20.04000000,20.45000000,19.31000000,19.78000000,9910,196020,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",19.78000000,19.78000000
20211007,20.17000000,20.28000000,18.72000000,20.07000000,8262,165818,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",20.07000000,20.07000000
20211008,20.19000000,21.15000000,20.13500000,20.45000000,4249,86892,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",20.45000000,20.45000000
20211011,20.51000000,20.78000000,19.13200000,19.34000000,4992,96545,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",19.34000000,19.34000000
20211012,19.25000000,19.62000000,17.44000000,17.89000000,13652,244234,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",17.89000000,17.89000000
20211013,18.40000000,18.64000000,17.79000000,18.35000000,5777,106008,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",18.35000000,18.35000000
20211014,18.77000000,20.05000000,18.50000000,19.63000000,8155,160083,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",19.63000000,19.63000000
20211015,19.89000000,20.00000000,18.60000000,18.65000000,3945,73574,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",18.65000000,18.65000000
20211018,18.43000000,19.91000000,17.86000000,19.42000000,4853,94245,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",19.42000000,19.42000000
20211019,19.78000000,20.42100000,19.46000000,19.76000000,3405,67283,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",19.76000000,19.76000000
20211020,19.80000000,20.91000000,18.80000000,20.36000000,6572,133806,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",20.36000000,20.36000000
20211021,21.14000000,21.14000000,19.61000000,19.84000000,4279,84895,N/A,N/A,0,0,"NYSE","Technology","Technology/Software","Common Stock",19.84000000,19.84000000
