Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19950804,1.84899921,1.99345227,1.84899921,1.97900696,9399,18601,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",1.97900696,1.97900696
19950807,1.93567105,2.10901472,1.93567105,1.96456166,1763,3464,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",1.96456166,1.96456166
19950808,2.02234288,2.05123350,1.96456166,2.00789758,756,1518,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.00789758,2.00789758
19950809,2.02234288,2.08012411,2.02234288,2.08012411,889,1849,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.08012411,2.08012411
19950810,2.02234288,2.03678819,2.02234288,2.02234288,345,698,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.02234288,2.02234288
19950811,2.02234288,2.08012411,2.02234288,2.03678819,146,297,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.03678819,2.03678819
19950814,2.08012411,2.08012411,1.95011635,1.95011635,300,585,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",1.95011635,1.95011635
19950815,1.95011635,2.02234288,1.95011635,1.95011635,241,470,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",1.95011635,1.95011635
19950816,1.97900696,2.02234288,1.96456166,2.02234288,71,144,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.02234288,2.02234288
19950817,2.02234288,2.02234288,1.97900696,2.02234288,283,572,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.02234288,2.02234288
19950818,2.02234288,2.02234288,1.96456166,1.99345227,56,112,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",1.99345227,1.99345227
19950821,1.96456166,2.02234288,1.96456166,2.00789758,119,239,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.00789758,2.00789758
19950822,1.96456166,2.10901472,1.96456166,2.08012411,1254,2608,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.08012411,2.08012411
19950823,2.08012411,2.10901472,2.02234288,2.10901472,990,2088,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.10901472,2.10901472
19950824,2.10901472,2.25346778,2.05123350,2.19568656,1286,2824,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.19568656,2.19568656
19950825,2.21013187,2.22457717,2.19568656,2.19568656,485,1065,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.19568656,2.19568656
19950828,2.19568656,2.22457717,2.19568656,2.21013187,478,1056,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.21013187,2.21013187
19950829,2.19568656,2.22457717,2.19568656,2.21013187,516,1140,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.21013187,2.21013187
19950830,2.19568656,2.31124901,2.19568656,2.29680370,614,1410,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.29680370,2.29680370
19950831,2.25346778,2.39792085,2.25346778,2.34013962,1718,4020,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.34013962,2.34013962
19950901,2.39792085,2.39792085,2.34013962,2.39792085,1634,3918,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.39792085,2.39792085
19950904,2.39792085,2.39792085,2.34013962,2.39792085,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",20.75000000,2.39792085
19950905,2.39792085,2.42681146,2.36903023,2.36903023,204,483,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.36903023,2.36903023
19950906,2.38347554,2.41236615,2.36903023,2.38347554,391,932,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.38347554,2.38347554
19950907,2.36903023,2.42681146,2.36903023,2.36903023,432,1023,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.36903023,2.36903023
19950908,2.36903023,2.42681146,2.36903023,2.41236615,138,333,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.41236615,2.41236615
19950911,2.42681146,2.58570983,2.39792085,2.54237391,1236,3142,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.54237391,2.54237391
19950912,2.57126452,2.57126452,2.48459269,2.52792860,3016,7624,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.52792860,2.52792860
19950913,2.54237391,2.57126452,2.49903799,2.49903799,457,1142,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.49903799,2.49903799
19950914,2.49903799,2.49903799,2.48459269,2.48459269,632,1570,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.48459269,2.48459269
19950915,2.48459269,2.48459269,2.48459269,2.48459269,4,10,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.48459269,2.48459269
19950918,2.51348330,2.51348330,2.45570207,2.48459269,129,321,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.48459269,2.48459269
19950919,2.46292473,2.48459269,2.45570207,2.48459269,518,1287,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.48459269,2.48459269
19950920,2.45570207,2.51348330,2.45570207,2.45570207,696,1709,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.45570207,2.45570207
19950921,2.42681146,2.45570207,2.39792085,2.42681146,577,1400,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.42681146,2.42681146
19950922,2.43403411,2.45570207,2.36903023,2.36903023,349,827,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.36903023,2.36903023
19950925,2.36903023,2.41236615,2.34013962,2.35458493,315,742,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.35458493,2.35458493
19950926,2.28235840,2.34013962,2.28235840,2.34013962,199,466,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.34013962,2.34013962
19950927,2.25346778,2.29680370,2.25346778,2.29680370,326,749,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.29680370,2.29680370
19950928,2.25346778,2.34013962,2.22457717,2.31124901,580,1341,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.31124901,2.31124901
19950929,2.34013962,2.34013962,2.31124901,2.32569432,139,323,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.32569432,2.32569432
19951002,2.34013962,2.34013962,2.31124901,2.32569432,125,291,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.32569432,2.32569432
19951003,2.32569432,2.32569432,2.28235840,2.32569432,510,1186,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.32569432,2.32569432
19951004,2.32569432,2.32569432,2.28235840,2.29680370,104,239,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.29680370,2.29680370
19951005,2.29680370,2.29680370,2.29680370,2.29680370,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.29680370,2.29680370
19951006,2.34013962,2.34013962,2.28235840,2.31124901,965,2230,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.31124901,2.31124901
19951009,2.28235840,2.34013962,2.26069044,2.26069044,65,147,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.26069044,2.26069044
19951010,2.25346778,2.28235840,2.21013187,2.28235840,517,1180,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.28235840,2.28235840
19951011,2.28235840,2.28235840,2.22457717,2.28235840,902,2059,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.28235840,2.28235840
19951012,2.28235840,2.34013962,2.25346778,2.34013962,456,1067,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.34013962,2.34013962
19951013,2.28235840,2.31124901,2.28235840,2.31124901,31,72,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.31124901,2.31124901
19951016,2.34013962,2.39792085,2.31124901,2.39792085,632,1515,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.39792085,2.39792085
19951017,2.41236615,2.42681146,2.35458493,2.35458493,43,101,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.35458493,2.35458493
19951018,2.36903023,2.48459269,2.36903023,2.48459269,230,571,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.48459269,2.48459269
19951019,2.54237391,2.57126452,2.48459269,2.52792860,781,1974,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.52792860,2.52792860
19951020,2.52792860,2.54237391,2.51348330,2.54237391,1103,2804,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.54237391,2.54237391
19951023,2.48459269,2.54237391,2.48459269,2.54237391,621,1579,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.54237391,2.54237391
19951024,2.49903799,2.51348330,2.48459269,2.51348330,700,1759,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.51348330,2.51348330
19951025,2.57126452,2.57126452,2.48459269,2.48459269,3,7,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.48459269,2.48459269
19951026,2.48459269,2.51348330,2.41236615,2.44125677,716,1748,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.44125677,2.44125677
19951027,2.41236615,2.41236615,2.41236615,2.41236615,17,41,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.41236615,2.41236615
19951030,2.41236615,2.41236615,2.41236615,2.41236615,4,10,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.41236615,2.41236615
19951031,2.42681146,2.44125677,2.39792085,2.39792085,1058,2537,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.39792085,2.39792085
19951101,2.39792085,2.45570207,2.39792085,2.45570207,229,562,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.45570207,2.45570207
19951102,2.41236615,2.42681146,2.41236615,2.42681146,1000,2427,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.42681146,2.42681146
19951103,2.42681146,2.42681146,2.42681146,2.42681146,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.42681146,2.42681146
19951106,2.36903023,2.36903023,2.36903023,2.36903023,2,5,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.36903023,2.36903023
19951107,2.39792085,2.39792085,2.28235840,2.28235840,953,2175,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.28235840,2.28235840
19951108,2.36903023,2.36903023,2.31124901,2.31124901,79,183,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.31124901,2.31124901
19951109,2.31124901,2.32569432,2.31124901,2.31124901,403,931,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.31124901,2.31124901
19951110,2.31124901,2.34013962,2.31124901,2.34013962,41,96,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.34013962,2.34013962
19951113,2.34013962,2.34013962,2.29680370,2.34013962,464,1086,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.34013962,2.34013962
19951114,2.34013962,2.35458493,2.28235840,2.31124901,732,1692,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.31124901,2.31124901
19951115,2.31124901,2.32569432,2.31124901,2.32569432,99,230,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",2.32569432,2.32569432
