Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19971112,4.57138138,4.57138138,4.39934015,4.54680406,8932,40612,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",4.54680406,4.54680406
19971113,4.54680406,4.86630921,4.54680406,4.64511334,5076,23579,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",4.64511334,4.64511334
19971114,4.62053602,4.74342262,4.57138138,4.69426798,5004,23490,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",4.69426798,4.69426798
19971117,4.71884530,4.71884530,4.54680406,4.54680406,1066,4847,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",4.54680406,4.54680406
19971118,4.57138138,4.57138138,4.37476283,4.42391747,916,4052,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",4.42391747,4.42391747
19971119,4.44849478,4.44849478,3.98152572,4.22729891,2814,11896,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",4.22729891,4.22729891
19971120,4.27645355,4.35018551,4.22729891,4.32560819,1470,6359,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",4.32560819,4.32560819
19971121,4.32560819,4.37476283,4.30103087,4.32560819,616,2665,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",4.32560819,4.32560819
19971124,4.32560819,4.37476283,4.27645355,4.30103087,292,1256,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",4.30103087,4.30103087
19971125,4.37476283,4.37476283,4.03068036,4.03068036,954,3845,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",4.03068036,4.03068036
19971126,3.95694840,4.17814427,3.76032985,4.15356695,1444,5998,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",4.15356695,4.15356695
19971127,3.95694840,4.17814427,3.76032985,4.15356695,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",10.56250000,4.15356695
19971128,4.10441232,4.12898963,4.05525768,4.12898963,198,818,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",4.12898963,4.12898963
19971201,4.10441232,4.10441232,4.05525768,4.05525768,202,819,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",4.05525768,4.05525768
19971202,4.05525768,4.12898963,4.00610304,4.00610304,554,2219,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",4.00610304,4.00610304
19971203,3.98152572,4.03068036,3.93237108,3.98152572,774,3082,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",3.98152572,3.98152572
19971204,4.03068036,4.27645355,4.03068036,4.17814427,512,2139,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",4.17814427,4.17814427
19971205,4.15356695,4.22729891,4.10441232,4.15356695,606,2517,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",4.15356695,4.15356695
19971208,4.15356695,4.49764942,4.12898963,4.37476283,574,2511,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",4.37476283,4.37476283
19971209,4.17814427,4.27645355,4.17814427,4.25187623,390,1658,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",4.25187623,4.25187623
19971210,4.22729891,4.32560819,4.22729891,4.32560819,1416,6125,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",4.32560819,4.32560819
19971211,4.32560819,4.32560819,4.20272159,4.25187623,1406,5978,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",4.25187623,4.25187623
19971212,4.27645355,4.30103087,4.25187623,4.27645355,612,2617,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",4.27645355,4.27645355
19971215,4.42391747,4.49764942,4.22729891,4.27645355,1292,5525,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",4.27645355,4.27645355
19971216,4.30103087,4.30103087,4.12898963,4.22729891,582,2460,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",4.22729891,4.22729891
19971217,4.22729891,4.27645355,4.20272159,4.22729891,536,2266,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",4.22729891,4.22729891
19971218,4.17814427,4.17814427,4.07983500,4.07983500,270,1102,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",4.07983500,4.07983500
19971219,4.05525768,4.07983500,3.73575253,3.98152572,1730,6888,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",3.98152572,3.98152572
19971222,3.98152572,4.00610304,3.95694840,3.95694840,232,918,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",3.95694840,3.95694840
19971223,3.98152572,3.98152572,3.68659789,3.83406180,542,2078,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",3.83406180,3.83406180
19971224,3.80948448,3.83406180,3.68659789,3.73575253,1230,4595,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",3.73575253,3.73575253
19971225,3.80948448,3.83406180,3.68659789,3.73575253,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",9.50000000,3.73575253
19971226,3.73575253,3.73575253,3.73575253,3.73575253,136,508,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",3.73575253,3.73575253
19971229,3.73575253,3.83406180,3.73575253,3.83406180,1038,3980,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",3.83406180,3.83406180
19971230,3.83406180,3.90779376,3.78490716,3.83406180,830,3182,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",3.83406180,3.83406180
19971231,3.85863912,3.93237108,3.78490716,3.78490716,1314,4973,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",3.78490716,3.78490716
19980101,3.85863912,3.93237108,3.78490716,3.78490716,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",9.62500000,3.78490716
19980102,3.80948448,3.83406180,3.80948448,3.83406180,180,690,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",3.83406180,3.83406180
19980105,3.88321644,4.12898963,3.88321644,4.12898963,1302,5376,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",4.12898963,4.12898963
19980106,4.22729891,4.22729891,3.95694840,4.03068036,482,1943,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",4.03068036,4.03068036
19980107,4.12898963,4.32560819,4.12898963,4.27645355,1346,5756,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",4.27645355,4.27645355
19980108,4.62053602,4.69426798,4.44849478,4.44849478,1810,8052,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",4.44849478,4.44849478
