Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210430,9.80000000,9.80000000,9.80000000,9.80000000,5,49,N/A,N/A,0,0,"NYSE","","","Common Stock",9.80000000,9.80000000
20210503,9.95800000,9.99000000,9.90000000,9.90000000,10,99,N/A,N/A,0,0,"NYSE","","","Common Stock",9.90000000,9.90000000
20210504,9.90000000,9.90000000,9.90000000,9.90000000,1,10,N/A,N/A,0,0,"NYSE","","","Common Stock",9.90000000,9.90000000
20210505,9.90000000,9.90000000,9.88000000,9.90000000,5,50,N/A,N/A,0,0,"NYSE","","","Common Stock",9.90000000,9.90000000
20210506,9.90000000,9.90000000,9.90000000,9.90000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.90000000,9.90000000
20210507,9.98000000,9.98000000,9.80000000,9.80000000,160,1568,N/A,N/A,0,0,"NYSE","","","Common Stock",9.80000000,9.80000000
20210510,9.80000000,9.80000000,9.80000000,9.80000000,105,1029,N/A,N/A,0,0,"NYSE","","","Common Stock",9.80000000,9.80000000
20210511,9.80000000,9.80000000,9.80000000,9.80000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.80000000,9.80000000
20210512,9.80000000,9.80000000,9.80000000,9.80000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.80000000,9.80000000
20210513,9.80000000,9.80000000,9.78000000,9.78000000,3,29,N/A,N/A,0,0,"NYSE","","","Common Stock",9.78000000,9.78000000
20210514,9.76000000,9.76000000,9.75000000,9.75000000,125,1219,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210517,9.75000000,9.75000000,9.75000000,9.75000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210518,9.75000000,9.75000000,9.75000000,9.75000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210519,9.75000000,9.75000000,9.75000000,9.75000000,16,156,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210520,9.77000000,9.77000000,9.75000000,9.75000000,14,137,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210521,9.75000000,9.75000000,9.75000000,9.75000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210524,9.75000000,9.75000000,9.75000000,9.75000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210525,9.75000000,9.75000000,9.75000000,9.75000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210526,9.79000000,9.79000000,9.73000000,9.79000000,21,206,N/A,N/A,0,0,"NYSE","","","Common Stock",9.79000000,9.79000000
20210527,9.79000000,9.80000000,9.79000000,9.79000000,92,901,N/A,N/A,0,0,"NYSE","","","Common Stock",9.79000000,9.79000000
20210528,9.79000000,9.79000000,9.79000000,9.79000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.79000000,9.79000000
20210531,9.79000000,9.79000000,9.79000000,9.79000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.79000000,9.79000000
20210601,9.79000000,9.79000000,9.79000000,9.79000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.79000000,9.79000000
20210602,9.95000000,9.95000000,9.77000000,9.77000000,15,147,N/A,N/A,0,0,"NYSE","","","Common Stock",9.77000000,9.77000000
20210603,9.80900000,9.80900000,9.78000000,9.78000000,7,68,N/A,N/A,0,0,"NYSE","","","Common Stock",9.78000000,9.78000000
20210604,9.78000000,9.78000000,9.78000000,9.78000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.78000000,9.78000000
20210607,9.85000000,9.85000000,9.78000000,9.78000000,6,59,N/A,N/A,0,0,"NYSE","","","Common Stock",9.78000000,9.78000000
