Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19870922,0.25774919,0.25970184,0.25774919,0.25774919,692140,178399,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",0.25774919,0.25774919
19870923,0.25774919,0.26555977,0.25774919,0.25774919,231093,59564,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",0.25774919,0.25774919
19870924,0.25774919,0.26360713,0.24993861,0.26360713,131630,34699,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",0.26360713,0.26360713
19870925,0.26360713,0.26555977,0.25970184,0.26555977,127575,33879,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",0.26555977,0.26555977
19870928,0.26555977,0.26555977,0.25970184,0.25970184,77001,19997,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",0.25970184,0.25970184
19870929,0.25970184,0.26165448,0.25384390,0.25384390,178605,45338,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",0.25384390,0.25384390
19870930,0.24993861,0.24993861,0.24017538,0.24798596,167397,41512,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",0.24798596,0.24798596
19871001,0.24798596,0.25579655,0.24408067,0.25579655,107573,27517,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",0.25579655,0.25579655
19871002,0.25579655,0.25774919,0.25189126,0.25579655,15491,3963,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",0.25579655,0.25579655
19871005,0.25189126,0.25189126,0.24408067,0.24993861,38364,9589,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",0.24993861,0.24993861
19871006,0.24993861,0.24993861,0.24603332,0.24993861,22553,5637,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",0.24993861,0.24993861
19871007,0.24798596,0.24798596,0.24212803,0.24603332,31848,7836,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",0.24603332,0.24603332
19871008,0.24603332,0.24798596,0.23627009,0.24212803,39958,9675,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",0.24212803,0.24212803
19871009,0.24212803,0.24408067,0.23627009,0.23627009,17906,4231,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",0.23627009,0.23627009
19871012,0.23627009,0.23822274,0.22064893,0.22650687,52488,11889,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",0.22650687,0.22650687
19871013,0.22650687,0.22845951,0.22260157,0.22455422,24923,5597,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",0.22455422,0.22455422
19871014,0.22455422,0.22455422,0.21088570,0.21283835,69346,14759,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",0.21283835,0.21283835
19871015,0.21283835,0.21479099,0.20698041,0.21283835,50529,10755,N/A,N/A,0,0,"NYSE","Financials","Financials/Financial Services","Common Stock",0.21283835,0.21283835
