Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20071114,134.59825512,134.80374864,123.29611156,125.96752731,25652,3231319,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",125.96752731,125.96752731
20071115,123.91259212,123.91259212,115.28186431,115.28186431,5036,580559,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",115.28186431,115.28186431
20071116,115.28186431,118.11767488,114.45989024,115.07637079,1384,159266,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",115.07637079,115.07637079
20071119,111.70627708,111.70627708,96.86964499,105.74696502,4995,528206,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",105.74696502,105.74696502
20071120,105.82916243,107.30871576,96.17096702,100.07534389,2802,280411,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",100.07534389,100.07534389
20071121,95.34899294,98.22590221,93.70504479,93.91053831,908,85271,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",93.91053831,93.91053831
20071122,95.34899294,98.22590221,93.70504479,93.91053831,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",22.85000000,93.91053831
20071123,94.73251239,98.63688925,93.41735386,96.86964499,235,22764,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",96.86964499,96.86964499
20071126,96.74634887,105.62366891,87.41694310,100.89731796,2050,206840,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",100.89731796,100.89731796
20071127,101.84258815,108.08959114,101.84258815,103.15774668,1228,126678,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",103.15774668,103.15774668
20071128,103.36324019,108.54167688,103.36324019,104.39070779,371,38729,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",104.39070779,104.39070779
20071129,104.34960909,106.85663002,100.07534389,102.70566093,777,79802,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",102.70566093,102.70566093
20071130,104.80169483,106.85663002,101.10281148,101.30830500,643,65141,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",101.30830500,101.30830500
20071203,100.69182444,102.70566093,98.63688925,100.69182444,722,72699,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",100.69182444,100.69182444
20071204,100.69182444,100.69182444,97.89711258,98.80128407,629,62146,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",98.80128407,98.80128407
20071205,99.45886333,101.71929204,98.22590221,99.04787629,935,92610,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",99.04787629,99.04787629
20071206,98.63688925,108.82936781,98.18480351,103.77422723,1354,140510,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",103.77422723,103.77422723
20071207,104.39070779,109.32255225,102.74675964,107.30871576,1320,141648,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",107.30871576,107.30871576
20071210,106.85663002,120.37810359,106.85663002,115.48735783,2007,231783,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",115.48735783,115.48735783
20071211,114.45989024,115.07637079,110.63771078,112.32275764,834,93677,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",112.32275764,112.32275764
