Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20041021,7.96227532,8.02316331,7.96227532,7.96227532,69828,555990,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",7.96227532,7.96227532
20041022,7.96227532,7.98101009,7.82176458,7.84986673,16118,126524,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",7.84986673,7.84986673
20041025,7.84518304,7.85923411,7.84518304,7.84518304,2593,20343,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",7.84518304,7.84518304
20041026,7.82176458,7.84518304,7.82176458,7.82176458,2413,18874,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",7.82176458,7.82176458
20041027,7.82176458,7.93885687,7.82176458,7.90138734,2379,18797,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",7.90138734,7.90138734
20041028,7.89201995,7.93885687,7.89201995,7.89201995,2421,19107,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",7.89201995,7.89201995
20041029,7.89201995,7.90138734,7.89201995,7.89201995,1225,9668,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",7.89201995,7.89201995
20041101,7.89201995,7.96227532,7.89201995,7.94822425,3655,29051,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",7.94822425,7.94822425
20041102,7.92480579,8.00911224,7.91543841,7.99974485,7008,56062,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",7.99974485,7.99974485
20041103,8.05594915,8.07936761,7.96695901,8.01379593,6138,49189,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",8.01379593,8.01379593
20041104,8.00911224,8.09341868,7.99974485,8.08405130,3833,30986,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",8.08405130,8.08405130
20041105,8.03721439,8.05126546,7.91543841,7.92480579,3872,30685,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",7.92480579,7.92480579
20041108,7.92012210,7.99506116,7.91543841,7.99037747,3111,24858,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",7.99037747,7.99037747
20041109,7.99037747,8.03253069,7.98569378,8.00911224,1983,15882,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",8.00911224,8.00911224
20041110,7.99506116,8.12620452,7.98569378,8.05126546,3062,24653,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",8.05126546,8.05126546
20041111,8.03721439,8.12620452,8.02316331,8.10746976,1564,12680,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",8.10746976,8.10746976
20041112,8.10278606,8.17304143,8.06531653,8.17304143,4396,35929,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",8.17304143,8.17304143
20041115,8.19645989,8.37444016,8.15899036,8.28076634,4901,40584,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",8.28076634,8.28076634
20041116,8.26671526,8.29013372,8.19645989,8.20114358,1817,14901,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",8.20114358,8.20114358
20041117,8.19645989,8.25266419,8.11683714,8.14962298,4029,32835,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",8.14962298,8.14962298
20041118,8.17304143,8.19645989,8.10278606,8.12620452,799,6493,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",8.12620452,8.12620452
20041119,8.07936761,8.10278606,7.93885687,8.05594915,4230,34077,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",8.05594915,8.05594915
20041122,7.97164271,8.16367405,7.96695901,8.13557190,2657,21616,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",8.13557190,8.13557190
20041123,8.14962298,8.21051097,8.07936761,8.11215345,1449,11755,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",8.11215345,8.11215345
20041124,8.12620452,8.31355218,8.12620452,8.26671526,2210,18269,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",8.26671526,8.26671526
20041125,8.12620452,8.31355218,8.12620452,8.26671526,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",17.65000000,8.26671526
20041126,8.29013372,8.30418479,8.20114358,8.26671526,352,2910,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",8.26671526,8.26671526
20041129,8.26671526,8.33228694,8.24329681,8.27139895,2659,21994,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",8.27139895,8.27139895
20041130,8.43064446,8.59457366,8.41659339,8.55710413,15390,131694,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",8.55710413,8.55710413
20041201,8.60862473,8.65546165,8.48216507,8.57115520,5287,45316,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",8.57115520,8.57115520
20041202,8.64141057,8.65546165,8.55242044,8.65546165,3427,29662,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",8.65546165,8.65546165
20041203,8.64141057,8.81470715,8.58052258,8.78192131,4818,42311,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",8.78192131,8.78192131
20041206,8.78192131,9.13319817,8.78192131,9.07699387,3906,35455,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.07699387,9.07699387
20041207,9.13319817,9.27370891,8.92243205,9.08636125,5716,51938,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.08636125,9.08636125
20041208,9.03952434,9.20345354,9.03952434,9.20345354,1319,12139,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.20345354,9.20345354
20041209,9.18003508,9.31117844,9.13319817,9.30181105,1996,18566,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.30181105,9.30181105
20041210,9.25029045,9.35801535,9.20345354,9.31586213,1247,11617,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.31586213,9.31586213
20041213,9.34864797,9.36738273,9.21282092,9.31586213,1277,11896,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.31586213,9.31586213
20041214,9.24560676,9.38611750,9.24092307,9.35801535,1705,15955,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.35801535,9.35801535
20041215,9.32991320,9.43763810,9.29244367,9.36738273,2645,24777,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.36738273,9.36738273
20041216,9.32991320,9.36738273,9.22687199,9.31586213,1469,13685,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.31586213,9.31586213
20041217,9.31586213,9.69524113,9.31586213,9.55004670,10107,96522,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.55004670,9.55004670
20041220,9.55473039,9.59219992,9.37206642,9.50789347,3040,28904,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.50789347,9.50789347
20041221,9.43295441,9.47510763,9.39080119,9.43763810,2432,22952,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.43763810,9.43763810
20041222,9.41890334,9.51257717,9.39080119,9.50789347,2811,26727,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.50789347,9.50789347
20041223,9.50789347,9.57346515,9.49852609,9.53131193,2870,27355,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.53131193,9.53131193
