Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210405,9.75000000,9.80000000,9.73500000,9.75000000,464,4524,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210406,9.97400000,9.97400000,9.72000000,9.73000000,448,4359,N/A,N/A,0,0,"NYSE","","","Common Stock",9.73000000,9.73000000
20210407,9.90000000,10.28000000,9.70000000,9.75000000,2889,28168,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210408,9.75000000,9.80000000,9.75000000,9.75000000,597,5821,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210409,9.79800000,9.85000000,9.75000000,9.85000000,1118,11012,N/A,N/A,0,0,"NYSE","","","Common Stock",9.85000000,9.85000000
20210412,9.99000000,9.99000000,9.85000000,9.95000000,187,1861,N/A,N/A,0,0,"NYSE","","","Common Stock",9.95000000,9.95000000
20210413,10.00000000,10.00000000,9.88000000,9.90000000,210,2079,N/A,N/A,0,0,"NYSE","","","Common Stock",9.90000000,9.90000000
20210414,9.90000000,9.90000000,9.85500000,9.86000000,6734,66397,N/A,N/A,0,0,"NYSE","","","Common Stock",9.86000000,9.86000000
20210415,9.85000000,9.90000000,9.85000000,9.86000000,90,887,N/A,N/A,0,0,"NYSE","","","Common Stock",9.86000000,9.86000000
20210416,9.98000000,9.98000000,9.76000000,9.83000000,2374,23336,N/A,N/A,0,0,"NYSE","","","Common Stock",9.83000000,9.83000000
20210419,9.83000000,9.98000000,9.80000000,9.83000000,99,973,N/A,N/A,0,0,"NYSE","","","Common Stock",9.83000000,9.83000000
20210420,9.81500000,9.88000000,9.78000000,9.78000000,2642,25839,N/A,N/A,0,0,"NYSE","","","Common Stock",9.78000000,9.78000000
20210421,9.78000000,9.89000000,9.77000000,9.84000000,1421,13983,N/A,N/A,0,0,"NYSE","","","Common Stock",9.84000000,9.84000000
20210422,9.90000000,9.90000000,9.77000000,9.80000000,680,6664,N/A,N/A,0,0,"NYSE","","","Common Stock",9.80000000,9.80000000
20210423,9.80700000,9.85000000,9.78300000,9.85000000,45,443,N/A,N/A,0,0,"NYSE","","","Common Stock",9.85000000,9.85000000
20210426,9.89000000,9.89000000,9.75000000,9.77000000,1161,11343,N/A,N/A,0,0,"NYSE","","","Common Stock",9.77000000,9.77000000
20210427,9.80000000,9.83000000,9.79000000,9.81000000,781,7662,N/A,N/A,0,0,"NYSE","","","Common Stock",9.81000000,9.81000000
